"ea_id","FS_year","FNID","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car","number_celphones","floor_cement","floor_tile","floor_dirt_sand_dung","roof_natural","roof_iron","roof_other","cell_phone","hhsize","FS_month","dist_road","dist_popcenter","dist_admarc","ag_percent","elevation","rCSI","HDDS","FCS","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","asset_index","rural","clust_maize_price","clust_rice_price","clust_nuts_price","clust_beans_price","clust_maize_mktthin","clust_rice_mktthin","clust_nuts_mktthin","clust_beans_mktthin","lhz_maize_price","lhz_rice_price","lhz_nuts_price","lhz_beans_price","lhz_maize_mktthin","lhz_rice_mktthin","lhz_nuts_mktthin","lhz_beans_mktthin","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","heatdays","floodmax","lhz_floodmax"
"10507344",2010,"MW2012C3020103",0,0.4375,0,0.4375,0,0,0.5,0.25,0,0,0.5,0.5,0,0.3125,4.8125,7,5.693846125,56.7523074375,6.2800000625,28.30769225,1204.8461625,4.1875,5.5,51.3125,0,1,0,-0.287641435529569,1,31.22,89.69,75.5266666666667,109.605,0.909090909090909,0.318181818181818,0.318181818181818,0.454545454545455,23.4103579964354,113.100627573174,171.376653516581,78.1862941385895,1,0.727272727272727,1,0.818181818181818,1181.91400446216,36,114,40,213,24.2140398732933,1121.61390383934,64,0,939.761886796365,0
"10507344",2010,"MW2012C3020603",0,0.4375,0,0.4375,0,0,0.5,0.25,0,0,0.5,0.5,0,0.3125,4.8125,7,5.693846125,56.7523074375,6.2800000625,28.30769225,1204.8461625,4.1875,5.5,51.3125,0,1,0,-0.287641435529569,1,31.22,89.69,75.5266666666667,109.605,0.909090909090909,0.318181818181818,0.318181818181818,0.454545454545455,23.4103579964354,113.100627573174,171.376653516581,78.1862941385895,1,0.727272727272727,1,0.818181818181818,1181.91400446216,36,114,40,213,24.1733687112776,1123.61993635997,60,0,939.761886796365,0
"10507344",2010,"MW2012C3020803",0,0.4375,0,0.4375,0,0,0.5,0.25,0,0,0.5,0.5,0,0.3125,4.8125,7,5.693846125,56.7523074375,6.2800000625,28.30769225,1204.8461625,4.1875,5.5,51.3125,0,1,0,-0.287641435529569,1,31.22,89.69,75.5266666666667,109.605,0.909090909090909,0.318181818181818,0.318181818181818,0.454545454545455,23.4103579964354,113.100627573174,171.376653516581,78.1862941385895,1,0.727272727272727,1,0.818181818181818,1181.91400446216,36,114,40,213,24.007396730235,1083.94075265588,78,0,939.761886796365,0
"10507344",2013,"MW2012C3010503",0.0476190476190476,0.476190476190476,0.142857142857143,0.571428571428571,0.0476190476190476,0.0476190476190476,1.14285714285714,0.333333333333333,0,0,0.428571428571429,0.571428571428571,0,0.571428571428571,4.38095238095238,7.47619047619048,5.57142857142857,54.4285714285714,5.47619047619048,35.1428571428571,1217.14285714286,0.714285714285714,5.80952380952381,68.7380952380952,0,0.80952380952381,0,0.643586823514214,1,65.2671392110219,149.039973541593,112.363087130134,-15.4460616015372,0.196713374344953,1,1,1,86.4850428073707,128.032794000929,186.351871262771,136.609297994001,0.446941216678059,1,1,1,916.010058742997,56,128,31,213,22.3397395030993,1069.98945067146,97,0,958.097439277263,0
"10507344",2013,"MW2012C3020103",0.0476190476190476,0.476190476190476,0.142857142857143,0.571428571428571,0.0476190476190476,0.0476190476190476,1.14285714285714,0.333333333333333,0,0,0.428571428571429,0.571428571428571,0,0.571428571428571,4.38095238095238,7.47619047619048,5.57142857142857,54.4285714285714,5.47619047619048,35.1428571428571,1217.14285714286,0.714285714285714,5.80952380952381,68.7380952380952,0,0.80952380952381,0,0.643586823514214,1,65.2671392110219,149.039973541593,112.363087130134,-15.4460616015372,0.196713374344953,1,1,1,86.4850428073707,128.032794000929,186.351871262771,136.609297994001,0.446941216678059,1,1,1,916.010058742997,56,128,31,213,22.9977035200092,816.836660261531,77,0,958.097439277263,0
"10507344",2013,"MW2012C3020603",0.0476190476190476,0.476190476190476,0.142857142857143,0.571428571428571,0.0476190476190476,0.0476190476190476,1.14285714285714,0.333333333333333,0,0,0.428571428571429,0.571428571428571,0,0.571428571428571,4.38095238095238,7.47619047619048,5.57142857142857,54.4285714285714,5.47619047619048,35.1428571428571,1217.14285714286,0.714285714285714,5.80952380952381,68.7380952380952,0,0.80952380952381,0,0.643586823514214,1,65.2671392110219,149.039973541593,112.363087130134,-15.4460616015372,0.196713374344953,1,1,1,86.4850428073707,128.032794000929,186.351871262771,136.609297994001,0.446941216678059,1,1,1,916.010058742997,56,128,51,213,23.3149057522626,908.60001222271,70,0,958.097439277263,0
"10507344",2013,"MW2012C3020803",0.0476190476190476,0.476190476190476,0.142857142857143,0.571428571428571,0.0476190476190476,0.0476190476190476,1.14285714285714,0.333333333333333,0,0,0.428571428571429,0.571428571428571,0,0.571428571428571,4.38095238095238,7.47619047619048,5.57142857142857,54.4285714285714,5.47619047619048,35.1428571428571,1217.14285714286,0.714285714285714,5.80952380952381,68.7380952380952,0,0.80952380952381,0,0.643586823514214,1,65.2671392110219,149.039973541593,112.363087130134,-15.4460616015372,0.196713374344953,1,1,1,86.4850428073707,128.032794000929,186.351871262771,136.609297994001,0.446941216678059,1,1,1,916.010058742997,56,128,51,213,23.4936749668748,968.722753791177,81,0,958.097439277263,0
"10508369",2010,"MW2012C3010503",0,0.25,0,0.25,0,0,0.25,0.125,0,0,0.8125,0.1875,0,0.1875,3.9375,10,29.0146665625,69.13133325,6.51466670625,10.266666625,1189.13333125,6.625,4.6875,38.8125,0,0,0,-1.14118725112767,1,28.6666666666667,150.363333333333,241.4,232.686848576927,0.25,0.25,0.25,1,22.5187847073941,116.045259885567,82.5244158939715,96.4291041892235,1,0.5,0.75,1,1372.88987785993,36,106,36,213,23.1349593901298,1266.38566350395,85,0,1223.75260935172,0
"10509319",2010,"MW2012C3010309",0,0.5,0.125,0.3125,0.0625,0,0.6875,0.1875,0,0,0.625,0.375,0,0.5,5,3,5.64312500625,46.0599995625,5.8818750875,45.25,1261.125,3.1875,4.8125,28.59375,0,1,0,-0.153389960938436,1,45.2683333333333,169.517407407407,198.947777777778,159.300740740741,0,0.1,0.1,0.1,47.9282900219194,184.105047012128,186.282150963497,200.938869361431,0.5,0.6,0.6,0.7,839.746423073983,41,109,41,213,23.8929558015205,1428.51517327593,55,0,684.113718646932,0
"10509319",2010,"MW2012C3010508",0,0.5,0.125,0.3125,0.0625,0,0.6875,0.1875,0,0,0.625,0.375,0,0.5,5,3,5.64312500625,46.0599995625,5.8818750875,45.25,1261.125,3.1875,4.8125,28.59375,0,1,0,-0.153389960938436,1,45.2683333333333,169.517407407407,198.947777777778,159.300740740741,0,0.1,0.1,0.1,47.9282900219194,184.105047012128,186.282150963497,200.938869361431,0.5,0.6,0.6,0.7,839.746423073983,41,109,37,213,22.4000715730336,1134.10969596811,54,0,684.113718646932,0
