"ea_id","FNID"
30619204004,"TZ2009L111"
30711102008,"TZ2009L111"
2401001,"TZ2009L112"
2401001,"TZ2009L112"
2401001,"TZ2009L112"
2401001,"TZ2009L112"
2401001,"TZ2009L112"
2212001,"TZ2009L113"
2309002,"TZ2009L113"
3510004,"TZ2009L113"
3513005,"TZ2009L113"
21407003,"TZ2009L113"
21408001,"TZ2009L113"
21408330,"TZ2009L113"
21408363,"TZ2009L113"
2111001,"TZ2009L113"
2212001,"TZ2009L113"
2224305,"TZ2009L113"
2224305,"TZ2009L113"
2224305,"TZ2009L113"
2309002,"TZ2009L113"
2314016,"TZ2009L113"
3204003,"TZ2009L113"
3207301,"TZ2009L113"
3510004,"TZ2009L113"
3510004,"TZ2009L113"
3513005,"TZ2009L113"
3513005,"TZ2009L113"
4127004,"TZ2009L113"
7123067,"TZ2009L113"
7206012,"TZ2009L113"
21309003,"TZ2009L113"
21407003,"TZ2009L113"
21407003,"TZ2009L113"
21407003,"TZ2009L113"
21407003,"TZ2009L113"
21408001,"TZ2009L113"
21408330,"TZ2009L113"
21408330,"TZ2009L113"
21408330,"TZ2009L113"
21408363,"TZ2009L113"
20203304004,"TZ2009L113"
20210303304,"TZ2009L113"
30512103005,"TZ2009L113"
20106102001,"TZ2009L113"
30216302302,"TZ2009L113"
210416101011,"TZ2009L113"
2110001,"TZ2009L114"
2111001,"TZ2009L114"
2110001,"TZ2009L114"
2110001,"TZ2009L114"
2110001,"TZ2009L114"
2111001,"TZ2009L114"
2211303,"TZ2009L114"
2401001,"TZ2009L114"
2401001,"TZ2009L114"
7104136,"TZ2009L114"
20702102003,"TZ2009L114"
21114002,"TZ2009L115"
21114002,"TZ2009L115"
210323102003,"TZ2009L115"
210606304301,"TZ2009L116"
1203003,"TZ2009L117"
1217003,"TZ2009L117"
5134002,"TZ2009L117"
21514002,"TZ2009L117"
1203003,"TZ2009L117"
1203003,"TZ2009L117"
1217003,"TZ2009L117"
1217003,"TZ2009L117"
1313301,"TZ2009L117"
2309002,"TZ2009L117"
3402001,"TZ2009L117"
5134002,"TZ2009L117"
5134002,"TZ2009L117"
5134002,"TZ2009L117"
7118003,"TZ2009L117"
11602331,"TZ2009L117"
21309003,"TZ2009L117"
21514002,"TZ2009L117"
10310104002,"TZ2009L117"
10709102017,"TZ2009L117"
210513104004,"TZ2009L117"
50706303005,"TZ2009L117"
50706304315,"TZ2009L117"
2401002,"TZ2009L118"
21309003,"TZ2009L118"
2401002,"TZ2009L118"
21309003,"TZ2009L118"
21309003,"TZ2009L118"
210326202001,"TZ2009L118"
1438003,"TZ2009L121"
1438003,"TZ2009L121"
130304104001,"TZ2009L121"
10607103007,"TZ2009L121"
13102003,"TZ2009L122"
13124001,"TZ2009L122"
5405303,"TZ2009L122"
13102003,"TZ2009L122"
13102003,"TZ2009L122"
13102003,"TZ2009L122"
13124001,"TZ2009L122"
13124001,"TZ2009L122"
14204003,"TZ2009L122"
14208002,"TZ2009L122"
17308003,"TZ2009L122"
20406105001,"TZ2009L122"
130612103005,"TZ2009L122"
