"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
46,135,"MWI","Malawi",6,"Dedza",46,"TA Pemba","",NA,"","Traditional Authority","Traditional Authority","",""
47,135,"MWI","Malawi",6,"Dedza",47,"TA Tambala","",NA,"","Traditional Authority","Traditional Authority","",""
48,135,"MWI","Malawi",7,"Dowa",48,"Dowa Boma","",NA,"","Boma","Headquarter","",""
49,135,"MWI","Malawi",7,"Dowa",49,"Mponela Urban","",NA,"","Urban","Urban","",""
50,135,"MWI","Malawi",7,"Dowa",50,"SC Chakhaza","",NA,"","Sub-chief","Sub-chief","",""
51,135,"MWI","Malawi",7,"Dowa",51,"SC Kayembe","",NA,"","Sub-chief","Sub-chief","",""
52,135,"MWI","Malawi",7,"Dowa",52,"SC Mkukula","",NA,"","Sub-chief","Sub-chief","",""
53,135,"MWI","Malawi",7,"Dowa",53,"SC Mponela","",NA,"","Sub-chief","Sub-chief","",""
54,135,"MWI","Malawi",7,"Dowa",54,"TA Chiwere","",NA,"","Traditional Authority","Traditional Authority","",""
55,135,"MWI","Malawi",7,"Dowa",55,"TA Dzoole","",NA,"","Traditional Authority","Traditional Authority","",""
56,135,"MWI","Malawi",7,"Dowa",56,"TA Msakambewa","",NA,"","Traditional Authority","Traditional Authority","",""
57,135,"MWI","Malawi",8,"Karonga",57,"Karonga Town","",NA,"","Town","Town","",""
58,135,"MWI","Malawi",8,"Karonga",58,"Lake Malawi","",NA,"","Water body","Water body","",""
59,135,"MWI","Malawi",8,"Karonga",59,"Nyipa N. P. - Karonga","",NA,"","National Park","National Park","",""
60,135,"MWI","Malawi",8,"Karonga",60,"SC Mwakaboko","",NA,"","Sub-chief","Sub-chief","",""
61,135,"MWI","Malawi",8,"Karonga",61,"SC Mwirang'ombe","",NA,"","Sub-chief","Sub-chief","",""
62,135,"MWI","Malawi",8,"Karonga",62,"TA Kilupula","",NA,"","Traditional Authority","Traditional Authority","",""
63,135,"MWI","Malawi",8,"Karonga",63,"TA Kyungu","",NA,"","Traditional Authority","Traditional Authority","",""
64,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo","",NA,"","Traditional Authority","Traditional Authority","",""
65,135,"MWI","Malawi",9,"Kasungu",65,"Kasungu Boma","",NA,"","Boma","Headquarter","",""
66,135,"MWI","Malawi",9,"Kasungu",66,"Kasungu National Park","",NA,"","National Park","National Park","",""
67,135,"MWI","Malawi",9,"Kasungu",67,"SC Chilowamatambe","",NA,"","Sub-chief","Sub-chief","",""
68,135,"MWI","Malawi",9,"Kasungu",68,"SC Chisikwa","",NA,"","Sub-chief","Sub-chief","",""
69,135,"MWI","Malawi",9,"Kasungu",69,"SC Kawamba","",NA,"","Sub-chief","Sub-chief","",""
