cellphone,number_celphones,rcsi,logFCS,hdds,asset_index,housing_index,nutri_reten_constrained,nutri_avail_constrained,dist_km,maize_price,maize_mktthin,rice_price,rice_mktthin,tmean,floodmax,raincytot,day1rain,maxdaysnorain
1,1.6363636,0.36363637,2.5334551,2,,-0.31421885,1,1,66.336479,46013.828,0,133194.5,0,21.92809377,431.6352009,643.0839046,28,167
1,1,0,2.1972246,1,,-0.88582069,1,1,66.336479,48833.375,0,133958.38,0,21.92809377,431.6352009,643.0839046,28,167
0.71428573,1.1428572,3.8571429,4.1333361,5.7142859,-0.39868101,0.012408725,1,1,92.531479,31800,0,117500,0,,,,,
0.75,1.625,2.125,3.0604241,2.875,,-0.09987174,1,1,92.531479,75000,0,177727.3,0,,,,,
0.375,0.875,4.875,4.1755915,6.5,-0.39868101,1.0790704,1,1,172.9958,40000,0,125000,0,,,,,
0,0,10,3.3141861,4,,2.2580109,1,1,172.9958,51222.172,0,134166.7,0,,,,,
0.71428573,1.5714285,4.1428571,2.4895947,2,,0.46152955,1,1,172.9958,69750,0,173750,0,,,,,
0.55555558,0.55555558,7.4444447,4.1015978,4.7777777,-0.39868096,2.2580121,1,1,118.77541,31800,0,117500,0,,,,,
0.8888889,1,6.1111112,2.5614882,1.7777778,,2.2580109,1,1,118.77541,75000,0,177727.3,0,,,,,
0.80000001,2.4000001,0,3.0803311,2,,-0.88582355,1,1,18.429716,69770.875,0,164444.41,0,,,,,
1,2.6666667,0.66666669,3.3660772,3,,-0.88582546,1,1,18.429716,57159.707,0,136527.8,0,,,,,
1,3,2,2.8332133,2,,-0.88582069,1,1,18.429716,57088.055,0,142500.06,0,,,,,
0.875,1.125,2.25,4.2667093,7.25,-0.3986803,-0.88582426,1,1,18.429716,45416.668,0,128333.34,0,,,,,
1,1.5,0,3.3035533,2.75,,-0.88582426,1,1,18.429716,63674.965,0,148277.7,0,,,,,
0.625,0.875,3,4.2638988,6.875,-0.39868104,-0.49285069,1,1,39.390522,27429,0,111429,0,20.71688396,727.0302468,1173.840353,12,134
0.77777779,1.1111112,10.888889,2.7658322,2.3333333,,-0.88583183,1,1,39.390522,74555.563,0,188888.91,0,21.84985212,1120.073215,966.174698,23,164
1,2,0,4.5108595,8,2.5079329,-0.88582069,1,1,39.390522,36950,0,123000,0,20.73332606,966.174698,727.0302468,31,166
0.375,0.5,9.5,3.844825,6.125,-0.035354257,-0.88583499,1,1,43.994652,31771,1,123750,1,18.50732686,0,608.0132382,31,169
0.625,0.625,9.25,2.6225057,2.375,,-0.8858332,1,1,43.994652,54000,0,137500,0,21.0936489,0,906.975057,7,163
1,3,0,4.5325994,8,-0.39867809,-0.88582069,1,1,31.860773,40560,0,129000,0,24.01303845,719.5151688,535.208289,32,175
1,3,3.5,2.0948274,2.5,,-0.88582069,1,1,31.860773,76950,0,193010,0,24.01683814,827.6689389,975.6936703,8,163
0.8888889,1.5555556,2.8888888,4.2059674,6.6666665,-0.39868003,-0.88582706,1,1,31.860773,28630,0,101550,0,24.20180261,535.208289,1022.9194,12,162
0.75,1.375,2.875,2.939564,2.625,,-0.88582605,1,1,31.860773,61965.199,0,178833.2,0,25.03253349,975.6936703,719.5151688,46,168
0.5,0.5,0,3.1513095,2.5,,-0.88582069,1,1,31.860773,51121,0,105041.6,0,24.01683814,827.6689389,975.6936703,8,163
0.66666669,1.1111112,6.1111112,4.2643518,6.4444447,-0.39868098,-0.88582706,1,1,55.838081,58000,0,150000,0,,,,,
1,1.5,1.625,3.0907941,3,,-0.88582605,1,1,55.838081,58699.801,0,157000,0,,,,,
1,2,0,3.0445225,3,,-0.88582069,1,1,93.831749,74416.664,0,189500,0,24.20891816,764.1491976,691.4964823,65,167
0.66666669,0.8888889,3.7777777,4.2251859,6.3333335,-0.39868036,-0.53651559,1,1,93.831749,27733.334,0,103666.66,0,23.29453981,500.9240125,729.2169766,34,152
0.81818181,1.2727273,1.9090909,2.5201519,2,,-0.31422016,1,1,93.831749,58905.668,0,176111,0,24.42000156,691.4964823,663.8088041,50,159
1,2.375,0.125,4.3470802,7.375,-0.3986803,-0.88582605,1,1,64.381454,41774.5,0.5,128347,0.5,25.24928363,0,398.0495666,32,164
1,2.25,0.5,2.8320284,2.375,,-0.88582605,1,1,64.381454,54208.336,0,132222.25,0,25.45726837,0,549.6099219,70,167
1,2,0,4.4716387,6,-0.39867806,-0.88582069,1,1,64.381454,44221,0,152884.5,0,25.24928363,0,398.0495666,32,164
1,4.5,8.75,2.7672527,2.25,,-0.88582426,0.75,0.75,64.381454,53208.5,0,111770.75,0,25.45726837,0,549.6099219,70,167
0.75,1.375,2.875,4.2732983,7.125,-0.035354648,-0.88582605,1,1,33.761322,29657.4,0,111743,0,23.64576681,732.4605803,1181.049161,12,123
1,1,0,3.2771447,4,-0.39868104,-0.88582069,1,1,33.761322,36445,0,120060,0,23.47666689,915.8687888,732.4605803,31,151
1,1.5,0,2.0948274,2,,-0.88582069,1,1,33.761322,81090.906,0,187599.97,0,23.76549159,911.5367649,1138.937621,8,163
1,1,11,4.388257,5,-0.39868096,-0.88583499,1,1,33.761322,38133.32,0,144450,0,23.47666689,915.8687888,732.4605803,31,151
0.875,1.75,1.375,2.8597279,3.125,,-0.88582605,1,1,33.761322,63682,0,183500,0,24.41086372,1138.937621,915.8687888,22,171
1,6,0,3.1780539,2,,0.64889866,1,1,33.761322,53466.648,0,135125,0,23.76549159,911.5367649,1138.937621,8,163
0.875,1.875,11,3.1897345,2.875,,-0.88582116,1,1,5.6503172,66189,0,162473.91,0,,,,,
1,3,0,4.5163388,8,2.5079329,-0.88582069,1,1,5.6503172,41070.75,0.5,122277.5,0.5,,,,,
1,3,0,2.3025851,2,,-0.88582069,1,1,5.6503172,75305.5,0,187289.7,0,,,,,
1,2,0,3.9512436,4,,-0.88582069,0,0,5.6503172,55010.586,0,139444.5,0,,,,,
0.875,1.375,2.5,3.983736,6.625,1.0546263,-0.88582069,1,1,5.6503172,49625,0,128750,0,,,,,
1,2,0,4.3757572,6,-0.39867809,-0.88582069,1,1,12.730642,43050,0,125000,0,,,,,
0.8888889,1.4444444,0.55555558,4.3046093,7.6666665,-0.39868039,-0.88582385,1,1,12.730642,29643,0,103482.25,0,,,,,
0.77777779,1.4444444,0,3.1486101,3.1111112,,-0.8858223,1,1,12.730642,74392.359,0,186177.09,0,,,,,
1,2,0,2.9957323,1,,-0.88582069,1,1,12.730642,55659.836,0,141736.17,0,,,,,
1,5,0,3.2580965,2,,-0.88582069,1,1,12.730642,73281.313,0,185781.34,0,,,,,
