"","mkt","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01"
"11","Moshi",29050,28818.18,29125,36875,35545.45,27000,17625,14431.82,11375,8775,7300,12500,15900,13700,14200,14800,14600,13800,15200,15900,17300,17500,20600,24700,32000,31900,29900,30700,28000,32875,36500,28000,28990,38000,31818,40000,40000,43000,42000,42750,43125,41083.3333,38800,42000,37000,42000,43000,46000,45000,44000,40000,37000,36000,32077,26542,25417,26143,25615,27000,27429,30000,35200,36950,40000,55000,58000,56000,31771,44846,42909,41538,42714,45846,44038,44444,50182,59538,58500,62462,58300,60375,59600,57442,74555.5556,76600,75000,65250,63666.75,58699.8,56555.6667,54000,50166.6667,49250,48583.5,51166.75,52375,61333.25,60750,65000,61889,54791.67,60916.75,54500,49417,38000,38357,44308,39455,36667,40636,50682,59750,50000,50714,65000,63750,66667,62364,58091,60875,64550,70000,65833,65417,68500,74250,79091,77500,67167,67783,79875
"12","Mtwara",37500,37875,35931.82,43375,24050,29000,17916.67,16909.09,18000,17968.75,19750,22312.5,23900,19000,18300,17400,14000,15100,18500,21800,21300,22350,24200,27300,39600,40000,34600,21300,25900,27750,32272.7273,28000,38409,40000,40727,45000,45000,50000,50000,38550,32250,41166.6667,39000,41000,42000,42000,45000,44000,53000,52000,47000,42000,27000,28231,30000,30769,31571,34417,37600,38571,37500,43100,77466.6,41200,65000,31000,37038,33500,37056,37750,41231,42143,43654,39192,40000,43818,44692,40600,45000,48400,51625,54625,73917,74944.4444,80000,82909.0909,84000,69750,42521,40833.3333,46750,57944.3333,57000,55041.75,54666.5,57958.25,57916.75,57917,55667,48895,45538.46,41187.5,43545,45333,46038,46143,44231,45000,44375,44458,43000,43833,44000,54962,63962,62300,61167,66100,69727,66280,65090.9091,67389,56708,51625,48955,53864,56154,52886,62833,72500,84063
"13","Musoma",31605,31600,33058.33,34812.5,37895.83,35333.33,23800,18576.92,19479.17,22375,27125,27250,28300,25300,23300,21500,17600,19400,17900,18400,19100,20000,21200,27700,34200,31000,28600,28100,27400,34792,35181.8182,34000,35000,37000,40000,39500,40000,38000,38000,37365,38500,39633.3333,39000,40000,40000,45000,55000,55000,55000,38000,40000,30000,30000,25000,27917,30000,30714,33077,35500,40714,40625,45600,52433.4,57000,48500,63000,67308,53800,53125,49583,53462,56014,52231,39231,39444,51364,57885,49550,48846,52250,62500,64800,59167,74444.4444,72500,66000,52916.75,56500,55800,50511.3333,60000,62000,63500,67666.75,75416.75,70625,81000,81000,64917,55000,58230.77,59250,54364,51708,53923,55214,53846,44455,49375,40455,51727,57000,56000,54400,56722,59625,71667,52091,60500,66833,72888.8889,65000,67250,68333,69167,72500,72500,70500,71000,79318,82500
"14","Mwanza",35150,31545.45,29230.77,35500,39166.67,32916.67,32181.82,28423.08,25541.67,24812.5,24650,29785.71,25600,23700,23900,21100,18700,19000,19300,20300,22300,22800,23800,25900,36000,34500,31600,26600,28400,41417,34000,36000,28883,37692,36114,39500,40000,41000,41000,35000,35000,35166.6667,38800,39000,40000,42000,48000,50000,52000,52000,45000,38000,35000,27846,33083,32000,29000,31462,34500,37750,28136,61875,45800,81750,47500,60000,59708,60409,61056,61458,62115,60000,62308,60077,56611,59636,66385,67550,66188,62600,67187.5,69500,71167,73571.4286,86611.1111,58109.0909,65125,64750,62250,58000,66875,63055.5,65250,68666.75,68375,69916.75,70666.75,70833,75786,52900,52192.31,57125,58182,51045,49500,48250,52500,52500,48091,41333,54955,55750,56500,60400,67438,75000,72625,80727,79227,82200,79277.7778,78417,54750,55125,58167,62375,62222,65000,73111,81409,90500
"15","Shinyanga",33750,33954.55,34125,34906.25,34083.33,29750,26363.64,26166.67,24541.67,22857.14,22275,22062.5,22800,21600,21300,19600,16800,16900,18700,20800,23000,24550,24800,29200,37500,39800,32700,28700,22500,25143,27909.0909,30000,28990,38000,31818,35000,35000,40000,38000,33400,31214.2857,35583.3333,39000,33500,34000,39000,46000,48000,52000,48000,50000,49000,28000,27192,27500,27673,28143,29038,30600,35714,33292,37100,43600,46050,49000,55000,50167,44792,44444,48000,48000,48000,47000,47000,47000,54091,60000,60000,54385,55600,60000,60500,66667,80714.2857,80250,78636.3636,71666.75,60625,51783.4,47944.3333,46875,53000,51333.25,53000,52958.25,57791.75,60000,60000,58750,65000,66346.15,61666.75,59545,47917,48269,43750,38269,42045,37727,35350,45864,42833,41556,50818,52500,56389,57500,60192,67500,70167,70500,66071,61917,58583,53182,54150,57650,57083,62833,73950,79571
"16","Singida",31850,31409.09,31708.33,35156.25,39145.83,27208.33,20772.73,19178.57,20727.27,18562.5,18333.33,18166.67,17100,15500,15600,15500,14200,15700,15000,16100,18800,19600,20900,24600,32400,32500,32400,30000,27000,27333,25363.6364,27000,26300,26346,29182,36000,36000,36000,39000,35400,36000,34000,38800,36000,36000,36000,42000,48000,48000,42000,45000,43000,40000,27769,31333,29346,30000,29500,31350,31500,35292,36600,55983.4,49400,22500,50000,48182,48250,45000,44364,44000,43786,46654,48423,45444,49182,51423,49222,51615,45920,57312.5,64000,60000,68333.3333,80500,86636.3636,79833.5,72125,61116.8,47416.6667,47875,49111.1667,48458.25,49083.5,49833.25,51000,52250,52167,49364,48550,43125,44916.75,43364,37083,35154,35571,33462,34000,33909,41667,75727,48750,48556,57455,61000,63850,62500,65885,69500,72208,73636.3636,68278,62375,52900,50850,50000,52417,55045,61917,73636,89643
"17","Songea",21750,23159.09,28666.67,36875,35545.45,27000,17625,14431.82,11375,8775,7300,12500,12500,9300,11600,10300,9500,8300,8800,10000,11600,13800,15300,17800,25000,25200,27600,29000,17300,17125,20700,25000,35000,37000,40000,30000,30000,31000,32000,25600,22750,29166.6667,39000,27000,28000,29000,34000,35000,35000,40000,42000,23000,22000,17462,20000,24269,24857,26938,27000,26407,36438,30167,31866.6,27300,29000,24000,25042,26932,25625,29750,24192,25071,24000,23077,22667,26455,27385,25900,32385,32350,34250,42700,54417,79750,60750,58954.5455,59958.25,39291.75,31400,43139,38583.5,49333.3333,42958.25,38833.25,33583.5,36375,38687.5,38667,33955,33900,30807.69,34125,31500,31708,37269,29500,21731,24818,24042,27708,37000,34583,33000,36150,44500,42500,42583,47042,51850,51111,46600,50381,46944,43000,39708,37250,39188,39000,49444,53056,65600
"18","Sumbawanga",25750,29350,23984.62,43375,24050,29000,17916.67,16909.09,18000,17968.75,19750,22312.5,11800,10100,10400,10900,12800,11200,12400,14000,14700,17500,19500,19400,25700,27900,25000,21600,15500,18232,19681.8182,26500,38409,40000,40727,27500,28000,30000,29000,23300,21187.5,22583.3333,38800,25000,27000,28000,35000,36000,33500,35000,17000,21000,18000,20192,20833,22962,23357,25538,24400,26250,38042,29050,27258.2,25225,45000,31000,29654,28727,29950,28958,26923,28214,28885,27481,27056,30636,31192,33063,35038,35300,35250,47700,67400,53722.2222,74750,76863.6364,57458.25,49687.5,34199.8,37472.3333,41625,50722.1667,46916.5,46083.25,41375,40500,40500,40500,36750,34350,29346.15,30208.5,31350,29625,27154,25714,24154,26000,26583,27000,32000,27667,30778,33900,37250,42375,43313,52556,61364,55000,54000,53071,46542,46736,41450,46091,48250,49591,55400,67955,81786
"19","Tabora",34400,34886.36,36291.67,34562.5,28190.91,26916.67,22416.67,22566.67,23833.33,23750,24000,22428.57,20300,19300,19600,16900,22800,16400,17700,19400,24100,24300,25400,28300,37100,35500,30300,25000,20800,25000,25000,25000,25000,26400,24818,36000,36000,36000,36000,29950,27250,29666.6667,38800,41700,41600,36990,35425,33800,55500,52700,52700,44000,33300,31054,33300,33292,35286,39415,38800,38800,27958,39800,47400,49500,47250,43000,47000,45100,46354,48500,45500,44000,46923,46385,46667,47909,47715,46676,47192,49100,63312.5,76800,68167,75500,78666.6667,81818.1818,80000,65416.75,57450,45083.3333,50458.25,47527.8333,52000,52000,57208.25,60250,65291.75,65292,53250,54000,42384.62,42000,38909,36958,35538,41107,41846,30909,32208,41042,52091,38771,40806,50167,53792,54350,60429,65538,68500,65500,69850,65167,52864,44500,46417,52864,53500,52600,62136,71286,88833
"20","Tanga",32295.45,30727.27,33854.17,36875,35545.45,27000,17625,14431.82,11375,8775,7300,12500,14600,12800,14000,15700,15000,13500,14000,14300,14600,19600,22100,26500,35500,32500,33900,36500,31500,31979,27175,23000,38409,40000,40727,45000,46000,44000,45000,43450,43437.5,42375,38800,34000,41000,46000,47000,45500,53000,35000,29000,33000,29500,28346,28979,22365,23929,29038,31200,32214,38633,41450,42450,48150,47000,51000,40385,31771,38167,34500,36327,38500,38769,37038,40389,52545,59500,79200,51827,49875,52625,63900,73917,80222.2222,79350,78000,76770.75,73437.5,59066.6,45944.6667,46500,42830,47208.25,48729.25,50270.75,53520.75,54145.75,54125,43396,48050,51442.31,48208.5,35925,31625,28827,29250,36192,37000,37396,44306,57091,56750,59556,59994,53769,49325,60521,66433,67636,71706,69150,63983,60436,57736,59154,59639,58124,59882,72347,76659,82875
