"","cellphone","number_celphones","rcsi","logFCS","hdds","housing_index","nutri_reten_constrained","nutri_avail_constrained","dist_km","maize_price","maize_mktthin","rice_price","rice_mktthin","tmean","floodmax","raincytot","day1rain","maxdaysnorain"
"57",0.75,1,2.5,4.1702471,6.5,-0.099868163,1,1,69.011818,46569,0,127760.5,0,24.2624796886137,0,391.422451300001,57,169
"60",0.625,1.125,1.75,4.2623296,7.5,-0.88582605,1,1,0.34162575,31083,0,117917,0,NA,NA,NA,NA,NA
"61",1,2.7142856,2.8571429,4.3146243,7.1428571,-0.88582271,1,1,3.1707189,43166.668,0,120000,0,NA,NA,NA,NA,NA
"64",1,2,10,4.4942389,8,-0.88582069,1,1,3.1707189,43000,0,145277.67,0,NA,NA,NA,NA,NA
"66",1,1.7142857,1,4.1821489,6.7142859,-0.88582271,1,1,13.206271,30812.25,0,118437.75,0,NA,NA,NA,NA,NA
"69",1,1,0,3.9219732,5,-0.88582069,1,1,13.206271,40269,0,155192.25,0,NA,NA,NA,NA,NA
"72",1,1.625,4,3.9975803,6.25,-0.099866375,1,1,66.336479,39868,0,119625,0,21.7303678616224,648.092419499998,438.030263599999,44,168
"75",0.71428573,1.1428572,3.8571429,4.1333361,5.7142859,0.012408725,1,1,92.531479,31800,0,117500,0,NA,NA,NA,NA,NA
"77",0.375,0.875,4.875,4.1755915,6.5,1.0790704,1,1,172.9958,40000,0,125000,0,NA,NA,NA,NA,NA
"80",0.55555558,0.55555558,7.4444447,4.1015978,4.7777777,2.2580121,1,1,118.77541,31800,0,117500,0,NA,NA,NA,NA,NA
"85",0.875,1.125,2.25,4.2667093,7.25,-0.88582426,1,1,18.429716,45416.668,0,128333.34,0,NA,NA,NA,NA,NA
"87",0.625,0.875,3,4.2638988,6.875,-0.49285069,1,1,39.390522,27429,0,111429,0,20.7168839581724,727.0302468,1173.8403527,12,134
"89",1,2,0,4.5108595,8,-0.88582069,1,1,39.390522,36950,0,123000,0,20.73332605769,966.174698,727.0302468,31,166
"90",0.375,0.5,9.5,3.844825,6.125,-0.88583499,1,1,43.994652,31771,1,123750,1,18.5073268555862,0,608.0132382,31,169
"92",1,3,0,4.5325994,8,-0.88582069,1,1,31.860773,40560,0,129000,0,24.0130384501151,719.5151688,535.208289,32,175
