"","FNID","ea_id","yearmon","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","slope","ag_percent","dist_road","dist_popcenter","dist_agmkt","dist_headquater","elevation","FS_month","FS_year","rCSI","HDDS","FCS","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","lhz_growingdays","lhz_day1rain","tmean","lhz_raincytot","lhz_maxdaysnorain","lhz_floodmax","floodmax","raincytot","day1rain","maxdaysnorain","dist_km","date","maize_price","maize_mktthin","rice_price","rice_mktthin","lhz_maize_price","lhz_maize_mktthin","lhz_rice_price","lhz_rice_mktthin"
"4752","TZ2009L199","2510001","Feb 2013",0,1,0,1,14.6653022222222,49.7777777777778,9.87777777777778,121.066666666667,121.422222222222,172.055555555556,2383.77777777778,2,2013,6.11111111111111,1.77777777777778,15.7222222222222,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.775406300607,NA,75000,0,177727.3,0,81104.715889348,0.209586574581619,178561.452107879,0.209586574581619
"4753","TZ2009L199","4510004","Aug 2013",0.0909090909090909,0.909090909090909,0.0909090909090909,0.545454545454545,2.73344592727273,31.4545454545455,39.7545454545455,57.0272727272727,119.6,112.618181818182,88.7272727272727,8,2013,5.27272727272727,2.27272727272727,19.0909090909091,0,0,0.727272727272727,213,28,23.4251012235039,435.494007693716,153,0,1081.24057235,777.57874603,8,165,63.5990362672436,NA,42830,0,125833.3,0,51739.6858477307,0,122602.861724033,0
"4754","TZ2009L199","4510004","Nov 2011",0,1,0,1,1.29999995231628,0,21.2999992370606,31.8999996185303,105.300003051758,10.6999998092651,85,11,2011,0,6,67.5,0,0,1,213,64,23.6673319549326,465.550975003914,150,0,930.18004688,662.21818323,40,176,63.5990362672436,NA,36327,0,151731,0,42939.5941494829,0.209586574581619,153683.684821487,0.209586574581619
"4755","TZ2009L199","4510004","Oct 2012",0,1,0,1,1.291615,0,21.3,31.9,105.3,82.5,84,10,2012,0,3,15,0,0,1,214,66,24.2246633447128,427.446647241764,146,0,777.57874603,930.18004688,4,165,63.5990362672436,NA,63900,0,168500,0,64783.5199979157,0.209586574581619,170413.35496942,0.209586574581619
"4756","TZ2009L199","4510004","Oct 2013",0,1,0,1,2.950462,93,39.5,57.9,123.2,108.7,88,10,2013,0,3,15,0,0,1,213,28,23.4251012235039,435.494007693716,153,0,1081.24057235,777.57874603,8,165,63.5990362672436,NA,48729.25,0,125208.25,0,55441.6838334677,0,122546.234317196,0
"4757","TZ2009L199","4510004","Sep 2011",0,1,0.111111111111111,0.888888888888889,3.89999996291267,41.5555555555556,37.4333330790202,57.3000000847711,121.144445631239,18.0222225189209,126,9,2011,2,6,58.3333333333333,0,0,1,213,64,23.6673319549326,465.550975003914,150,0,930.18004688,662.21818323,40,176,63.5990362672436,NA,38167,0,127222,0,43525.426083392,0.209586574581619,123184.899221106,0.209586574581619
"4758","TZ2009L199","510108102001","Oct 2014",0.5,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,10,2014,1.125,NA,11.5625,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4759","TZ2009L199","510116203003","Oct 2014",0.875,0.125,1,0,NA,NA,NA,NA,NA,NA,NA,10,2014,0.875,2.25,14.1875,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4760","TZ2009L199","510121104001","May 2015",0.875,0.125,0.75,0.25,NA,NA,NA,NA,NA,NA,NA,5,2015,2.5,1.875,8.6875,0,0,0,213,48,25.1562169558328,326.686407585128,164,0,0,1196.811298,1,177,93.5051624337912,NA,56750,0,162917,0,48879.5746625891,0,164089.485793072,0
"4761","TZ2009L199","510136102002","Oct 2014",0.375,0.625,1,0,NA,NA,NA,NA,NA,NA,NA,10,2014,1.375,1.625,10.3125,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
