"","case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","slope","ag_percent","dist_road","dist_popcenter","dist_agmkt","dist_headquater","elevation","ea_id","reside","hh_a01","FS_month","FS_year","rCSI","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","FNID"
"4305","1102028002051101",1,0,1,0,11.1999998092651,4,18.3999996185303,66.5,91.5999984741211,143.899993896484,2037,"11228002","rural","2",8,2011,0,5,79,"August",0,0,1,Aug 2011,"TZ2009L146"
"4306","1102028002051101",1,0,1,0,11.1999998092651,4,18.3999996185303,66.5,91.5999984741211,143.899993896484,2037,"11228002","rural","2",8,2011,0,5,79,"August",0,0,1,Aug 2011,"TZ2009L171"
"4307","1102028002055801",0,1,1,0,11.1999998092651,2,18.6000003814697,66.5,91.8000030517578,144.199996948242,2027,"11228002","rural","2",8,2011,0,5,42.5,"August",0,0,1,Aug 2011,"TZ2009L146"
"4308","1102028002055801",0,1,1,0,11.1999998092651,2,18.6000003814697,66.5,91.8000030517578,144.199996948242,2027,"11228002","rural","2",8,2011,0,5,42.5,"August",0,0,1,Aug 2011,"TZ2009L171"
"4309","1102028002065601",1,0,1,0,13.3000001907349,2,19.3999996185303,66.5999984741211,92.1999969482422,144.899993896484,2029,"11228002","rural","2",8,2011,0,8,79.5,"August",0,0,1,Aug 2011,"TZ2009L146"
"4310","1102028002065601",1,0,1,0,13.3000001907349,2,19.3999996185303,66.5999984741211,92.1999969482422,144.899993896484,2029,"11228002","rural","2",8,2011,0,8,79.5,"August",0,0,1,Aug 2011,"TZ2009L171"
"4311","1102028002065603",1,0,1,0,4.5,0,0.200000002980232,6.40000009536743,6.80000019073486,464.799987792969,12,"11228002","urban","3",10,2011,0,8,95,"October",0,0,1,Oct 2011,"TZ2009L146"
"4312","1102028002065603",1,0,1,0,4.5,0,0.200000002980232,6.40000009536743,6.80000019073486,464.799987792969,12,"11228002","urban","3",10,2011,0,8,95,"October",0,0,1,Oct 2011,"TZ2009L171"
"4313","1102028005004801",1,0,1,0,12.8000001907349,0,21.5,63.7999992370605,96.4000015258789,149,2013,"11228005","rural","2",2,2011,0,6,46.5,"February",0,0,1,Feb 2011,"TZ2009L171"
"4314","1102028005004801",1,0,1,0,12.8000001907349,0,21.5,63.7999992370605,96.4000015258789,149,2013,"11228005","rural","2",2,2011,0,6,46.5,"February",0,0,1,Feb 2011,"TZ2009L175"
"4315","1102028005004803",1,0,1,0,11.5,0,20.7000007629394,64.4000015258789,95.1999969482422,147.699996948242,1986,"11228005","rural","2",2,2011,0,8,83.5,"February",0,0,1,Feb 2011,"TZ2009L171"
"4316","1102028005004803",1,0,1,0,11.5,0,20.7000007629394,64.4000015258789,95.1999969482422,147.699996948242,1986,"11228005","rural","2",2,2011,0,8,83.5,"February",0,0,1,Feb 2011,"TZ2009L175"
"4317","1102028005007801",1,0,1,0,12.8000001907349,0,21.2999992370606,63.7999992370605,96.1999969482422,148.699996948242,1988,"11228005","rural","2",2,2011,0,7,68.5,"February",0,0,1,Feb 2011,"TZ2009L171"
"4318","1102028005007801",1,0,1,0,12.8000001907349,0,21.2999992370606,63.7999992370605,96.1999969482422,148.699996948242,1988,"11228005","rural","2",2,2011,0,7,68.5,"February",0,0,1,Feb 2011,"TZ2009L175"
"4319","1102028005013701",0,1,1,0,12.8000001907349,0,21.1000003814697,63.7000007629395,96.0999984741211,148.600006103516,1999,"11228005","rural","2",2,2011,14,7,77,"February",0,0,1,Feb 2011,"TZ2009L171"
"4320","1102028005013701",0,1,1,0,12.8000001907349,0,21.1000003814697,63.7000007629395,96.0999984741211,148.600006103516,1999,"11228005","rural","2",2,2011,14,7,77,"February",0,0,1,Feb 2011,"TZ2009L175"
"4321","1102028005013704",1,0,1,0,4,31,0.300000011920929,39.5999984741211,39.5999984741211,116.900001525879,1374,"11228005","rural","7",3,2011,8,5,33.5,"March",0,0,0,Mar 2011,"TZ2009L171"
"4322","1102028005013704",1,0,1,0,4,31,0.300000011920929,39.5999984741211,39.5999984741211,116.900001525879,1374,"11228005","rural","7",3,2011,8,5,33.5,"March",0,0,0,Mar 2011,"TZ2009L175"
"4323","1102028005014801",0,1,1,0,12.8000001907349,0,21,63.7000007629395,96.0999984741211,148.5,1988,"11228005","rural","2",2,2011,0,6,48.5,"February",0,0,1,Feb 2011,"TZ2009L171"
"4324","1102028005014801",0,1,1,0,12.8000001907349,0,21,63.7000007629395,96.0999984741211,148.5,1988,"11228005","rural","2",2,2011,0,6,48.5,"February",0,0,1,Feb 2011,"TZ2009L175"
"4325","1102028005014803",1,0,1,0,12.8000001907349,0,21,63.7000007629395,96.0999984741211,148.5,1990,"11228005","rural","2",2,2011,0,4,46,"February",0,0,1,Feb 2011,"TZ2009L171"
"4326","1102028005014803",1,0,1,0,12.8000001907349,0,21,63.7000007629395,96.0999984741211,148.5,1990,"11228005","rural","2",2,2011,0,4,46,"February",0,0,1,Feb 2011,"TZ2009L175"
"4327","1102028005023501",0,1,1,0,12.8000001907349,0,20.7999992370606,63.7000007629395,96,148.300003051758,1995,"11228005","rural","2",2,2011,0,6,75.5,"February",0,0,1,Feb 2011,"TZ2009L171"
"4328","1102028005023501",0,1,1,0,12.8000001907349,0,20.7999992370606,63.7000007629395,96,148.300003051758,1995,"11228005","rural","2",2,2011,0,6,75.5,"February",0,0,1,Feb 2011,"TZ2009L175"
"4329","1102028005060301",1,0,1,0,9.5,0,20.2000007629394,65,94.4000015258789,147,2002,"11228005","rural","2",2,2011,0,7,43.5,"February",0,0,1,Feb 2011,"TZ2009L171"
"4330","1102028005060301",1,0,1,0,9.5,0,20.2000007629394,65,94.4000015258789,147,2002,"11228005","rural","2",2,2011,0,7,43.5,"February",0,0,1,Feb 2011,"TZ2009L175"
"4331","1102028005063201",0,1,1,0,11.5,0,20.7999992370606,64.3000030517578,95.4000015258789,147.899993896484,1993,"11228005","rural","2",2,2011,0,5,58.5,"February",0,0,1,Feb 2011,"TZ2009L171"
"4332","1102028005063201",0,1,1,0,11.5,0,20.7999992370606,64.3000030517578,95.4000015258789,147.899993896484,1993,"11228005","rural","2",2,2011,0,5,58.5,"February",0,0,1,Feb 2011,"TZ2009L175"
