"case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","FNID"
1073002011,0,1,1,0,0,1,0,0,0,0,0,0,0.172,28.772,49.024,49.024,60,9.083116,1255,"Rural","10730020","MUBENDE","MYANZI",6,2012,4,45.5,"June",0,1,0,Jun 2012,-0.279438406540329,"UG2011L135"
1073002011,0,1,1,0,0,1,0,0,0,0,0,0,0.172,28.772,49.024,49.024,60,9.083116,1255,"Rural","10730020","MUBENDE","MYANZI",6,2012,4,45.5,"June",0,1,0,Jun 2012,-0.279438406540329,"UG2011L138"
1073002301,1,0,1,0,0,1,0,0,0,0,1,1,9.0331,31.483,41.0398,48.7243,60,6.571875,1243,"Rural","10730023","MUBENDE","KALWANA",4,2012,7,75,"April",0,1,0,Apr 2012,2.41140936089148,"UG2011L135"
1073002301,1,0,1,0,0,1,0,0,0,0,1,1,9.0331,31.483,41.0398,48.7243,60,6.571875,1243,"Rural","10730023","MUBENDE","KALWANA",4,2012,7,75,"April",0,1,0,Apr 2012,2.41140936089148,"UG2011L138"
1073002302,0,1,1,0,0,1,0,1,0,0,0,0,13.0582,37.5624,37.5624,37.5624,60,7.729695,1282,"Rural","10730023","MUBENDE","KALWANA",4,2012,7,56,"April",0,1,0,Apr 2012,-0.279825051227267,"UG2011L135"
1073002302,0,1,1,0,0,1,0,1,0,0,0,0,13.0582,37.5624,37.5624,37.5624,60,7.729695,1282,"Rural","10730023","MUBENDE","KALWANA",4,2012,7,56,"April",0,1,0,Apr 2012,-0.279825051227267,"UG2011L138"
1073002303,1,0,1,0,0,0,0,0,0,0,1,1,13.261,37.5679,37.5679,37.5679,60,7.729695,1296,"Rural","10730023","MUBENDE","KALWANA",4,2012,7,46.5,"April",0,1,0,Apr 2012,1.95204410575873,"UG2011L135"
1073002303,1,0,1,0,0,0,0,0,0,0,1,1,13.261,37.5679,37.5679,37.5679,60,7.729695,1296,"Rural","10730023","MUBENDE","KALWANA",4,2012,7,46.5,"April",0,1,0,Apr 2012,1.95204410575873,"UG2011L138"
1073002304,0,1,1,0,0,0,0,1,0,0,0,0,13.4954,37.1681,37.1681,37.1681,60,7.466384,1300,"Rural","10730023","MUBENDE","KALWANA",4,2012,3,42.5,"April",0,1,0,Apr 2012,-0.739190306360022,"UG2011L135"
1073002304,0,1,1,0,0,0,0,1,0,0,0,0,13.4954,37.1681,37.1681,37.1681,60,7.466384,1300,"Rural","10730023","MUBENDE","KALWANA",4,2012,3,42.5,"April",0,1,0,Apr 2012,-0.739190306360022,"UG2011L138"
