"","clust_L12raincytot","clust_L12day1rain","clust_L12maxdays","clust_floodmax","clust_cells_own","clust_price","clust_thinn","clust_roof","clust_hhsize","clust_hh_age","clust_hh_gender","clust_asset","clust_dist_road","clust_dist_admarc","clust_percent_ag","clust_nutri_reten_constrained","clust_elevation","clust_logFCS","clust_RCSI","clust_HDDS","ipc_lag1","ipc_lag12"
"63",706.48132,58,14,0,1.9375,3.5094538,1,0.9375,4.4375,36.5625,1.125,0.17286335,2.5293751,8.5650005,0,0,1136.375,4.2006311,1.6875,6.4375,1,NA
"64",708.63361,77,14,0,1.375,3.5094538,1,0.75,5.6875,38,1.0625,-0.20254961,4.223125,6.9581251,0,0,1027.25,3.9713252,4.75,6.0625,1,NA
"65",705.11145,58,14,0,1.375,3.5094538,1,0.75,5.1875,37.875,1.125,-0.077411264,1.973125,5.5925002,0,0,1061.25,4.0461884,2.4375,6,1,NA
"66",653.93909,74,13,0,0.25,3.3781595,0.64687502,0.0625,4.9375,36,1.0625,0.047726195,15.98375,6.9493752,0.375,0,557.5,3.7326937,1.3125,4.375,1,NA
"67",729.08478,50,33,0,0.3125,3.7025359,0.75,0.0625,4,46.5625,1.375,-0.32768625,28.531876,8.8393745,0.60000002,0,553.8125,3.5054748,3.4375,4,1,NA
"68",960.97485,50,18,0,0.0625,3.4584107,0.78437501,0.3125,4.625,41.9375,1.125,-0.077411816,34.026669,8.6646662,0,0,851.86664,3.7245102,0.5,4.875,1,NA
"69",760.61261,74,19,0,0.625,3.6099019,0.68437499,0.4375,3.75,41.6875,1.4375,-0.077412993,0.55799997,4.3140001,0,0,1121,3.9703393,2.125,5.9375,1,NA
"70",704.59991,74,15,0,0.3125,3.527683,0.49375001,0.4375,4.1875,39.875,1.3125,0.047726765,3.7037501,7.1043749,0.60000002,0,834.5625,3.9364552,1.875,5.875,1,NA
"71",714.88147,73,8,0,0.375,3.7841897,0.75,0.1875,4.4375,43.3125,1.375,0.17286368,7.5793748,2.7112501,0.375,0,888,3.8559587,2.9375,5.8125,1,NA
"72",707.32465,77,19,0,0.375,3.4911904,0.5,0.125,3.5,48.25,1.3125,-0.32768708,7.30125,9.038125,0.60000002,0,426.125,3.5456903,3.625,4.6875,1,NA
"73",708.80872,74,16,0,0.3125,3.9068093,0.5,0.1875,4.5625,48,1.3125,0.17286283,2.77,3.806875,0.60000002,1,797,3.6619463,5.5,5.4375,1,NA
