"","case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","lat_modified","lon_modified","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","terrain_rough","nutri_avail","nutri_rentention","region","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","survey_round","HDDS","FCS","country","Month"
"40","1021000810",0,1,1,0,0,1,0,0,0,0,1,1,0.35690978,32.588352,0.72,3.7299,3.7299,3.7299,0,7.53659,1197,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210008,"KAMPALA","KAWEMPE DIVISION",7,2012,"Uganda NPS 2011/2012",5,51.5,"Uganda","July"
"41","1021000811",1,0,1,0,0,1,0,0,0,0,1,1,0.35690978,32.588352,0.6742,3.8314,3.8314,3.8314,0,7.53659,1194,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210008,"KAMPALA","KAWEMPE DIVISION",12,2011,"Uganda NPS 2011/2012",5,56,"Uganda","December"
"42","1021000906",1,0,1,0,0,1,1,0,0,0,1,2,0.36253446,32.574726,0.4982,3.0201,3.0201,3.0201,0,7.448834,1186,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210009,"KAMPALA","KAWEMPE DIVISION",12,2011,"Uganda NPS 2011/2012",6,62.5,"Uganda","December"
"43","1021001003",0,1,1,0,0,1,1,0,0,0,1,2,0.34599793,32.583225,0.1811,5.5335,6.4345,6.4345,2,6.940067,1215,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210010,"KAMPALA","KAWEMPE DIVISION",9,2012,"Uganda NPS 2011/2012",4,48,"Uganda","September"
"44","1021001004",1,0,1,0,0,1,0,0,0,0,1,1,0.34599793,32.583225,0.2076,2.4013,2.4013,2.4013,0,6.799782,1177,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210010,"KAMPALA","KAWEMPE DIVISION",2,2012,"Uganda NPS 2011/2012",4,24,"Uganda","February"
"45","1021001007",1,0,1,0,0,0,1,0,0,0,1,2,0.34599793,32.583225,0.5067,2.2919,2.2919,2.2919,0,6.799782,1207,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210010,"KAMPALA","KAWEMPE DIVISION",9,2012,"Uganda NPS 2011/2012",5,37,"Uganda","September"
"46","1021001011",1,0,1,0,0,0,0,0,0,0,1,2,0.34599793,32.583225,0.2525,2.5782,2.5782,2.5782,0,6.799782,1191,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint","Central","Urban",10210010,"KAMPALA","KAWEMPE DIVISION",9,2012,"Uganda NPS 2011/2012",4,26.5,"Uganda","September"
"47","1021001102",1,0,1,0,0,1,0,0,0,0,1,1,0.28927287,32.615974,2.2443,5.7789,5.7789,5.7789,50,4.383581,1146,"High-altitude Plains","Severe Constraint","Moderate Constraint","Central","Urban",10210011,"KAMPALA","MAKINDYE DIVISION",3,2012,"Uganda NPS 2011/2012",6,38,"Uganda","March"
"48","1021001105",1,0,1,0,0,0,0,0,0,0,1,1,0.28927287,32.615974,2.1321,5.9949,5.9949,5.9949,50,9.593676,1143,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210011,"KAMPALA","MAKINDYE DIVISION",3,2012,"Uganda NPS 2011/2012",NA,2,"Uganda","March"
"49","1021001107",1,0,1,0,0,1,1,0,0,0,1,3,0.28927287,32.615974,2.3058,5.7086,5.7086,5.7086,42,4.383581,1150,"Mid-altitude Plateaus","Severe Constraint","Moderate Constraint","Central","Urban",10210011,"KAMPALA","MAKINDYE DIVISION",4,2012,"Uganda NPS 2011/2012",5,39,"Uganda","April"
