case_id,cellphone,number_celphones,slope,ag_percent,elevation,terrain_rough,ea_id,lat_modified,lon_modified,reside,region,hh_a01,ward,FS_month,FS_year,survey_round,rCSI,HDDS,FCS,country,asset_index,distance_index,housing_index,nutri_reten_constrained,nutri_avail_constrained
0104017304003401,0,0,1.799999952316284,8,1050,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,urban,1,4,173,4,2011,Tanzania NPS 2010/2011,0,6,65.5,Tanzania,-.39868104,-.18060943,-.88582069,1,1
0104017304003406,1,1,1.5,43,370,Mid-altitude plains,1417304,-6.391560077667236,35.89620971679688,rural,5,6,83,11,2011,Tanzania NPS 2010/2011,0,2,18,Tanzania,-.39868098,.71247518,-.88582069,1,1
0104017304003407,0,0,1.799999952316284,8,1045,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,urban,1,4,173,4,2011,Tanzania NPS 2010/2011,0,5,51.5,Tanzania,-.39868104,-.18928005,-.88583499,1,1
0104017304004102,0,0,1.799999952316284,6,1049,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,urban,1,4,173,4,2011,Tanzania NPS 2010/2011,0,6,63.5,Tanzania,-.39868104,-.1762742,-.88583499,1,1
0104017304008601,0,0,1.799999952316284,6,1051,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,urban,1,4,173,4,2011,Tanzania NPS 2010/2011,16,5,66.5,Tanzania,-.39868096,-.17193888,2.2580109,1,1
0104017304009201,0,0,1.799999952316284,6,1050,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,urban,1,4,173,4,2011,Tanzania NPS 2010/2011,5,6,62.5,Tanzania,-.39868104,-.17193885,2.2580109,1,1
0104017304009401,1,2,1.799999952316284,6,1048,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,urban,1,4,173,4,2011,Tanzania NPS 2010/2011,0,5,43.5,Tanzania,-.39868104,-.18060946,-.88582069,1,1
0104017304009402,1,1,1.200000047683716,0,1008,High-altitude plains,1417304,-6.391560077667236,35.89620971679688,rural,1,4,181,10,2011,Tanzania NPS 2010/2011,0,5,71,Tanzania,-.39868104,-.54477286,2.2580109,1,1
0104031001003001,0,0,1.600000023841858,0,1050,High-altitude plains,1431001,-6.375259876251221,35.64825057983398,rural,1,4,311,1,2011,Tanzania NPS 2010/2011,14,3,49,Tanzania,-.39868096,-.3236759,2.2580109,1,1
0104031001010201,0,0,2.700000047683716,0,1056,High-altitude plains,1431001,-6.375259876251221,35.64825057983398,rural,1,4,311,1,2011,Tanzania NPS 2010/2011,0,5,58,Tanzania,-.39868096,-.33668202,2.2580109,1,1
0104031001017402,1,3,2.799999952316284,2,1066,High-altitude plains,1431001,-6.375259876251221,35.64825057983398,rural,1,4,311,1,2011,Tanzania NPS 2010/2011,2,7,88.5,Tanzania,-.39868104,-.38437006,-.88582069,1,1
0104031001017403,1,1,1.399999976158142,0,1119,High-altitude plains,1431001,-6.375259876251221,35.64825057983398,urban,1,5,53,1,2011,Tanzania NPS 2010/2011,0,8,85.5,Tanzania,2.50793,-.71819371,-.88582069,1,1
0104031001018001,1,1,2.799999952316284,0,1071,Mid-altitude plateaus,1431001,-6.375259876251221,35.64825057983398,rural,1,4,311,1,2011,Tanzania NPS 2010/2011,0,5,64,Tanzania,-.39868104,-.38003486,2.2580109,1,1
0104031001046201,0,0,0,0,698,High-altitude plains,1431001,-6.375259876251221,35.64825057983398,rural,1,4,221,1,2011,Tanzania NPS 2010/2011,0,7,62,Tanzania,-.39868096,-.21960999,-.88583499,1,1
0104031001048201,1,2,2.299999952316284,33,122,Plains,1431001,-6.375259876251221,35.64825057983398,rural,7,2,223,3,2011,Tanzania NPS 2010/2011,0,6,51.5,Tanzania,-.39868104,-.16326708,-.88583499,1,1
0104031001074501,0,0,4.199999809265137,31,1085,High-altitude plains,1431001,-6.375259876251221,35.64825057983398,rural,1,5,231,1,2011,Tanzania NPS 2010/2011,12,3,49,Tanzania,-.39868096,-.52743548,2.2580109,1,1
