year,month,market,maize_price,missing
2008,5,BVUMBWE,40.0,0
2008,5,CHAMAMA,33.11,1
2008,5,CHATOLOMA,30.0,0
2008,5,CHIKWAWA,36.31666666666667,0
2008,5,CHILINGA,33.11,1
2008,5,CHILUMBA,25.189999999999998,1
2008,5,CHIMBIYA,36.593333333333334,0
2008,5,CHINTHECHE,35.90333333333333,0
2008,5,CHIRADZULU,36.666666666666664,0
2008,5,CHITIPA,25.133333333333336,0
2008,5,DOWA,35.0,0
2008,5,DWANGWA,33.17333333333333,0
2008,5,EMBANGWENI,28.645000000000003,1
2008,5,HEWE,19.666666666666668,0
2008,5,JALI,30.536666666666665,0
2008,5,JENDA,28.645000000000003,1
2008,5,KARONGA,25.189999999999998,0
2008,5,KASIYA,28.333333333333332,1
2008,5,KASUNGU,33.333333333333336,0
2008,5,LILONGWE,35.0,0
2008,5,LIMBE,32.36333333333334,0
2008,5,LIWONDE,40.0,0
2008,5,LIZULU,34.22,0
2008,5,LUCHENZA,33.333333333333336,0
2008,5,LUNZU,26.666666666666668,0
2008,5,MADISI,40.07333333333333,1
2008,5,MALOMO,40.07333333333333,0
2008,5,MANGOCHI,28.599999999999998,0
2008,5,MAYAKA,36.666666666666664,1
2008,5,MCHINJI,23.103333333333335,0
2008,5,MIGOWI,33.11,1
2008,5,MISUKU,17.176666666666666,0
2008,5,MITUNDU,26.790000000000003,0
2008,5,MKANDA,25.8,0
2008,5,MONKEY BAY,28.909999999999997,0
2008,5,MPAMBA,39.343333333333334,1
2008,5,MPONELA,33.33,0
2008,5,MTAKATAKA,43.0,0
2008,5,MULOZA,33.11,0
2008,5,MWANSAMBO,29.0,0
2008,5,MWANZA,30.900000000000002,0
2008,5,MZIMBA,28.645000000000003,0
2008,5,MZUZU,39.343333333333334,0
2008,5,NAMBUMA,33.33,0
2008,5,NAMWERA,35.29,0
2008,5,NANJIRI,28.01,0
2008,5,NCHALO,41.48,0
2008,5,NENO,33.11,1
2008,5,NGABU,33.776666666666664,0
2008,5,NKHAMENYA,30.0,0
2008,5,NKHATABAY,43.64333333333334,0
2008,5,NKHOMA,30.0,0
2008,5,NKHOTAKOTA,33.776666666666664,0
2008,5,NSANJE,31.41,0
2008,5,NSUNDWE,35.4,0
2008,5,NTAJA,30.5,0
2008,5,NTCHEU,34.629999999999995,0
2008,5,NTCHISI,41.1,0
2008,5,NTHALIRE,37.76,0
2008,5,NTONDA,40.0,1
2008,5,PHALOMBE,29.035,0
2008,5,RUMPHI,31.58,0
2008,5,SALIMA,32.5,0
2008,5,SANTHE,28.333333333333332,0
2008,5,SHARPEVALEY,34.629999999999995,1
2008,5,THETE,24.0,0
2008,5,THONDWE,26.4,0
2008,5,TSANGANO,31.564999999999998,0
2008,5,ZOMBA,34.46333333333333,0
2008,6,BALAKA,42.76,0
2008,6,BANGULA,50.0,0
2008,6,BEMBEKE,45.36666666666667,0
2008,6,BOWE,33.5,0
2008,6,BVUMBWE,40.0,0
2008,6,CHAMAMA,40.0,1
2008,6,CHATOLOMA,33.0,0
2008,6,CHIKWAWA,42.52,0
2008,6,CHILINGA,40.0,1
2008,6,CHILUMBA,46.20333333333334,1
2008,6,CHIMBIYA,37.5,0
2008,6,CHINTHECHE,35.175,0
2008,6,CHIRADZULU,42.553333333333335,0
2008,6,CHITIPA,32.453333333333326,0
2008,6,DOWA,48.333333333333336,0
2008,6,DWANGWA,39.70666666666667,0
2008,6,EMBANGWENI,31.55333333333333,1
2008,6,HEWE,33.33,0
2008,6,JALI,35.21333333333333,0
2008,6,JENDA,31.55333333333333,1
2008,6,KARONGA,46.20333333333334,0
2008,6,KASIYA,30.0,0
2008,6,KASUNGU,34.0,0
2008,6,LILONGWE,35.0,0
2008,6,LIMBE,38.2,0
2008,6,LIWONDE,40.0,0
2008,6,LIZULU,34.6,0
2008,6,LUCHENZA,40.0,0
2008,6,LUNZU,38.666666666666664,0
2008,6,MADISI,35.0,0
2008,6,MALOMO,47.45,0
2008,6,MANGOCHI,39.832499999999996,0
2008,6,MAYAKA,42.553333333333335,1
2008,6,MCHINJI,44.55,0
2008,6,MIGOWI,40.0,1
2008,6,MISUKU,16.963333333333335,0
2008,6,MITUNDU,36.625,0
2008,6,MKANDA,44.55,1
2008,6,MONKEY BAY,41.32,0
2008,6,MPAMBA,32.903333333333336,0
2008,6,MPONELA,28.573333333333334,0
2008,6,MTAKATAKA,38.89,0
2008,6,MULOZA,40.0,0
