"y3_hhid","FCS","HDDS","rCSI","rural","FS_month","FS_year","clusterid","region2","region3","region4","region5","region6","region7","region8","region9","region10","region11","region12","region13","region14","region15","region16","region17","region18","region19","region20","region21","region51","region52","region53","region54","region55","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","slope","head_age","female_head","asset_index","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron"
"0035-001",17.5,3,0,0,4,2013,1313004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,81.5,14,0,0,0,0,19.47426,30,0,-0.974219159450205,0,0,1,1,1
"0036-001",23,3,0,1,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,77.1,0,0,0,0,0,2.251855,57,0,-0.974219159450205,0,0,1,1,1
"0037-001",21,2,42,1,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,77.3,0,0,0,0,0,2.548733,69,1,-0.974219159450205,0,0,1,0,0
"0038-001",22,3,0,1,4,2013,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5,92,53,0,0,0,0,1.029781,43,0,-0.471759940995738,1,2,1,1,1
"0038-002",31,3,0,1,5,2013,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,78.4,0,0,0,0,0,2.321705,31,0,-0.974219159450205,0,0,1,0,0
"0039-001",41.5,4,0,1,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,78.6,0,0,0,0,0,2.164546,64,0,-0.471759940995738,1,1,1,1,1
"0039-004",56,5,0,1,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,82,0,0,0,0,0,2.356631,28,0,-0.471759940995738,0,0,1,0,0
"0040-001",42.5,4,0,1,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,82.2,0,0,0,0,0,2.356631,29,1,-0.471759940995738,0,0,1,1,1
"0041-002",32,4,0,0,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,76.1,0,0,0,0,0,2.182008,47,1,-0.974219159450205,0,0,1,1,1
"0041-006",38,5,2,0,12,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,74.8,6,0,0,0,0,2.845654,29,0,-0.974219159450205,1,2,0,1,1
"0042-001",35,5,0,0,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,76,0,0,0,0,0,2.182008,44,0,-0.471759940995738,1,1,0,1,1
"0043-001",45,5,0,0,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,75.9,0,0,0,0,0,2.007398,33,1,-0.974219159450205,1,1,1,1,1
"0043-002",68,7,9,0,12,2012,1313301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2.3,0,0,1,0,0,3.736742,60,0,-0.974219159450205,1,4,0,1,1
"0044-001",48,5,0,0,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,75.2,2,0,0,0,0,2.007398,40,0,0.903910775957016,1,2,0,1,1
"0045-001",30,4,0,1,11,2012,1313301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,76.1,6,0,0,0,0,1.675673,79,0,-0.455868827063573,0,0,1,0,0
"0046-001",39,5,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,28.6,6,0,1,0,0,1.815342,61,0,-0.471759940995738,1,1,0,1,1
"0046-002",48,6,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,28.6,6,0,1,0,0,1.815342,32,0,-0.974219159450205,0,0,1,1,1
"0047-001",74,5,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,28.6,6,0,1,0,0,1.815342,67,0,-0.99011027338237,0,0,1,0,0
"0048-001",21,2,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,28.6,6,0,1,0,0,1.815342,53,1,-0.974219159450205,0,0,1,0,0
"0048-002",32,5,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,29.7,2,0,1,0,0,2.496339,23,0,-0.471759940995738,0,0,1,1,1
"0049-001",34,4,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,28.7,8,0,1,0,0,1.815342,42,0,-0.99011027338237,1,2,0,1,1
"0051-001",33.5,4,25,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,28.7,8,0,1,0,0,1.815342,55,1,-0.974219159450205,0,0,1,1,1
"0051-002",67,6,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,29.9,4,0,1,0,0,3.42218,63,0,2.70500815870839,1,4,0,1,1
"0051-003",37,6,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,29,8,0,1,0,0,2.688454,25,0,-0.974219159450205,0,0,1,1,1
"0052-001",41,6,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,28.6,6,0,1,0,0,1.815342,25,0,-0.974219159450205,1,1,1,1,1
"0053-001",40.5,6,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28.7,6,0,1,0,0,1.815342,81,0,-0.471759940995738,1,2,1,0,0
"0054-001",23.5,5,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28.7,6,0,1,0,0,1.815342,40,0,-0.99011027338237,0,0,1,0,0
"0055-001",65,7,0,0,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,28.6,6,0,1,0,0,1.815342,67,1,-0.471759940995738,1,1,0,1,1
"0056-001",55.5,4,0,1,4,2013,1417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,33.4,0,0,1,0,0,1.169424,45,0,-0.455868827063573,1,1,1,0,0
"0057-001",21,2,6,1,1,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,23.2,0,0,1,0,0,1.605841,71,1,-0.455868827063573,0,0,1,0,0
"0058-001",24.5,4,7,1,1,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,22.4,0,0,1,0,0,2.670989,69,0,-0.471759940995738,0,0,1,0,0
"0059-001",64,6,0,1,1,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,23,4,0,1,0,0,2.845654,82,1,-0.471759940995738,1,3,0,1,1
"0059-002",44,5,0,1,1,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,23.5,0,0,1,0,0,1.762965,43,0,1.31344632782347,1,2,0,1,1
"0060-001",78.5,7,12,0,1,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2.5,0,0,0,0,0,1.378898,47,1,1.31344632782347,1,2,0,1,1
"0062-001",49,6,0,1,4,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,16.7,12,0,1,0,0,1.640757,35,0,-0.974219159450205,1,1,1,1,1
"0063-001",70,7,0,0,1,2013,1431001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,21.9,33,0,1,0,0,2.339168,31,0,-0.471759940995738,1,2,0,1,1
"0064-001",22,3,7,1,1,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,20.8,20,0,1,0,0,2.670989,64,1,-0.974219159450205,0,0,1,0,0
"0065-001",21,2,0,1,1,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,20.8,31,0,1,0,0,4.156275,100,1,-0.455868827063573,0,0,1,0,0
"0066-001",29,3,0,1,1,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,24.6,0,0,1,0,0,1.378898,72,0,-0.974219159450205,0,0,1,0,0
"0067-001",33,3,3,1,1,2013,1431001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,24.6,0,0,1,0,0,1.378898,25,0,-0.974219159450205,0,0,1,0,0
"0068-001",41,6,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,58.3,0,0,1,0,0,1.012326,37,1,-0.974219159450205,0,0,1,0,0
"0069-001",31,4,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,59.1,0,0,1,0,0,0.9425057,69,0,-0.974219159450205,0,0,1,0,0
"0070-001",78.5,7,0,1,7,2013,1438003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,59.5,0,0,1,0,0,0.9425057,40,0,-0.471759940995738,1,1,1,0,0
