"HHID","case_id","FCS","HDDS","rCSI","ea_id","region_north","region_central","rural","FS_month","FS_year","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car"
"bb2f82ba429e4d5e997e5aa327649c87","104201940284",61,4,12,"10420194",1,0,0,3,2017,-11.025932,33.845638,0,1,53,53,0,0,0,0,31,0,0,1,2,1,1,1,1,1,0,0,0
"bb314625fd8d49868258cef5cce192b2","202012800136",45,5,0,"20201280",0,1,1,1,2017,-12.480156,34.125547,4,6,59,60,0,1,0,0,64,0,0,0,0,1,1,0,1,1,1,0,0
"bb3e388c98e344a2bd189a120baf00a3","303025700300",40.5,4,28,"30302570",0,0,1,1,2017,-15.38839,35.467089,9,11,15,28,0,0,0,0,79,1,1,0,0,0,0,0,0,0,0,0,0
"bb40f37c01c64cf9beec67c8de02f053","201102660151",32,4,3,"20110266",0,1,1,3,2017,-12.553069,33.310314,20,22,55,47,1,0,0,0,49,0,1,1,1,1,1,0,0,1,1,0,0
"bb4ad46308fd47f2a1734aea35038427","101021090302",45.5,5,3,"10102109",1,0,1,3,2017,-9.678125,33.40707,6,8,65,12,0,1,0,0,30,0,1,0,0,1,1,0,1,0,0,0,0
"bb59e92840e7415aa3208fd19cf0e263","105011960013",42,4,23,"10501196",1,0,1,3,2017,-11.843331,33.53769,1,6,11,53,0,1,0,0,82,1,1,0,0,0,0,0,0,0,0,0,0
"bb63d9a25e354f6aaa0a5c92aa78fff3","107392480028",34,3,0,"10739248",1,0,0,4,2017,-11.448798,34.022058,1,18,2,37,1,0,0,0,47,0,0,1,2,1,1,0,0,0,0,0,0
"bb6780da8d6948c7a6fad39e116f0509","303045760055",38,4,0,"30304576",0,0,1,4,2017,-15.473915,35.311902,6,10,14,0,0,0,0,0,48,0,1,1,1,1,1,0,1,0,1,0,0
"bb688130f15b4d87865e26fade02af4b","304015920207",85,6,0,"30401592",0,0,1,4,2016,-15.705208,35.151067,0,5,18,4,0,0,0,0,39,0,0,1,2,1,1,0,0,1,0,0,0
"bb6d0deb1d9f4ad3b59b3dafd5d25bbf","311057690102",21,3,32,"31105769",0,0,1,9,2016,-16.737738,35.242437,1,2,24,24,0,0,0,0,57,0,1,0,0,0,0,0,0,0,1,0,0
