"HHID","FCS","HDDS","rural","FS_month","FS_year","ea_id","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","Radio","Television","Bicycle","Motorcycle","Car","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron"
"1021000111",65,7,0,6,2012,10210001,0,0,0,0.33318766951561,32.5706558227539,1.139,0.8115,0,0,1,0,0,49,0,1,1,1,0,0,1,7,0,1,1
"1021000113",54,6,0,6,2012,10210001,0,0,0,0.33318766951561,32.5706558227539,1.1269,0.8459,0,0,1,0,0,48,0,1,1,0,0,1,1,8,0,1,1
"1021000201",75,7,0,12,2011,10210002,0,0,0,0.313044756650925,32.5691452026367,1.4203,1.5445,2,0,1,0,0,42,0,1,1,0,0,0,1,1,0,1,1
"1021000203",44.5,7,0,12,2011,10210002,0,0,0,0.313044756650925,32.5691452026367,1.344,1.5936,4,0,1,0,0,60,1,1,0,0,0,0,0,0,0,1,1
"1021000204",8,1,0,7,2012,10210002,0,0,0,0.313044756650925,32.5691452026367,1.3611,1.5799,4,0,1,0,0,38,0,0,0,0,0,0,0,0,1,1,1
"1021000207",69,6,0,12,2011,10210002,0,0,0,0.313044756650925,32.5691452026367,1.4802,1.6065,12,0,1,0,0,40,1,0,0,0,0,0,0,0,1,1,1
"1021000212",42,6,0,7,2012,10210002,0,0,0,0.313044756650925,32.5691452026367,1.4074,1.5642,2,0,1,0,0,50,1,1,1,0,0,0,1,1,0,1,1
"1021000213",53,6,0,7,2012,10210002,0,0,0,0.313044756650925,32.5691452026367,1.4433,1.5182,2,0,1,0,0,53,0,1,1,0,0,0,1,3,0,1,1
"1021000312",78,6,0,1,2012,10210003,0,0,0,0.303095519542694,32.5733451843262,1.8695,0.0807,0,0,1,0,0,32,1,1,1,1,0,0,1,1,0,1,1
"1021000402",55,7,0,2,2012,10210004,0,0,0,0.345752984285355,32.5462989807129,0.0683,4.0583,0,0,1,0,0,45,0,1,1,0,0,0,1,4,0,1,1
"1021000405",55,7,0,2,2012,10210004,0,0,0,0.345752984285355,32.5462989807129,0.0558,3.9988,0,0,1,0,0,31,0,1,0,0,0,0,1,1,0,1,1
"102100040502",52,7,0,8,2012,10210004,0,0,0,0.345752984285355,32.5462989807129,1.2323,2.5357,12,0,1,0,0,29,1,0,1,0,0,0,1,2,0,1,1
"1021000406",47,7,0,8,2012,10210004,0,0,0,0.345752984285355,32.5462989807129,0.0146,3.9812,0,0,1,0,0,36,0,1,1,1,0,0,1,2,0,1,1
"1021000503",64,5,0,3,2012,10210005,0,0,0,0.378049045801163,32.5941276550293,0.2583,5.8982,6,0,1,0,0,37,1,1,1,0,0,0,1,2,0,1,1
"1021000504",34,5,0,3,2012,10210005,0,0,0,0.378049045801163,32.5941276550293,0.1458,5.7432,8,0,1,0,0,39,1,0,0,0,0,0,0,0,0,1,1
"1021000506",54,5,0,3,2012,10210005,0,0,0,0.378049045801163,32.5941276550293,0.1981,5.7134,8,0,1,0,0,47,0,1,1,0,0,0,1,3,0,1,1
"1021000604",31,5,0,10,2012,10210006,0,0,0,0.371428996324539,32.5650596618652,0.7341,4.4388,2,0,1,0,0,44,0,1,1,1,1,0,1,3,0,1,1
"1021000607",73,7,0,4,2012,10210006,0,0,0,0.371428996324539,32.5650596618652,0.8683,4.5855,2,0,1,0,0,48,1,1,1,0,0,1,1,8,0,1,1
"1021000608",84,7,0,11,2012,10210006,0,0,0,0.371428996324539,32.5650596618652,0.6805,4.9556,0,0,1,0,0,27,0,1,1,0,1,0,1,2,0,1,1
"1021000610",49.5,5,0,4,2012,10210006,0,0,0,0.371428996324539,32.5650596618652,0.7552,4.445,2,0,1,0,0,50,0,0,1,0,0,0,1,2,0,1,1
