"ea_id","FCS","HDDS","rCSI","region_north","region_central","rural","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","FS_month","FS_year","head_age","female_head","hhsize","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car","HHID"
20507571,37,3,0,0,1,1,-13.6187000274658,34.309700012207,0.25,1.62000000476837,23.7000007629395,24,0,0,0,0,7,2010,52,0,7,1,1,1,0,0,0,0,0,1,0,0,"205075710051"
20507571,68,7,0,0,1,1,-13.6187000274658,34.309700012207,0.680000007152557,1.54999995231628,23.5699996948242,24,0,0,0,0,7,2010,37,1,6,0,1,1,1,1,0,0,1,0,0,0,"205075710059"
20507571,40,4,0,0,1,1,-13.6187000274658,34.309700012207,1.57000005245209,1.80999994277954,23.5200004577637,35,0,0,0,0,7,2010,32,0,4,1,1,2,0,0,0,0,0,0,0,0,"205075710084"
20507571,32,5,4,0,1,1,-13.6187000274658,34.309700012207,1.99000000953674,1.9099999666214,23.6800003051758,33,0,0,0,0,7,2010,23,0,3,1,0,0,0,0,0,0,0,1,0,0,"205075710100"
20507571,20.5,4,6,0,1,1,-13.6187000274658,34.309700012207,1.87000000476837,1.61000001430511,23.8899993896484,28,0,0,0,0,7,2010,88,1,1,1,0,0,0,0,0,0,0,0,0,0,"205075710116"
20507571,55.5,6,0,0,1,1,-13.6187000274658,34.309700012207,2.36999988555908,2.04999995231628,23.8600006103516,33,0,0,0,0,7,2010,26,1,4,1,0,0,0,0,0,0,0,0,0,0,"205075710124"
20507571,76.5,6,0,0,1,1,-13.6187000274658,34.309700012207,2.34999990463257,2.0699999332428,23.8199996948242,39,0,0,0,0,7,2010,52,0,6,1,0,0,0,0,0,1,0,1,0,0,"205075710133"
20507571,30.5,5,0,0,1,1,-13.6187000274658,34.309700012207,1.66999995708466,1.87000000476837,23.5200004577637,35,0,0,0,0,7,2010,37,0,4,1,0,0,0,0,0,0,0,1,0,0,"205075710141"
20507571,43,6,0,0,1,1,-13.6187000274658,34.309700012207,2.26999998092651,2.14000010490417,23.6800003051758,39,0,0,0,0,7,2010,48,0,6,1,1,1,0,0,0,1,0,1,0,0,"205075710149"
20507571,57.5,6,0,0,1,1,-13.6187000274658,34.309700012207,2.17000007629395,2.1800000667572,23.5699996948242,39,0,0,0,0,7,2010,68,0,6,1,0,0,0,0,0,1,0,1,0,0,"205075710165"
