"y2_hhid","FCS","HDDS","rCSI","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","head_educated","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","asset_index"
"0066-001",45.5,7,5,-9.9716,33.3739,1,4,59,0,0,1,0,0,49,1,0,1,0,0,0,0,-0.937514550464697
"0067-001",42,7,3,-9.74823,33.5035,11,7,49,16,0,0,0,0,31,0,0,1,0,0,0,0,-0.937514550464697
"0068-001",49,6,0,-9.9716,33.3739,1,3,61,0,0,1,0,0,41,0,0,1,0,0,0,0,-0.937514550464697
"0069-001",31.5,5,18,-9.95901314299,33.8785372554,0,5,6,60,0,0,0,0,37,0,0,0,0,0,1,1,-0.937514550464697
"0070-001",24,5,0,-9.9716,33.3739,1,3,60,0,0,1,0,0,37,0,0,1,0,0,0,0,-0.345495163361213
"0071-001",44,5,0,-9.74823,33.5035,11,8,48,2,0,0,0,0,50,0,0,0,0,0,1,1,-0.937514550464697
"0072-001",50.5,7,0,-9.9716,33.3739,1,4,60,0,0,1,0,0,23,0,0,1,0,0,0,0,-0.64619069204367
"0073-001",31,5,12,-9.74823,33.5035,9,10,48,35,0,0,0,0,42,0,1,1,1,1,1,1,-0.937514550464697
"0074-001",41,7,0,-9.9716,33.3739,1,3,61,0,0,1,0,0,49,0,1,1,1,2,0,0,-0.0541713049401865
"0075-001",41,6,0,-9.89937591331,33.5937586129,0,24,36,16,0,0,0,0,41,0,1,1,1,1,0,0,-0.0541713049401865
"0076-001",76.5,7,0,-9.9716,33.3739,2,4,60,0,0,1,0,0,80,0,0,0,1,1,1,1,-0.937514550464697
"0077-001",43,5,14,-9.74823,33.5035,10,8,48,0,0,0,0,0,29,0,0,1,0,0,0,0,-0.937514550464697
"0078-001",77,8,0,-9.9716,33.3739,1,4,60,0,0,1,0,0,69,0,1,0,1,2,1,1,-0.0541713049401865
"0079-001",44,4,0,-9.74823,33.5035,11,6,50,22,0,0,0,0,29,0,0,0,0,0,1,1,-0.345495163361213
"0080-001",54,7,0,-9.9716,33.3739,1,3,60,0,0,1,0,0,50,1,0,1,0,0,1,1,-0.345495163361213
"0081-001",33,6,0,-9.74823,33.5035,11,4,52,12,0,0,0,0,54,1,0,0,0,0,1,1,-0.937514550464697
"0082-001",46.5,7,14,-9.9716,33.3739,0,1,60,0,0,1,0,0,39,0,1,0,1,1,1,1,-0.64619069204367
"0083-001",61,7,0,-9.74823,33.5035,11,7,50,22,0,0,0,0,24,0,0,1,0,0,0,0,-0.937514550464697
"0084-001",28,6,7,-9.9716,33.3739,2,4,61,0,0,1,0,0,45,0,1,1,0,0,0,0,-0.0541713049401865
"0085-001",44,5,7,-9.7798932003,33.3959337965,4,7,63,12,0,1,0,0,23,0,0,1,0,0,0,0,-0.345495163361213
"0086-001",64.5,7,0,-9.9716,33.3739,0,5,58,0,0,1,0,0,57,0,1,1,1,1,0,0,-0.937514550464697
"0087-001",47,7,6,-9.74823,33.5035,11,7,50,20,0,0,0,0,29,0,1,1,1,1,0,0,-0.64619069204367
"0088-001",32,7,19,-9.9716,33.3739,1,3,61,0,0,1,0,0,63,1,1,1,0,0,0,0,-0.0541713049401865
"0089-001",50.5,7,6,-9.74823,33.5035,11,7,50,16,0,0,0,0,49,0,1,0,1,1,1,1,-0.0541713049401865
"0090-001",48.5,7,0,-9.9716,33.3739,1,3,60,0,0,1,0,0,49,0,1,0,1,2,1,1,1.45980992431051
