"ea_id","FS_year","FNID","FCS","HDDS","rCSI","region_north","region_central","rural","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","FS_month","head_age","female_head","hhsize","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","asset_index","yearmon","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","heatdays","floodmax","lhz_floodmax"
"20111718",2013,"MW2012C3010503",46.5238095238095,5.42857142857143,7.33333333333333,0.0952380952380952,0.904761904761905,1,-13.2918777619048,33.4491298571429,16.5238095238095,9.76190476190476,40.3809523809524,17.6190476190476,0,0.904761904761905,0,0,6.38095238095238,40.9047619047619,0.0476190476190476,6.04761904761905,0.904761904761905,0.476190476190476,0.666666666666667,0.19047619047619,0.19047619047619,-0.423769363127152,Jun 2013,777.240659891779,51,131,31,213,22.3397395030993,1069.98945067146,97,0,824.415679257143,0
"20111718",2013,"MW2012C3010508",46.5238095238095,5.42857142857143,7.33333333333333,0.0952380952380952,0.904761904761905,1,-13.2918777619048,33.4491298571429,16.5238095238095,9.76190476190476,40.3809523809524,17.6190476190476,0,0.904761904761905,0,0,6.38095238095238,40.9047619047619,0.0476190476190476,6.04761904761905,0.904761904761905,0.476190476190476,0.666666666666667,0.19047619047619,0.19047619047619,-0.423769363127152,Jun 2013,777.240659891779,51,131,51,213,21.8768613251163,974.352538033768,72,0,824.415679257143,0
"20111718",2013,"MW2012C3020103",46.5238095238095,5.42857142857143,7.33333333333333,0.0952380952380952,0.904761904761905,1,-13.2918777619048,33.4491298571429,16.5238095238095,9.76190476190476,40.3809523809524,17.6190476190476,0,0.904761904761905,0,0,6.38095238095238,40.9047619047619,0.0476190476190476,6.04761904761905,0.904761904761905,0.476190476190476,0.666666666666667,0.19047619047619,0.19047619047619,-0.423769363127152,Jun 2013,777.240659891779,51,131,31,213,22.9977035200092,816.836660261531,77,0,824.415679257143,0
"20111718",2013,"MW2012C3020403",46.5238095238095,5.42857142857143,7.33333333333333,0.0952380952380952,0.904761904761905,1,-13.2918777619048,33.4491298571429,16.5238095238095,9.76190476190476,40.3809523809524,17.6190476190476,0,0.904761904761905,0,0,6.38095238095238,40.9047619047619,0.0476190476190476,6.04761904761905,0.904761904761905,0.476190476190476,0.666666666666667,0.19047619047619,0.19047619047619,-0.423769363127152,Jun 2013,777.240659891779,51,131,66,213,23.2037520765325,865.140062408014,90,0,824.415679257143,0
"20111718",2013,"MW2012C3020603",46.5238095238095,5.42857142857143,7.33333333333333,0.0952380952380952,0.904761904761905,1,-13.2918777619048,33.4491298571429,16.5238095238095,9.76190476190476,40.3809523809524,17.6190476190476,0,0.904761904761905,0,0,6.38095238095238,40.9047619047619,0.0476190476190476,6.04761904761905,0.904761904761905,0.476190476190476,0.666666666666667,0.19047619047619,0.19047619047619,-0.423769363127152,Jun 2013,777.240659891779,51,131,51,213,23.3149057522626,908.60001222271,70,0,824.415679257143,0
"20111718",2013,"MW2012C3020703",46.5238095238095,5.42857142857143,7.33333333333333,0.0952380952380952,0.904761904761905,1,-13.2918777619048,33.4491298571429,16.5238095238095,9.76190476190476,40.3809523809524,17.6190476190476,0,0.904761904761905,0,0,6.38095238095238,40.9047619047619,0.0476190476190476,6.04761904761905,0.904761904761905,0.476190476190476,0.666666666666667,0.19047619047619,0.19047619047619,-0.423769363127152,Jun 2013,777.240659891779,51,131,31,213,23.4875732780063,848.446668337072,85,0,824.415679257143,0
"20111718",2013,"MW2012C3031206",46.5238095238095,5.42857142857143,7.33333333333333,0.0952380952380952,0.904761904761905,1,-13.2918777619048,33.4491298571429,16.5238095238095,9.76190476190476,40.3809523809524,17.6190476190476,0,0.904761904761905,0,0,6.38095238095238,40.9047619047619,0.0476190476190476,6.04761904761905,0.904761904761905,0.476190476190476,0.666666666666667,0.19047619047619,0.19047619047619,-0.423769363127152,Jun 2013,777.240659891779,51,131,67,199,25.5096280308397,770.736820299285,112,14,824.415679257143,739.645912858418
"20111718",2016,"MW2012C3010503",38.6521739130435,4.04347826086957,9.39130434782609,0,1,1,-13.3490726956522,33.4057347826087,16.695652173913,10.5217391304348,37.695652173913,15.7826086956522,0,1,0,0,10,38.695652173913,0.217391304347826,5.47826086956522,0.782608695652174,0.565217391304348,1,0.434782608695652,0.434782608695652,-0.394172928575241,Oct 2016,861.880603956726,64,138,33,214,26.2093730035231,936.041885869069,104,0,0,0
"20111718",2016,"MW2012C3010508",38.6521739130435,4.04347826086957,9.39130434782609,0,1,1,-13.3490726956522,33.4057347826087,16.695652173913,10.5217391304348,37.695652173913,15.7826086956522,0,1,0,0,10,38.695652173913,0.217391304347826,5.47826086956522,0.782608695652174,0.565217391304348,1,0.434782608695652,0.434782608695652,-0.394172928575241,Oct 2016,861.880603956726,64,138,32,214,25.5010515747784,874.434910510977,60,0,0,0
"20111718",2016,"MW2012C3020103",38.6521739130435,4.04347826086957,9.39130434782609,0,1,1,-13.3490726956522,33.4057347826087,16.695652173913,10.5217391304348,37.695652173913,15.7826086956522,0,1,0,0,10,38.695652173913,0.217391304347826,5.47826086956522,0.782608695652174,0.565217391304348,1,0.434782608695652,0.434782608695652,-0.394172928575241,Oct 2016,861.880603956726,64,138,65,214,26.9192455256097,837.560860426175,74,0,0,0
