"ea_id","FS_year","FNID","FCS","HDDS","rural","FS_month","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","asset_index","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
"1020014",2011,"UG2011L137",45.1666666666667,5,0,5.33333333333333,0,0,0,0.285813391208649,32.5787391662598,1.70773333333333,3.60263333333333,17,0.333333333333333,0.666666666666667,0,0,36.3333333333333,0,1.99239152004202,1,1.33333333333333,0,1,1,833.333333333333,0,0,0,1019.09079135464,0.0356982395816919,0.00748985594827127,0,1823.80657216505,3,56,3,488,23.8815233824683,1740.35664255716,35,0,0
"1020014",2011,"UG2011L140",45.1666666666667,5,0,5.33333333333333,0,0,0,0.285813391208649,32.5787391662598,1.70773333333333,3.60263333333333,17,0.333333333333333,0.666666666666667,0,0,36.3333333333333,0,1.99239152004202,1,1.33333333333333,0,1,1,833.333333333333,0,0,0,1019.09079135464,0.0356982395816919,0.00748985594827127,0,1823.80657216505,3,56,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020015",2010,"UG2011L140",46.5,5.5,0,12,0,0,0,0.301654934883118,32.6005477905273,3.05525,3.666725,7.5,1,0,0,0,41,0,0.872751052122522,1,3.5,0.25,1,1,600,1,1,0,772.943200201168,1,1,0,472.27269648921,3,8,3,123,24.6040531313516,418.717351084538,6,0,0
"1020015",2011,"UG2011L140",32.5,7,0,7,0,0,0,0.326390743255615,32.5551452636719,0.504,3.9294,7,0,1,0,0,23,0,1.50451992975171,1,1,0,1,1,650,0,0,0,972.669458609264,0.065485782042291,0.0449391356896276,0.0449391356896276,1840.91797996116,3,34,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020016",2011,"UG2011L140",81,7,0,2.5,0,0,0,0.310160279273987,32.6017799377441,2.8713,5.4494,41,1,0,0,0,44.5,0,3.01614512252062,1,2.5,0,1,1,775,1,1,0,939.028252858184,1,1,0.107439608235359,1913.08917053772,3,58,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020017",2010,"UG2011L137",41.6,4.8,0,5,0,0,0,0.273187011480331,32.6248092651367,5.12,8.196,51.8,1,0,0,0,39.2,0.6,-0.0755119222467674,1,2.4,0,1,1,675,1,1,0,857.456261369949,1,1,0,474.105224949148,3,11,3,123,25.4316389874715,413.830520613497,6,0,0
"1020017",2011,"UG2011L137",53.2,5.2,0,2.4,0,0,0,0.273187041282654,32.6248092651367,5.14076,8.13814,52.2,1,0,0,0,45.4,0,0.351821630564853,0.8,1.4,0.2,1,1,530,1,1,0,619.242209302163,1,1,0,1874.35529805979,3,48,3,488,23.8815233824683,1740.35664255716,35,0,0
"1020018",2010,"UG2011L140",75.5,6.5,0,2,0,0,0,0.295154988765717,32.5853996276855,2.67,3.585,16.5,1,0,0,0,38.75,0,-2.07534200977337,1,2.25,0.25,1,1,975,1,1,0,1199.45486802827,1,1,0,478.82985639069,3,8,3,123,24.6040531313516,418.717351084538,6,0,0
"1020018",2011,"UG2011L140",75.5,6.5,0,4,0,0,0,0.295154541730881,32.5853996276855,2.54775,3.580075,18.5,1,0,0,0,39,0,2.68825807823153,1,1.75,0.25,1,0.75,650,1,1,0,876.490495528599,1,1,0,1872.18056080072,3,46,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020019",2010,"UG2011L135",45,5,0,4,0,0,0,0.285391986370087,32.6176643371582,4.22,5.43,32,1,0,0,0,56,1,-1.52048990582932,1,3,0,1,0,662.5,1,1,0,912.415907723817,1,1,0,502.409361013016,3,6,3,123,24.2373597945291,413.997727220818,5,0,0
"1020019",2010,"UG2011L140",45,5,0,4,0,0,0,0.285391986370087,32.6176643371582,4.22,5.43,32,1,0,0,0,56,1,-1.52048990582932,1,3,0,1,0,662.5,1,1,0,912.415907723817,1,1,0,502.409361013016,3,6,3,123,24.6040531313516,418.717351084538,6,0,0
"1020019",2011,"UG2011L135",48.4166666666667,5.16666666666667,0,5.66666666666667,0,0,0,0.297770820558071,32.5755335489909,1.73238333333333,5.71581666666667,31.3333333333333,0.5,0.5,0.166666666666667,0,42.1666666666667,0,1.15958820685298,0.833333333333333,1.66666666666667,0,1,0.666666666666667,780.5,0,0,0,970.653866554314,0.027283808472124,0,0,1934.96043903593,3,34,3,488,22.8339092457342,1648.74659454572,29,0,0
"1020019",2011,"UG2011L140",48.4166666666667,5.16666666666667,0,5.66666666666667,0,0,0,0.297770820558071,32.5755335489909,1.73238333333333,5.71581666666667,31.3333333333333,0.5,0.5,0.166666666666667,0,42.1666666666667,0,1.15958820685298,0.833333333333333,1.66666666666667,0,1,0.666666666666667,780.5,0,0,0,970.653866554314,0.027283808472124,0,0,1934.96043903593,3,34,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020020",2010,"UG2011L140",55,5.8,0,10.4,0,0,0,0.344782185554504,32.5875312805176,2.4004,3.56964,2,0,1,0,0,42.8,0,0.236007741441841,1,2.2,0,1,1,612.5,1,1,0,802.867742149204,1,1,0,547.125266530913,3,12,3,123,24.6040531313516,418.717351084538,6,0,0
"1020020",2011,"UG2011L140",74,6,0,5,0,0,0,0.34478223323822,32.587532043457,2.3929,3.5706,2,0,1,0,0,38,0,2.78740253595845,1,1,0,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,2081.37607138237,3,51,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020021",2010,"UG2011L140",38.8333333333333,5.66666666666667,0,12,0,0,0,0.367720067501068,32.6239585876465,3.3448,3.39396666666667,28.3333333333333,0,1,0,0,39,0,0.50841041378271,1,2,0,1,1,600,1,1,0,772.943200201168,1,1,0,459.287547229942,3,15,3,123,24.6040531313516,418.717351084538,6,0,0
"1020022",2010,"UG2011L140",61.5,6,0,5,0,0,0,0.368404000997543,32.5902557373047,2.675,4.5725,56,0,1,0,0,32.25,0.25,-1.09484897409825,1,1.5,0,0.75,0.75,656.25,1,1,0,940.982542048965,1,1,0,474.233752625829,3,11,3,123,24.6040531313516,418.717351084538,6,0,0
"1020022",2011,"UG2011L140",50,5.83333333333333,0,3,0,0,0,0.368404358625412,32.5902557373047,2.59165,4.63921666666667,56.6666666666667,0,1,0,0,44.6666666666667,0,1.21445863319653,1,1.83333333333333,0,1,1,816.666666666667,0.666666666666667,0.666666666666667,0,991.933826328268,0.688495260680764,0.681646378563209,0.158232522877021,1825.33253645682,3,62,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020023",2010,"UG2011L140",40,7,0,2,0,0,0,0.328184992074966,32.6340675354004,0.81,5.23,6,0,1,0,0,40,1,0.182073821094946,1,1,0,1,1,975,1,1,0,1199.45486802827,1,1,0,457.608125975604,3,12,3,123,24.6040531313516,418.717351084538,6,0,0
"1020023",2011,"UG2011L140",44.25,6.5,0,4,0,0,0,0.32818478345871,32.6340675354004,1.065225,5.233225,9.75,0.25,0.75,0,0,31.5,0,-0.128642949035698,0.75,1.25,0,1,1,650,1,1,0,876.490495528599,1,1,0,1825.58884491243,3,81,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020024",2010,"UG2011L140",47.5,5,0,2,0,0,0,0.32192799448967,32.6380882263184,0.94,6.53,14,1,0,0,0,67.5,0.5,-0.669208042367187,1,1.5,0,1,1,975,1,1,0,1199.45486802827,1,1,0,477.175395952301,3,14,3,123,24.6040531313516,418.717351084538,6,0,0
"1020024",2011,"UG2011L140",47.5,5,0,4,0,0,0,0.321927607059479,32.6380882263184,0.92575,6.5326,14,1,0,0,0,68.5,0,0.116938455738065,1,1.5,0,1,1,650,1,1,0,876.490495528599,1,1,0,1831.17444264106,3,92,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020025",2010,"UG2011L140",47.05,5.1,0,6.6,0,0,0,0.345205661654473,32.6692546844483,1.0166,3.5024,6.2,0.8,0.2,0,0,54.3,0.1,-0.17718396648377,0.9,2.4,0.2,1,1,662.808325,1,1,0,851.08139693222,1,1,0,441.373311559183,3,11,3,123,24.6040531313516,418.717351084538,6,0,0
"1020025",2010,"UG2011L141",47.05,5.1,0,6.6,0,0,0,0.345205661654473,32.6692546844483,1.0166,3.5024,6.2,0.8,0.2,0,0,54.3,0.1,-0.17718396648377,0.9,2.4,0.2,1,1,662.808325,1,1,0,851.08139693222,1,1,0,441.373311559183,3,11,3,123,25.1292158118216,558.706113194177,2,0,0
"1020026",2010,"UG2011L140",64.1428571428571,5.71428571428571,0,8.57142857142857,0,0,0,0.30594083241054,32.5291442871094,1.3317,4.60371428571429,38.7142857142857,0,1,0,0,52.7142857142857,0.142857142857143,-1.07942135161404,0.857142857142857,1.57142857142857,0.142857142857143,1,1,626.785714285714,1,1,0,837.067218661244,1,1,0,416.135832726856,3,9,3,123,24.6040531313516,418.717351084538,6,0,0
"1020026",2011,"UG2011L140",89,6,0,5,0,0,0,0.305940717458725,32.5291442871094,1.3434,4.5997,39,0,1,0,0,38,0,2.96813470062263,1,3,0,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1764.6444415904,3,53,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020027",2010,"UG2011L140",74.6666666666667,6,0,9.66666666666667,0,0,0,0.289859811464946,32.553035736084,0.835433333333333,4.2914,22,0,1,0,0,43.6666666666667,0,-1.60148451326681,1,1.66666666666667,0.333333333333333,1,1,633.333333333333,1,1,0,840.99426678005,1,1,0,407.28925540092,3,5,3,123,24.6040531313516,418.717351084538,6,0,0
"1020028",2010,"UG2011L140",55.5,6,0,6,0,0,0,0.356766998767853,32.5571060180664,0.8,3.165,3,0,1,0,0,37.5,0.5,-0.139908358082196,1,5,0,1,1,550,1,1,0,854.825100055863,1,1,0,417.616614427981,3,4,3,123,24.6040531313516,418.717351084538,6,0,0
