"FNID","weights","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"UG2011L111",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793.474772720249,795.388838518946,795.223533631222,798.042431816075,1025.34091636723,697.3899090881,893.866286357034,827.988625449151,1035.64449998455,664.990229997837,694.127295448224,695.79775363184,699.295275453787,719.061971820401,1288.25459089645,800.234908182071,799.791192727048,794.779818176199,988.593902714995,793.213763629059,795.876056359197,796.084863632149,802.6100909119,793.213763629059,795.641148177126,800.722995182596,793.213763629059,796.565120359939,794.849507603547,795.641148177126,796.528579087172,1113.25459089645,845.876056359197,991.021287263063,721.084863632149,718.181101815147,796.606881814529,821.424175450696,1560.39661270294,1712.59538167892,1784.76778406106,1674.22535224498,1783.44371545502,1800,990.864681808348,1013.0504545595,1013.0504545595,1019.57568183925,1500,2473.899090881,1986.9495454405,1972.59404542505,1973.899090881,1980.42431816075,1973.899090881,1986.9495454405,2143.55293273756,2149.59069361762,1989.5596363524,1989.5596363524,1986.9495454405,1973.899090881,1973.899090881,2071.2889999691,2219.12262451222,2069.54023905812,2119.98395451314,2200.81757905627,2271.2889999691
"UG2011L112",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678.626660937012,714.229490879044,711.154715805893,763.587998281104,1084.14314960025,651.450664374805,785.909061280792,739.785275599626,782.978654061427,629.6170115686,590.763994843311,621.835569643436,686.891679381198,755.353975143905,1081.52798968662,804.369440206268,796.116053149985,702.90132874961,787.839403317897,673.771727374493,723.292049712192,727.175996562208,848.549335625196,673.771727374493,718.922609505924,813.44816596818,673.771727374493,736.109074317244,704.197596010803,718.922609505924,735.429383618491,906.527989686622,773.292049712192,832.990285449329,652.175996562208,668.56671752479,736.885863687247,758.487410193483,1162.56275348581,1274.25840639315,1296.6633089823,1220.5753107012,1791.25338705628,1800,830.077325311817,1242.74667812598,1242.74667812598,1364.12001718897,1500,2014.50664374805,1757.25332187403,1490.23197593545,1514.50664374805,1635.87998281104,1514.50664374805,1757.25332187403,2311.69056838822,1843.17593137995,1805.80265749922,1805.80265749922,1757.25332187403,1514.50664374805,1514.50664374805,1565.95730812285,1675.66135955394,1533.42925325397,1591.68264031026,1634.38669174134,1765.95730812285
"UG2011L113",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.341398708402,774.307269083091,773.573018845846,791.721757806016,1030.89923344129,693.617416292177,870.670947486509,812.512213948555,973.208572733935,649.162373314334,666.098303748161,676.123585725576,695.410706238866,726.992598132853,1216.56390116893,802.346139250808,801.677972189209,772.904851784247,934.120632821257,768.55421134864,771.260488190954,772.187967056311,801.171681598692,759.435132657663,765.579371590303,783.800785214786,759.435132657663,770.496366298529,766.700770219147,766.751824564857,776.243220488845,1055.47700980031,823.865939245519,944.485702462292,703.701594692723,701.756971596913,777.112115274266,801.977988541266,1436.58814720157,1573.85789000502,1637.42731476176,1536.6621202845,1728.536822747,1742.68007679957,941.18464225871,1041.03199723009,1034.51836959368,1066.10753519062,1463.52368523609,2295.47980597526,1881.22134330169,1823.55392677613,1816.32341441178,1850.51803106329,1811.11251230265,1882.99305001879,2112.12962606338,2018.43841776912,1900.21431011361,1898.91158458632,1889.92354982394,1826.74521863004,1831.95612073917,1925.57353703135,2047.71278642132,1914.31459712087,1967.17134306831,2036.22370108966,2117.75718386765
"UG2011L114",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.189471535362,677.106043797656,675.008219928779,780.307249562136,991.010400314968,731.251683298262,796.409126636301,791.290111932266,706.881118897925,531.412822974481,528.90856590116,582.295435932331,673.031488667608,753.467792979422,764.690954586376,819.074981920963,829.537799474093,685.471037481909,667.273245378662,697.784508220335,618.913754800228,621.563651528792,704.372924296423,585.127571511034,558.638521739863,569.376930712856,585.127571511034,580.406875978988,605.886200008424,573.122985031059,652.944839039117,761.573252308566,701.101451002885,692.928263455795,627.032892035435,602.182137961527,660.37608955286,691.426230928057,727.713964193997,766.424980171561,819.488996159773,769.384068768032,1091.44553079864,1091.87068354154,658.753144706715,956.398520217989,875.929279711346,990.926248681634,1049.3722531628,1074.38123803913,1083.12062509471,976.259434120145,831.882807660384,979.06747283333,767.50741525507,1105.00825851252,1460.84043305023,1066.05324607531,1207.65739141731,1191.56354331599,1190.62753041159,960.633592471014,1025.00898487633,1156.26066817459,1053.45411619714,1090.9362701613,1157.51111741841,1159.58686316314,1259.69757956662
"UG2011L115",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,623.3333,617,725,1150,600,665,641,500,590,475,539,673,796,850,809,792,600,563,540,642,650,900,540,633,827.7,540,668.4,602.67,633,667,675,692,656,575,613,670,688,717,783.3333,750,712.5,1800,1800,650,1500,1500,1750,1500,1500,1500,950,1000,1250,1000,1500,2500,1500,1600,1600,1500,1000,1000,1000,1067,933,1000,1000,1200
"UG2011L116",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549.977778869547,623.357637439173,617.026347911823,725.026347911823,1149.92317837758,600.063488944152,665.061901720548,641.071742506892,500.095233416228,589.970160196249,475.023808354057,539.019364127966,672.999682555279,795.980000982592,849.952383291886,809.005079115532,792.018411793804,600.039680590095,563.04602948451,540.074599509379,641.986667321728,649.984127763962,899.904766583772,540.019046683246,632.961271744067,827.572958622752,540.019046683246,668.354986338596,602.669152422596,632.968414250284,666.991428992539,675.037141032329,692.002539557766,656.013967567714,575.023808354057,612.993333660864,669.993651105585,688,716.994603439747,783.313195178267,750.021162991966,712.515872236038,1799.65081080716,1799.65081080716,650,1499.73810810537,1499.69842751528,1749.63493857112,1499.77778869547,1499.77778869547,1499.78826437125,950,999.904766583772,1249.85714987566,999.873022111696,1499.79905749176,2499.49208844678,1499.77778869547,1599.80159704952,1599.79366093151,1499.84127763962,999.968255527924,1000,1000.06348894415,1066.97873120371,933.063488944152,1000.06348894415,1000.06348894415,1200.01587223604
"UG2011L117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,623.3333,617,725,1150,600,665,641,500,590,475,539,673,796,850,809,792,600,563,540,642,650,900,540,633,827.7,540,668.4,602.67,633,667,675,692,656,575,613,670,688,717,783.3333,750,712.5,1800,1800,650,1500,1500,1750,1500,1500,1500,950,1000,1250,1000,1500,2500,1500,1600,1600,1500,1000,1000,1000,1067,933,1000,1000,1200
"UG2011L118",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.0585500042,699.937395316375,699.932195752642,807.93183096934,908.199064161588,799.835464624008,859.840042431594,866.81434185736,799.75454798528,496.077750451989,549.938932538347,599.950257490146,672.000915561517,733.051668206337,700.125174784157,824.986779750327,849.952213810876,724.897629813191,707.881942996051,774.807152244511,600.035157023505,600.041724928052,600.246971945146,599.951416240531,511.101136677437,427.829817589594,599.951416240531,526.71733955027,600.002867562776,533.582588449378,640.022707097553,791.905069144515,699.993938738928,699.964889811942,649.93867921661,592.017676462825,650.016926404843,688.000462734374,700.01693923842,720.055432615204,816.615330984368,762.462117118301,700.906744841104,700.906802260698,650.001182168109,675.678412883939,550.781458595382,600.945487327899,800.57705598408,800.580433607248,833.551540727843,950.003546504327,700.250687330631,800.37349777857,600.333123899785,867.523512294331,901.31774889639,800.579308858733,975.516579606482,950.53718874877,1000.41387165736,900.085814192322,1000.00337762317,1199.83884224718,1000.05922822954,1132.83906854793,1199.83901112833,1199.83929147106,1249.96249710091
"UG2011L119",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546.765208347566,626.876168588281,620.8355386736,728.8355386736,1138.81686314444,609.242261864097,674.011205317494,651.443755906429,513.863392796145,585.656136923875,478.465848199036,541.818889868549,672.95378869068,793.08868751281,843.068303601927,809.739380949128,794.680255940588,605.77641366506,569.70063985147,550.859657690313,640.05912500854,647.689434533976,886.136607203855,542.772678559229,627.362220262901,809.206234009943,542.772678559229,661.847236338356,602.546615804114,628.401974722612,665.752294648347,680.406723190497,692.369690474564,658.033297610101,578.465848199036,612.02956250427,669.07577381359,688,716.214407741552,780.406585283413,753.080755495076,714.810565466024,1749.16755974747,1749.16755974747,650,1461.8756698106,1456.09925614554,1696.85699428144,1467.65208347566,1467.65208347566,1469.17705668324,950,986.136607203855,1229.20491080578,981.515476271807,1470.74824120013,2426.06190508723,1467.65208347566,1571.1179316747,1569.96264894169,1476.89434533976,995.378869067952,1000,1009.2422618641,1063.90384227553,942.242261864097,1009.2422618641,1009.2422618641,1202.31056546602
"UG2011L120",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,623.3333,617,725,1150,600,665,641,500,590,475,539,673,796,850,809,792,600,563,540,642,650,900,540,633,827.7,540,668.4,602.67,633,667,675,692,656,575,613,670,688,717,783.3333,750,712.5,1800,1800,650,1500,1500,1750,1500,1500,1500,950,1000,1250,1000,1500,2500,1500,1600,1600,1500,1000,1000,1000,1067,933,1000,1000,1200
"UG2011L121",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.951925509474,670.481211607754,668.042716895909,776.042716895909,1001.42788636746,722.994498544359,784.91963608075,779.983783355126,684.491747816539,532.192585684151,521.122936954135,576.513322056029,672.385027507278,757.256732958527,757.75412609173,818.839559883549,827.668404577864,676.871561590224,652.17101144466,684.518535789622,616.171155305684,619.25137536391,715.508252183461,576.898349563308,558.195365662524,581.838323841057,577.033783313244,581.424903250067,601.163457194369,571.968186585044,650.517633071454,746.95178164845,696.919779941774,683.058789679759,621.122936954135,600.223720077777,657.819054676758,688.10563832495,706.647042936182,744.479866251658,790.998186680536,743.24862463609,1123.53025800602,1123.63183331848,650,992.791591863825,915.928494882972,1042.95092555735,1069.65468884468,1069.65468884468,1089.93760782013,950.050787656226,815.609827495913,973.380882806386,754.146436661218,1110.76744382896,1516.11172852009,1069.62083040719,1215.71837353322,1200.26787973083,1192.5137536391,938.50275072782,1000,1122.99449854436,1025.86455986261,1056.01718369747,1122.99449854436,1122.99449854436,1230.73169541735
"UG2011L122",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.795412681896,673.938346207727,671.785439248609,779.785439248609,990.264140985982,732.013106623155,793.712778957576,790.174810484165,698.019659934733,527.953839887117,524.504914983683,579.263997520062,672.339934466884,754.415871413706,750.990170032634,819.561048529853,830.283800920715,682.508191639472,658.709502301788,695.115400282207,614.277247609137,616.996723344211,701.980340065267,579.603931986947,552.472004959875,563.541773647067,579.603931986947,574.802707404183,600.907625026581,567.32347945498,649.178230605874,752.227667374546,697.280524264926,685.042883457094,624.504914983683,599.138623804569,656.798689337684,688,705.778885937032,741.529171571519,794.004390876569,745.503276655789,1073.92791357265,1073.92791357265,650,955.445935179485,872.937743540013,990.924636916858,1037.95412681896,1037.95412681896,1059.73628941178,950,801.980340065267,952.970510097901,735.97378675369,1082.17851753771,1443.89514701476,1037.95412681896,1187.45904180264,1170.95740347475,1169.96723344211,933.993446688422,1000,1132.01310662316,1022.77560928124,1065.01310662316,1132.01310662316,1132.01310662316,1233.00327665579
"UG2011L123",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,700,700,808,1227.39751311372,800,860,867,800,496,550,600,672,733,700,825,850,725,708,775,600,600,600,600,793.249257882304,745.735284966276,772.181947770202,816.468309071135,772.181947770202,734.307196586998,794.963752993182,792,700,700,650,767.625586725606,800.659204298927,822.301919260757,829.136460827651,840.527363439141,816.6667,762.5,700,829.136460827651,650,857.94331950584,743.704691241477,815.227434712752,972.181947770202,972.181947770202,990.97693707916,1014.56823041383,829.136460827651,950.659204298927,772.181947770202,924.250497633592,986.090973885101,929.136460827651,1071.85234562074,950,1000,900,1000,1200,1086.0909738851,1161.84047625151,1200,1200,1228.47725652872
"UG2011L124",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,700,700,808,1068.02493374184,800,860,867,800,496,550,600,672,733,700,825,850,725,708,775,600,600,600,600,652.412869345719,586.942632770002,686.266810642501,671.83017571665,686.266810642501,634.108667911816,717.640129578251,792,700,700,650,679.992146855351,725.483459312188,755.288112301151,764.700107981876,780.386767449751,816.6667,762.5,700,764.700107981876,650,766.658486307657,647.050161972813,707.833513303126,886.266810642501,886.266810642501,912.149798764495,982.350053990938,764.700107981876,875.483459312188,686.266810642501,895.683714538631,943.13340532125,864.700107981876,1023.52508098641,950,1000,900,1000,1200,1043.13340532125,1147.44969078262,1200,1200,1239.21664866969
"UG2011L125",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,700,700,808,1650,800,860,867,800,496,550,600,672,733,700,825,850,725,708,775,600,600,600,600,1166.7,1166.8,1000,1200,1000,1000,1000,792,700,700,650,1000,1000,1000,1000,1000,816.6667,762.5,700,1000,650,1100,1000,1100,1200,1200,1200,1100,1000,1150,1000,1000,1100,1100,1200,950,1000,900,1000,1200,1200,1200,1200,1200,1200
"UG2011L126",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,700,700,808,1650,800,860,867,800,496,550,600,672,733,700,825,850,725,708,775,600,600,600,600,1166.7,1166.8,1000,1200,1000,1000,1000,792,700,700,650,1000,1000,1000,1000,1000,816.6667,762.5,700,1000,650,1100,1000,1100,1200,1200,1200,1100,1000,1150,1000,1000,1100,1100,1200,950,1000,900,1000,1200,1200,1200,1200,1200,1200
"UG2011L127",0.999999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.509844080154,731.210142327624,709.855836494162,806.423066160933,1343.90657854077,819.711672988325,863.153867678131,858.129747155253,799.999999999999,565.779322378673,566.557805310193,600.394233459766,762.673695746298,716.639311419689,699.999999999999,839.783754741244,879.567509482488,766.1973965456,728.697256637741,807.918493890503,698.558364941629,652.433050148946,728.125874424118,688.702528447466,1010.09532783299,1026.73794823628,919.335839830517,951.692584855559,867.592698236162,864.863544408534,918.532003002719,852.711952804043,778.846691953303,798.558364941629,797.837547412444,968.381556207125,970.074185390125,929.394402602356,932.110002502265,916.924329347122,862.660597068869,772.355836494162,734.49542772957,932.110002502265,718.99085545914,984.11083055655,898.165003753399,967.138331182117,1168.61502230133,1168.61502230133,1176.08292202608,1144.90169320444,1010.95669445557,1139.78585837845,988.326695289658,1058.6046295568,1133.58669362148,1120.81253094973,1227.92919383,1068.27003792995,1068.99085545914,919.711672988325,1059.13501896498,1244.35126422373,1184.30751115067,1204.54957354716,1224.63959123541,1403.62158196941,1240.88250906544
"UG2011L128",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,700,700,808,1650,800,860,867,800,496,550,600,672,733,700,825,850,725,708,775,600,600,600,600,1166.7,1166.8,1000,1200,1000,1000,1000,792,700,700,650,1000,1000,1000,1000,1000,816.6667,762.5,700,1000,650,1100,1000,1100,1200,1200,1200,1100,1000,1150,1000,1000,1100,1100,1200,950,1000,900,1000,1200,1200,1200,1200,1200,1200
