"","FNID","weights","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"11","UG2011L111",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1306.09021125775,1309.57033421369,1309.13531819168,1309.13531819168,1406.61986091408,1305.22018182381,1297.72922090664,1259.74876091098,1273.08151182474,1301.40944909243,1332.25123908902,1505.73738636012,1648.04243181607,1699.0342663626,1798.69495454405,1795.64114817712,1983.47812452763,2034.3934036055,2070.08835814955,2170.63647724105,2173.48147633502,2175.20413633688,2175.20413633688,2177.81422724879,2175.64785179191,2180.27554297872,2177.81422724879,2178.02825470357,2176.7266023658,2176.50918179284,2178.38844724941,1406.76013546184,2327.39661270289,2179.98060270567,1376.30504545595,1502.92986272612,1403.39311818548,1671.08486363214,1912.19743272209,1974.43180692463,1963.25459089642,1984.01319316457,1996.49417001456,1987.5,2000,1443.47477272023,1513.05045455954,2000,2000,2649.59069361758,2013.05045455954,2032.62613639884,2026.10090911907,2013.05045455954,2000,2013.05045455954,2147.83829547919,2013.05045455954,1986.94954544047,2013.05045455954,2013.05045455954,1995.64114817712,1986.94954544047,2000,2247.83362454312,2134.78784091965,2166.96091999133,2273.08151182474,2273.08151182474
"12","UG2011L112",0.999999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1413.28176694236,1478.01424680885,1469.92267468821,1469.92267468821,1487.93232405661,1397.0986712504,1257.76207800607,1290.52805486888,1380.11995200672,1326.21664123761,1301.47194513111,1448.3133304685,1613.5879982811,1682.03674581867,1775.7253321874,1718.92260950591,1692.68270549246,1530.89928154778,1543.62461373517,1653.81997421647,1706.73875004794,1738.78131156057,1738.78131156057,1787.33064718577,1747.03469861686,1833.11267068034,1787.33064718577,1791.31169270704,1767.10013903075,1763.05597937317,1798.01150102332,1525.74277926927,1929.56275348574,1827.62659575469,1399.2746678126,1484.09477239367,1463.11413631276,1602.17599656219,1827.66922244963,1876.42810018268,1756.52798968659,1702.63531929563,2234.0000651823,1987.5,2000,1328.62666093699,1742.74667812601,2000,2000,2343.17593137989,2242.74667812601,2606.86669531503,2485.49335625203,2242.74667812601,2000,2242.74667812601,2549.80668672052,2242.74667812601,1757.25332187398,2242.74667812601,2242.74667812601,1918.92260950591,1757.25332187398,2000,2209.70405143108,2307.06000859451,2025.46804627437,2380.11995200672,2380.11995200672
"13","UG2011L113",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1303.60240355071,1333.82461327454,1324.94449403202,1330.15539614114,1412.56764686761,1307.55426530657,1277.25117521407,1258.94135373442,1288.80191984441,1301.04958023204,1321.85520673097,1483.61735732072,1626.97490483719,1695.71041024772,1791.59780603696,1785.84978079479,1901.86144976027,1876.01002119113,1916.85344718453,2017.4642634679,2030.10116300839,2037.75286364759,2037.75286364759,2045.00045710555,2052.75101150928,2065.32315983159,2045.00045710555,2054.12181744964,2047.99362108246,2054.85726413287,2062.68348371017,1430.02712826594,2200.0968427884,2075.17484825201,1387.31037054489,1495.13005814884,1424.97224556939,1656.98446302145,1879.14942641086,1927.64945294328,1888.95845011435,1899.02721224362,2006.04513474113,1947.1155086543,1958.31278312702,1410.59448123934,1550.15107592115,1958.31278312702,1968.73458734526,2528.86022198737,2028.42161412611,2109.74498347551,2075.55036682397,2014.97748668457,1973.94548945439,2026.7020164301,2178.24215638908,2020.1883887937,1901.64807956946,2016.28021221185,2021.49111432098,1949.37346603093,1905.55625615131,1968.73458734526,2206.50654306262,2134.1878359356,2124.96208288365,2263.16428146753,2278.79698779489
"14","UG2011L114",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.59937771808,1314.16126896649,1222.80680465882,1287.18219706411,1337.67196562538,1173.12124099823,1114.750169532,1195.86112105079,1279.80284981415,1253.51141051252,1257.73178527783,1333.05079348912,1448.12488905515,1687.74422763039,1751.25044924383,1809.05879819651,1484.54380742718,959.647135525777,1099.17975692204,1183.60434849267,1219.70919141936,1241.57083943002,1241.57083943002,1221.00547127106,1408.14035099146,1368.24558607336,1221.00547127106,1324.66223070934,1303.8624733827,1397.82729550304,1415.23882681959,1485.79040658728,1451.5824512826,1502.3946974764,1472.03109506015,1439.56271926593,1565.37406740923,1617.58938925078,1651.98238131823,1568.14651853146,1407.50325838383,1426.95877538884,1698.47179785401,1488.59070885897,1484.99686075765,1238.43994242177,1569.05545692735,1484.99686075765,1613.74764556824,1694.80403088615,1800.61007059727,1979.51246510248,1832.32779992955,1634.52155819161,1678.12303797353,1779.36619110352,1819.36007493778,1698.89695059691,1335.47216332369,1650.61540629294,1714.99079869823,1558.43105135945,1383.75370762766,1613.74764556824,1804.06727080673,1825.62382712463,1895.94664683571,1963.07591918011,2156.20209639599
"15","UG2011L115",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1533.3333,1666.6667,1650,1650,1579,1500,1213,1325,1500,1354,1267,1384,1575,1663,1750,1633,1367,967,954,1075,1184,1250,1250,1350,1267,1444.3,1350,1358.2,1308.33,1300,1372,1659,1484,1433,1425,1463,1530,1525,1733,1766.6667,1525,1387.5,2500,1987.5,2000,1200,2000,2000,2000,2000,2500,3250,3000,2500,2000,2500,3000,2500,1500,2500,2500,1833,1500,2000,2167,2500,1867,2500,2500
"16","UG2011L116",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1533.1163794514,1666.49739612777,1649.79366093151,1649.82540540358,1578.88318034276,1499.84127763962,1212.95047862356,1324.93714594529,1499.89429090799,1353.951113513,1266.99460343975,1383.97333464346,1574.93651105585,1663.01174545467,1750,1633.08475774044,1367.05015626588,966.982857985079,954.057457494458,1075.0396805901,1184.00507911553,1249.98412776396,1249.98412776396,1349.92590840218,1267.0580923839,1444.25317690369,1349.92590840218,1358.17308068768,1308.31680064851,1300.03714103233,1372.01111056523,1658.91778181732,1483.97333464346,1433.02476068822,1425.02380835406,1462.98793710061,1530.01904668325,1525.04380737146,1732.95777985214,1766.56617582785,1524.93651105585,1387.51190417703,2499.61113021707,1987.25398034141,1999.74604422339,1200.01587223604,1999.79366093151,1999.74604422339,1999.80953316754,1999.84127763962,2499.66128648295,3249.38891891254,2999.43653562065,2499.57938574499,1999.84127763962,2499.65081080717,2999.42859950263,2499.61113021707,1499.91270270179,2499.58732186301,2499.61906633509,1832.86254643591,1499.93651105585,1999.80953316754,2166.82000884333,2499.67207960346,1867.01047567579,2499.73810810537,2499.8333415216
"17","UG2011L117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1533.3333,1666.6667,1650,1650,1579,1500,1213,1325,1500,1354,1267,1384,1575,1663,1750,1633,1367,967,954,1075,1184,1250,1250,1350,1267,1444.3,1350,1358.2,1308.33,1300,1372,1659,1484,1433,1425,1463,1530,1525,1733,1766.6667,1525,1387.5,2500,1987.5,2000,1200,2000,2000,2000,2000,2500,3250,3000,2500,2000,2500,3000,2500,1500,2500,2500,1833,1500,2000,2167,2500,1867,2500,2500
"18","UG2011L118",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850.570705737457,1133.77809653414,1000.54242767193,1100.45879274503,1211.30717000109,1000.41748928998,1057.13076861085,1127.16536756485,1167.2777058802,1200.12861274441,1250.014447528,1300.07068167895,1375.16752685802,1699.96918186579,1750.00017133614,1899.77726700786,1524.87002593099,913.048918548662,1134.85254780657,1199.89931140446,1199.99009996201,1200.04507285006,1200.04507285006,1116.79811663374,1449.85014521609,1296.92595109157,1116.79811663374,1273.47380703323,1266.78783090848,1416.90523118599,1406.97356510202,1400.2157269395,1400.0732208805,1510.93739305336,1499.93710246868,1425.03192176786,1589.9493735699,1662.88509780928,1600.11186496977,1450.26557499716,1325.16881187905,1424.97073577009,1276.02275623895,1213.14817068353,1200.66907941525,1249.95903921723,1350.54191366352,1200.66907941525,1400.50180956144,1500.42046025861,1433.89067130872,1326.60568893952,1226.48109322985,1176.10644942014,1500.41817463453,1400.9182708346,1201.50243030192,1276.02281449323,1225.23170941037,1201.08554068841,1301.00190576151,1400.36271149621,1300.16898321519,1400.50180956144,1600.47449445355,1467.86266377392,1899.97345590473,1675.68918972058,1975.43828493986
"19","UG2011L119",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1501.75557350453,1642.02066528151,1619.96264894151,1624.58377987358,1561.99423816996,1476.89434533962,1205.79103574596,1315.85016075449,1484.61163399619,1346.8834583646,1266.21440774155,1380.11825001706,1565.75773813585,1664.70981844487,1750,1645.33841958864,1374.30138687268,964.504589296679,962.364246987057,1080.77641366509,1184.73938094913,1247.68943453396,1247.68943453396,1339.21428040453,1275.4566696057,1437.48383187519,1339.21428040453,1354.2812809696,1306.40853375844,1305.40672319053,1373.61739582623,1647.03127088592,1480.11825001706,1436.60448212702,1428.46584819906,1461.24397024581,1532.77267855925,1531.37716068626,1726.85389586034,1752.03311717472,1515.75773813585,1389.23292409953,2443.39114608207,1951.68623527641,1963.03095254339,1202.31056546604,1969.96264894151,1963.03095254339,1972.27321440755,1976.89434533962,2450.69253295475,3161.04322955754,2917.97492595565,2438.77001515,1976.89434533962,2449.16755974717,2916.81964322264,2443.39114608207,1487.29188993679,2439.92529788301,2444.54642881509,1812.99050306411,1490.75773813585,1972.27321440755,2140.79818761513,2452.26371747166,1868.52497320758,2461.87566981037,2475.7390626066
"20","UG2011L120",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1533.3333,1666.6667,1650,1650,1579,1500,1213,1325,1500,1354,1267,1384,1575,1663,1750,1633,1367,967,954,1075,1184,1250,1250,1350,1267,1444.3,1350,1358.2,1308.33,1300,1372,1659,1484,1433,1425,1463,1530,1525,1733,1766.6667,1525,1387.5,2500,1987.5,2000,1200,2000,2000,2000,2000,2500,3250,3000,2500,2000,2500,3000,2500,1500,2500,2500,1833,1500,2000,2167,2500,1867,2500,2500
"21","UG2011L121",0.999999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113.22062167045,1338.7039018532,1250.2678797309,1311.79898744055,1352.66100442218,1192.51375363915,1117.06429113541,1203.2354464411,1295.21415992367,1259.29423612086,1256.54546762373,1332.34231061138,1452.00550145566,1685.7539822307,1750,1797.19765555669,1464.16565385003,933.791485393028,1065.31002118263,1151.87156159021,1193.83955988355,1219.25137536391,1219.25137536391,1206.46542019876,1379.52303694933,1353.62649923103,1206.56137501059,1306.09319739905,1282.83841855806,1371.97988415155,1393.55552559212,1499.72212438508,1432.34231061138,1480.96785443229,1471.12293695413,1439.72415597966,1566.93559384453,1609.87873161746,1651.2425169055,1572.01003623276,1402.00550145566,1410.56146847706,1746.65869641592,1511.06137802342,1508.02200582264,1230.81634151105,1600.31866738712,1508.10665191635,1631.06153608884,1692.51375363915,1843.84703541906,2066.23720377633,1908.46614846585,1685.22916401872,1692.49106848604,1823.53025800613,1893.11722997592,1746.69255485341,1330.95874598587,1700.5357594618,1762.03300873396,1566.7169106515,1377.00550145566,1631.01650436698,1818.36984889239,1864.82923439657,1887.29409225981,1992.75773342642,2177.28333968042
"22","UG2011L122",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1082.28854103973,1314.63170500054,1220.95740347474,1286.96395678632,1336.09588381339,1169.9672334421,1110.02977683394,1194.30702444307,1280.19817747244,1252.34990790017,1255.77888593703,1328.55449521827,1442.98689337684,1687.42242472528,1750,1809.23749734192,1471.29035423229,931.356461211747,1073.47186149396,1157.50819163947,1194.56104852985,1216.99672334421,1216.99672334421,1195.94070457077,1387.79199256019,1346.94033386542,1195.94070457077,1302.22644279178,1280.88447513305,1377.22766737455,1395.10229365905,1488.04302692301,1428.55449521827,1484.48511158303,1474.50491498368,1437.9175097416,1569.60393198695,1616.08904356998,1645.2112840956,1557.64592584448,1392.98689337684,1412.25245749184,1691.41972193316,1475.94921183526,1471.94757350737,1233.00327665579,1570.95740347474,1471.94757350737,1603.96068013053,1669.9672334421,1795.71007616545,1979.3738487521,1828.38367871947,1625.41316862158,1669.9672334421,1773.92791357263,1811.88204039158,1691.41972193316,1318.48197839316,1641.91480694947,1707.92136026105,1547.19162416086,1367.98689337684,1603.96068013053,1792.74284272335,1818.15230429139,1888.78216259282,1955.44593517947,2153.46559511421
"23","UG2011L123",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000.65920429884,1162.03030564351,1000,1143.04548694252,1173.98088122943,1000,1057,1127,1167,1200,1250,1300,1375,1700,1750,1900,1525,913,1135,1200,1200,1200,1200,1116.6,1428.47725652874,1341.22294252469,1238.59090999511,1327.89558646924,1367.15359829344,1452.7277541623,1447.03230285655,1400,1400,1511,1500,1543.37508909194,1637.35003563678,1678.92683016873,1643.04548694252,1557.61371735631,1325,1425,1275,1422.34674884481,1200,1336.09097388505,1414.56823041379,1307.61371735631,1457.25049763356,1500,1461.84047625149,1400.32960214942,1278.80685867816,1261.09097388505,1471.15952374851,1400,1286.09097388505,1318.04548694252,1321.85234562068,1200,1300,1400,1300,1400,1675.32960214942,1588.81872804734,1900,1814.8978325632,2157.94331950573
"24","UG2011L124",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925.483459312132,1147.71110896264,1000,1121.56670266061,1192.45263571188,1000,1057,1127,1167,1200,1250,1300,1375,1700,1750,1900,1525,913,1135,1200,1200,1200,1200,1116.6,1439.2166486697,1319.05683714575,1177.72003534017,1300.70344556833,1317.05433395587,1434.90036320831,1427.05703347437,1400,1400,1511,1500,1484.30843231667,1613.72337292667,1670.97967998443,1621.56670266061,1503.91675665152,1325,1425,1275,1317.63767547047,1200,1293.13340532122,1382.35005399091,1253.91675665152,1428.68371453861,1500,1447.44969078261,1362.74172965607,1251.95837832576,1218.13340532122,1485.55030921739,1400,1243.13340532122,1296.56670266061,1273.52508098637,1200,1300,1400,1300,1400,1637.74172965607,1528.03376852952,1900,1745.09178364698,2066.65848630759
"25","UG2011L125",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,1200,1000,1200,1125,1000,1057,1127,1167,1200,1250,1300,1375,1700,1750,1900,1525,913,1135,1200,1200,1200,1200,1116.6,1400,1400,1400,1400,1500,1500,1500,1400,1400,1511,1500,1700,1700,1700,1700,1700,1325,1425,1275,1700,1200,1450,1500,1450,1533,1500,1500,1500,1350,1375,1433,1400,1400,1375,1450,1200,1300,1400,1300,1400,1775,1750,1900,2000,2400
"26","UG2011L126",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,1200,1000,1200,1125,1000,1057,1127,1167,1200,1250,1300,1375,1700,1750,1900,1525,913,1135,1200,1200,1200,1200,1116.6,1400,1400,1400,1400,1500,1500,1500,1400,1400,1511,1500,1700,1700,1700,1700,1700,1325,1425,1275,1700,1200,1450,1500,1450,1533,1500,1500,1500,1350,1375,1433,1400,1400,1375,1450,1200,1300,1400,1300,1400,1775,1750,1900,2000,2400
