,FNID,weights,X2011.04.01,X2011.05.01,X2011.06.01,X2011.07.01,X2011.08.01,X2011.09.01,X2011.10.01,X2011.11.01,X2011.12.01,X2012.01.01,X2012.02.01,X2012.03.01,X2012.04.01,X2012.05.01,X2012.06.01,X2012.07.01,X2012.08.01,X2012.09.01,X2012.10.01,X2012.11.01,X2012.12.01,X2013.01.01,X2013.02.01,X2013.03.01,X2013.04.01,X2013.05.01,X2013.06.01,X2013.07.01,X2013.08.01,X2013.09.01,X2013.10.01,X2013.11.01,X2013.12.01,X2014.01.01,X2014.02.01,X2014.03.01,X2014.04.01,X2014.05.01,X2014.06.01,X2014.07.01,X2014.08.01,X2014.09.01,X2014.10.01,X2014.11.01,X2014.12.01,X2015.01.01,X2015.02.01,X2015.03.01,X2015.04.01,X2015.05.01,X2015.06.01,X2015.07.01,X2015.08.01,X2015.09.01,X2015.10.01,X2015.11.01,X2015.12.01,X2016.01.01,X2016.02.01,X2016.03.01,X2016.04.01,X2016.05.01,X2016.06.01,X2016.07.01,X2016.08.01,X2016.09.01,X2016.10.01,X2016.11.01,X2016.12.01
21,UG2011L121,1,2028.611358,2282.520785,2372.3216,1788.533621,1977.842676,1754.011003,1443.946712,1471.422818,1610.722412,1733.107583,1865.776132,1854.225307,1930.647694,2295.64755,2410.556471,1943.193449,1800.40182,1759.615692,1738.439179,1790.032865,1830.075726,1965.776132,2131.016504,2223.315954,2243.654695,2424.458774,2223.248237,2374.13737,2449.965001,2585.878408,2117.552357,1872.3216,1878.867067,2115.82942,2221.390817,2222.930927,2277.219805,2313.027363,2205.572187,2034.333654,1952.206411,1986.832099,1654.251519,1651.222084,1630.882565,2042.324744,2253.85864,2250.200163,2684.322456,2715.155726,2472.298552,2163.492792,2158.861209,2307.66948,2743.55312,2692.344461,2635.579556,2651.005508,2661.470362,2331.016504,2692.513754,2769.653195,2692.513754,2438.636691,2610.581222,2551.073225,2466.818849,2423.177732,2500.040829
22,UG2011L122,1,1993.949736,2229.923523,2328.716629,1754.95085,1962.858243,1735.973787,1432.94401,1450.409462,1582.178518,1696.086197,1822.937744,1812.73971,1893.445935,2266.87819,2391.752673,1888.360312,1756.436105,1717.498792,1698.802396,1744.353615,1779.7068,1922.937744,2103.96068,2197.161991,2215.178518,2393.805274,2197.161991,2328.846021,2430.584397,2574.092535,2081.888163,1828.716629,1834.495515,2083.993734,2195.462318,2196.822056,2244.752816,2276.366722,2152.142474,1992.73971,1921.204946,1954.703308,1643.564469,1639.232798,1618.481978,2025.775753,2235.973787,2220.957403,2698.01966,2731.022937,2448.185071,2144.472148,2146.201454,2300.99017,2715.178518,2669.967233,2623.762503,2645.211284,2651.485255,2303.96068,2669.967233,2723.432829,2669.967233,2419.472148,2582.178518,2545.211284,2427.723183,2402.97051,2485.478702
23,UG2011L123,1,1848.12128,1818.984819,2000,1198.681591,1867.218195,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,1913.909026,2006.061428,1913.909026,1848.883153,2075.232684,2189.284097,1807.404087,1500,1500,1844,2000,2000,2000,2000,1857.613717,1817.745558,1687.5,1712.5,1563,1743.704691,1525,1727.818052,1906.295309,1913.909026,2584.772565,2742.386283,2367.295985,1817.05668,1920.863539,2142.386283,2284.772565,2284.772565,2249.760696,2341.727078,2370.533937,2100,2500,2375,2500,2275,2187.500319,2327.818052,2133,2142.386283,2256.624911
24,UG2011L124,1,1790.844514,1826.144406,2000,1349.033081,1858.626681,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,1956.866595,2083.77167,1956.866595,1917.600936,2179.028909,2336.091587,1810.196329,1500,1500,1844,2000,2000,2000,2000,1803.916757,1749.013449,1687.5,1712.5,1563,1647.050162,1525,1813.733189,2002.949838,1956.866595,2692.166487,2796.083243,2317.250417,1908.341514,1985.299892,2196.083243,2392.166487,2392.166487,2391.091096,2470.599784,2472.558162,2100,2500,2375,2500,2275,2277.06685,2413.733189,2133,2196.083243,2315.691568
25,UG2011L125,1,2000,1800,2000,800,1890,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,1800,1800,1800,1666.6667,1800,1800,1800,1500,1500,1844,2000,2000,2000,2000,2000,2000,1687.5,1712.5,1563,2000,1525,1500,1650,1800,2300,2600,2500,1575,1750,2000,2000,2000,1875,2000,2100,2100,2500,2375,2500,2275,1950,2100,2133,2000,2100
26,UG2011L126,1,2000,1800,2000,800,1890,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,1800,1800,1800,1666.6667,1800,1800,1800,1500,1500,1844,2000,2000,2000,2000,2000,2000,1687.5,1712.5,1563,2000,1525,1500,1650,1800,2300,2600,2500,1575,1750,2000,2000,2000,1875,2000,2100,2100,2500,2375,2500,2275,1950,2100,2133,2000,2100
27,UG2011L127,1,1929.797492,1931.973261,2049.279182,1150.598806,1869.712347,1649.279182,1393.168564,1356.260054,1432.639871,1495.058225,1565.836988,1588.702528,1687.707241,2069.711673,2243.495148,1547.34184,1479.207101,1478.846692,1474.904357,1460.711953,1468.990855,1659.135019,1939.423346,2045.987333,1943.818363,1967.975925,1930.670677,1731.169786,1947.156604,2046.630999,1900.120448,1552.630167,1552.630167,1830.990296,2009.855836,2027.202109,2047.308015,2000,1907.352641,1840.852642,1672.716245,1756.851264,1607.351264,1831.638107,1539.783755,1689.078362,1899.672544,1983.241709,2748.248437,2735.42169,2476.839611,1823.942962,1955.871708,2145.277526,2157.50126,2142.717505,2022.328461,2214.626687,2310.978779,2218.270038,2509.855836,2375,2455.648736,2220.792899,2093.646279,2244.727097,2180.702249,2159.469931,2186.872089
28,UG2011L128,1,2000,1800,2000,800,1890,1600,1350,1292,1367,1417,1500,1500,1613,2050,2250,1475,1425,1400,1400,1400,1400,1600,1900,2000,1800,1800,1800,1666.6667,1800,1800,1800,1500,1500,1844,2000,2000,2000,2000,2000,2000,1687.5,1712.5,1563,2000,1525,1500,1650,1800,2300,2600,2500,1575,1750,2000,2000,2000,1875,2000,2100,2100,2500,2375,2500,2275,1950,2100,2133,2000,2100
29,UG2011L129,1,1953.113958,2391.936281,2234.43021,1714.277821,1836.549912,1834.43021,1555.360864,1597.696994,1679.26104,1788.337453,1813.198761,1921.974379,1968.396199,2143.772084,2219.055212,1819.143549,1682.873232,1775.088337,1756.33392,1688.818019,1728.202295,1881.316253,2087.544168,2218.770272,2268.860421,2209.596464,2206.314441,1629.09532,1979.807971,2237.446773,2262.296375,1750.371465,1750.371465,1782.110424,2046.886042,2129.405476,2225.053002,2000,1828.397086,1587.40283,1617.170937,1923.487189,1773.987189,1683.519216,1595.329063,1968.860421,2353.290631,2456.404589,3894.125431,2975.088337,2640.658126,2301.733652,2406.404589,2421.974379,2210.987189,2140.658126,1867.498233,2375.088337,2592.303442,2662.632505,2546.886042,2375,2289.012811,2017.126768,2184.43021,2357.873232,2359.928444,2489.490279,2217.215105
30,UG2011L130,1,1960.614761,2297.238648,2196.926197,1568.01217,1845.100827,1796.926197,1522.507349,1548.791761,1629.305695,1728.931097,1763.0934,1854.467155,1911.540115,2128.770479,2224.005742,1764.087658,1641.618817,1715.081916,1699.32782,1642.613075,1675.696676,1836.311437,2057.540958,2183.771527,2193.852395,2144.069452,2141.312485,1635.105969,1951.042393,2167.464284,2188.338461,1710.317179,1710.317179,1792.011484,2039.385239,2108.703261,2189.049149,2000,1855.850024,1653.409893,1628.422141,1889.733578,1740.233578,1734.149634,1584.077859,1893.852395,2240.778592,2351.393353,3639.098142,2915.081916,2618.155718,2185.471212,2301.393353,2354.467155,2177.233578,2118.155718,1868.698362,2315.081916,2513.545015,2572.622874,2539.385239,2375,2322.766422,2058.381183,2146.926197,2316.618817,2323.624559,2411.1819,2198.463099
