"FS_year","FCS","HDDS","rCSI","rural","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","FS_month","head_age","female_head","floor_dirt_sand_dung","roof_not_natural","roof_iron","asset_index","clust_maize_mktthin","lhz_maize_mktthin","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax","Cellphone","num_cell"
2010,37.375,4.6875,1.5625,1,0.546250002575106,50.7674994468689,0.625,0,0.9375,0,0,11.5625,47,0.1875,0.9375,0.0625,0.0625,-0.335915826539678,0.334375,0.334375,1246.44274893596,38,106,36,213,21.3952828743089,1127.99811366612,50,1135.15703106755,0,0.125,0.125
2011,35.96875,4.5625,0.625,1,0.456874997355044,50.0918748378754,25.3125,0,1,0,0,3,43.375,0.25,0.9375,0.125,0.125,-0.426864021477866,0.5,0.5,1062.83514983343,53,104,52,213,20.8802710018248,1090.40569960296,67,962.375627914088,0,0.125,0.125
2010,32.46875,4.3125,3.5,1,11.714999973774,39.6600003242493,22.25,0,0,0,0,7,39.875,0.125,0.875,0.1875,0.1875,-0.510282689773015,0.793103448275862,1,1047.34542252279,35,96,36,213,21.3952828743089,1127.99811366612,50,965.721881110508,0,0,0
2010,32.46875,4.3125,3.5,1,11.714999973774,39.6600003242493,22.25,0,0,0,0,7,39.875,0.125,0.875,0.1875,0.1875,-0.510282689773015,0.793103448275862,1,1047.34542252279,35,96,37,213,22.4000715730336,1134.10969596811,54,965.721881110508,0,0,0
2010,32.46875,4.3125,3.5,1,11.714999973774,39.6600003242493,22.25,0,0,0,0,7,39.875,0.125,0.875,0.1875,0.1875,-0.510282689773015,0.793103448275862,1,1047.34542252279,35,96,42,213,25.6750136397814,867.212885856628,117,965.721881110508,0,0,0
2010,34.34375,4.8125,1.5,1,1.80687499349006,51.2962505817413,43.6875,0,1,0,0,12,42.125,0.125,0.875,0.25,0.25,-0.46979528366474,0.4,0.4,1010.83039648901,35,99,36,213,21.3952828743089,1127.99811366612,50,916.196786886235,0,0.0625,0.0625
2010,39.59375,5.25,1.9375,1,1.71687498223037,56.9312500953674,19.6875,0,1,0,0,7,38.875,0.125,0.875,0.1875,0.1875,-0.170278231685717,1,1,1119.82458106445,36,103,36,213,21.3952828743089,1127.99811366612,50,1037.41963908918,0,0,0
2010,39.84375,5.0625,0.3125,1,4.29062502086163,101.238124370575,20.0625,0,0,0,0,11,46.75,0.375,0.9375,0.25,0.25,-0.368675747597673,0,0.25,1070.43021789569,37,114,36,213,21.3952828743089,1127.99811366612,50,1015.11170492939,0,0.125,0.125
2011,47.28125,4.8125,0.3125,1,0.377499998430721,118.796251296997,25.125,0,0.9375,0,0,1,44.25,0.4375,0.875,0.3125,0.3125,-0.457180086457262,0.25,0.5,1066.61904579547,53,110,52,213,20.8802710018248,1090.40569960296,67,950.714583336921,0,0,0
2010,32.625,4.1875,4.4375,1,1.39562499988824,101.539999485016,52.625,0,0.375,0,0,3.4375,41.625,0.25,1,0.125,0.125,-0.46979528366474,0.0875,0.45625,1072.43550467877,37,98,36,213,21.3952828743089,1127.99811366612,50,1066.61904579547,0,0.0625,0.125
2010,35.21875,5.1875,1.0625,1,0.70562500320375,19.0618751049042,56.625,0,0,0,0,5.8125,43.625,0.4375,0.9375,0.125,0.125,-0.452094415892822,0.296875,0.296875,1284.24657194707,40,84,40,213,25.1850754142368,1185.74998764753,75,1511.41612030658,0,0.25,0.375
2011,27.84375,4.1875,0.3125,1,3.33600001037121,23.9519997835159,66.5333333015442,0,0,0,0,3,42.125,0.3125,0.875,0.4375,0.4375,-0.517812216416054,0.25,0.25,1359.00224234993,66,100,64,213,24.6044744070707,1363.43710915804,85,1027.70110860513,0,0.25,0.25
2010,35.375,5.1875,2.375,1,5.29312504827976,20.7031248807907,63.9375,0,0,0,0,10,42,0.3125,0.9375,0.375,0.25,-0.487496151436658,0.25,0.5,1151.72988576571,40,99,40,213,25.1850754142368,1185.74998764753,75,1359.00224234993,0,0.0625,0.125
2010,39.40625,4.9375,3.625,1,6.01500003784895,26.4537500143051,33.1875,0,0,0,0,10,45,0.25,0.9375,0.25,0.25,-0.277727552659485,0.25,0.5,1310.9283949028,40,90,40,213,25.1850754142368,1185.74998764753,75,1513.88594029052,0,0,0
2010,44.875,5.4375,1.125,1,1.07187499757856,13.1356251239777,47.625,0,0,0,0,10,42.875,0.125,0.9375,0.375,0.375,-0.238439888287548,0.125,0.285714285714286,1040.63554065468,40,97,40,213,24.4448882841728,965.461065256596,77,1228.51470505008,0,0.25,0.3125
2010,44.875,5.4375,1.125,1,1.07187499757856,13.1356251239777,47.625,0,0,0,0,10,42.875,0.125,0.9375,0.375,0.375,-0.238439888287548,0.125,0.285714285714286,1040.63554065468,40,97,36,213,22.8285064553991,1060.57633269147,87,1228.51470505008,0,0.25,0.3125
2010,44.875,5.4375,1.125,1,1.07187499757856,13.1356251239777,47.625,0,0,0,0,10,42.875,0.125,0.9375,0.375,0.375,-0.238439888287548,0.125,0.285714285714286,1040.63554065468,40,97,40,213,25.1850754142368,1185.74998764753,75,1228.51470505008,0,0.25,0.3125
2010,44.875,5.4375,1.125,1,1.07187499757856,13.1356251239777,47.625,0,0,0,0,10,42.875,0.125,0.9375,0.375,0.375,-0.238439888287548,0.125,0.285714285714286,1040.63554065468,40,97,37,213,22.0395305651455,863.744721488158,73,1228.51470505008,0,0.25,0.3125
2010,44.875,5.4375,1.125,1,1.07187499757856,13.1356251239777,47.625,0,0,0,0,10,42.875,0.125,0.9375,0.375,0.375,-0.238439888287548,0.125,0.285714285714286,1040.63554065468,40,97,37,213,22.4000715730336,1134.10969596811,54,1228.51470505008,0,0.25,0.3125
2010,44.875,5.4375,1.125,1,1.07187499757856,13.1356251239777,47.625,0,0,0,0,10,42.875,0.125,0.9375,0.375,0.375,-0.238439888287548,0.125,0.285714285714286,1040.63554065468,40,97,40,213,24.312189413199,1053.04186703822,84,1228.51470505008,0,0.25,0.3125
2011,56.78125,5.375,0.625,1,11.0775000452995,42.5987501144409,15.125,0,1,0,0,1,43.875,0.3125,0.9375,0.25,0.25,-0.39146228593403,0.25,0.25,1534.13369407109,65,92,53,213,22.0166284838753,1496.28398112339,92,1212.84276163207,0,0.0625,0.0625
2010,39.21875,5.25,4.3125,1,3.26437497138977,32.5512503385544,35.9375,0,0,0,0,4,41.75,0.125,0.9375,0.25,0.25,-0.186779357721297,0.2,0.3,1310.42132994275,57,106,40,213,24.4448882841728,965.461065256596,77,1523.53092467194,0,0.3125,0.3125
2010,39.21875,5.25,4.3125,1,3.26437497138977,32.5512503385544,35.9375,0,0,0,0,4,41.75,0.125,0.9375,0.25,0.25,-0.186779357721297,0.2,0.3,1310.42132994275,57,106,40,213,25.1850754142368,1185.74998764753,75,1523.53092467194,0,0.3125,0.3125
2010,33.15625,4.4375,0.5625,1,8.53187507390976,28.8199998140335,11.5,0,0,0,0,4,40.375,0.25,0.9375,0.125,0.125,-0.540598754752411,0.2,0.4,1160.46636028213,39,91,40,213,24.4448882841728,965.461065256596,77,1157.30880327209,0,0.1875,0.25
2010,46.75,5.5625,4.25,1,0.326875001308508,5.93562492728233,58.1875,0,0,0,0,11,44.4375,0.4375,0.75,0.375,0.375,-0.221938762251969,0,0,921.477726644616,40,95,40,213,25.1850754142368,1185.74998764753,75,1058.41318390333,0,0.5625,0.6875
2010,36.5,5.0625,2.375,1,4.25812504440546,33.886249423027,12.875,0,0.0625,0,0,7.75,44.625,0.3125,0.9375,0.125,0.125,-0.457180086457262,0.325892857142857,0.955357142857143,1172.64810166244,37,93,36,213,21.3952828743089,1127.99811366612,50,1208.65971803178,0,0.125,0.1875
2010,36.5,5.0625,2.375,1,4.25812504440546,33.886249423027,12.875,0,0.0625,0,0,7.75,44.625,0.3125,0.9375,0.125,0.125,-0.457180086457262,0.325892857142857,0.955357142857143,1172.64810166244,37,93,40,213,24.4448882841728,965.461065256596,77,1208.65971803178,0,0.125,0.1875
2010,36.5,5.0625,2.375,1,4.25812504440546,33.886249423027,12.875,0,0.0625,0,0,7.75,44.625,0.3125,0.9375,0.125,0.125,-0.457180086457262,0.325892857142857,0.955357142857143,1172.64810166244,37,93,40,213,25.1850754142368,1185.74998764753,75,1208.65971803178,0,0.125,0.1875
2011,37.59375,4.75,3.75,1,1.28687499836087,8.39499995112419,59.8125,0,0,0,0,2,53.25,0.3125,0.875,0.4375,0.4375,-0.482410480872218,0.25,0.5,787.448804961385,65,102,66,213,23.884584367779,997.528631940153,84,635.560326012611,0,0.3125,0.4375
2010,34.96875,4.5,2.6875,1,19.6999999284744,25.5974999666214,2,0,0,0,0,11,41.8125,0.3125,1,0.125,0.125,-0.545684425316851,0.25,0.25,988.834481700926,36,104,40,213,24.4448882841728,965.461065256596,77,987.682520973874,0,0,0
2010,36.5,5.0625,0.875,1,0.911333329277114,8.2059999704361,59.2000000476837,1,0,1,0,8.5,53.25,0.25,0.875,0.3125,0.3125,-0.409163153705948,0.179487179487179,0.653846153846154,756.317727323406,40,114,40,213,24.4448882841728,965.461065256596,77,835.051474724567,0,0.375,0.4375
2010,36.5,5.0625,0.875,1,0.911333329277114,8.2059999704361,59.2000000476837,1,0,1,0,8.5,53.25,0.25,0.875,0.3125,0.3125,-0.409163153705948,0.179487179487179,0.653846153846154,756.317727323406,40,114,36,213,22.8285064553991,1060.57633269147,87,835.051474724567,0,0.375,0.4375
