"case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","FNID","rural","date","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","year","cropyear","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
101300021302,0,1,1,0,0,0,0,0,0,0,1,1,0.1043,42.7763,42.7763,47.3164,68,4.750865,1191,"Rural","10130002","MPIGI","NKOZI",4,2012,5,74.5,"April",0,1,0,Apr 2012,-0.0676303406827704,"UG2011L141",0,2012-03-01,1100,0,0,0,1149.53551458315,0.0149797118965425,0.0149797118965425,0.0149797118965425,"2012","2011",2040.79275131641,17,40,5,489,23.6587487385236,2223.93335599315,13,0,0
1021000102,1,0,1,0,0,1,1,0,0,1,1,5,1.1306,0.8804,0.8804,0.8804,0,9.100713,1207,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,7,92,"June",0,0,1,Jun 2012,4.63319817411011,"UG2011L140",0,2012-05-01,1275,0,0,0,1336.77842537627,0.0449391356896276,0.0449391356896276,0.0449391356896276,"2012","2011",1878.76780478965,15,71,5,489,23.030044224901,1967.4150633193,22,0,0
1021000108,1,0,1,0,0,1,1,0,0,1,1,5,1.0973,0.8722,0.8722,0.8722,0,9.100713,1206,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,6,79,"June",0,0,1,Jun 2012,4.63319817411011,"UG2011L140",0,2012-05-01,1275,0,0,0,1336.77842537627,0.0449391356896276,0.0449391356896276,0.0449391356896276,"2012","2011",1878.76780478965,15,71,5,489,23.030044224901,1967.4150633193,22,0,0
1021000111,1,0,1,0,0,1,1,1,0,0,1,7,1.139,0.8115,0.8115,0.8115,0,9.100713,1200,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,7,65,"June",0,0,1,Jun 2012,3.46811570892324,"UG2011L140",0,2012-05-01,1275,0,0,0,1336.77842537627,0.0449391356896276,0.0449391356896276,0.0449391356896276,"2012","2011",1878.76780478965,15,71,5,489,23.030044224901,1967.4150633193,22,0,0
1021000113,1,0,1,0,0,1,1,0,0,1,1,8,1.1269,0.8459,0.8459,0.8459,0,9.100713,1207,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,6,54,"June",0,0,1,Jun 2012,4.63319817411011,"UG2011L140",0,2012-05-01,1275,0,0,0,1336.77842537627,0.0449391356896276,0.0449391356896276,0.0449391356896276,"2012","2011",1878.76780478965,15,71,5,489,23.030044224901,1967.4150633193,22,0,0
1021000201,1,0,1,0,0,1,1,0,0,0,1,1,1.4203,1.5445,1.5445,1.5445,2,6.904994,1164,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",12,2011,7,75,"December",0,0,1,Dec 2011,3.46850235361017,"UG2011L140",0,2011-11-01,1128,0,0,0,1189.66048557351,0.0449391356896276,0.0449391356896276,0.0449391356896276,"2011","2010",1901.16486051731,17,76,3,488,22.9908989077709,1732.87144601946,26,0,0
1021000203,1,0,1,0,0,1,0,0,0,0,0,0,1.344,1.5936,1.5936,1.5936,4,6.904994,1167,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",12,2011,6,41.5,"December",0,0,1,Dec 2011,1.74023603990117,"UG2011L140",0,2011-11-01,1128,0,0,0,1189.66048557351,0.0449391356896276,0.0449391356896276,0.0449391356896276,"2011","2010",1901.16486051731,17,76,3,488,22.9908989077709,1732.87144601946,26,0,0
1021000204,0,1,1,0,0,0,0,0,0,0,0,0,1.3611,1.5799,1.5799,1.5799,4,6.904994,1168,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",7,2012,1,8,"July",0,0,1,Jul 2012,-0.738803661673084,"UG2011L140",0,2012-06-01,1300,0,0,0,1367.51129483872,0.0449391356896276,0.0449391356896276,0.0449391356896276,"2012","2011",2056.39509603342,21,86,5,489,23.030044224901,1967.4150633193,22,0,0
1021000207,0,1,1,0,0,0,0,0,0,0,0,0,1.4802,1.6065,1.6065,1.6065,12,9.171108,1176,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",12,2011,6,69,"December",0,0,1,Dec 2011,-0.738803661673084,"UG2011L140",0,2011-11-01,1128,0,0,0,1189.66048557351,0.0449391356896276,0.0449391356896276,0.0449391356896276,"2011","2010",1901.16486051731,17,76,3,488,22.9908989077709,1732.87144601946,26,0,0
1021000212,1,0,1,0,0,1,1,0,0,0,1,1,1.4074,1.5642,1.5642,1.5642,2,6.904994,1164,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",7,2012,6,42,"July",0,0,1,Jul 2012,3.46850235361017,"UG2011L140",0,2012-06-01,1300,0,0,0,1367.51129483872,0.0449391356896276,0.0449391356896276,0.0449391356896276,"2012","2011",2056.39509603342,21,86,5,489,23.030044224901,1967.4150633193,22,0,0
