"ea_id","FS_year","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","hh_a02","FS_month","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","rural","date","clust_bean_price","clust_maize_price","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_bean_price","lhz_maize_price","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","cropyear","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
"1020008",2010,0.333333333333333,0.666666666666667,0.666666666666667,0,0.333333333333333,1,0,0,0,0,1,1.33333333333333,0.719433333333333,3.7581,3.7581,3.7581,0,7.54,1196,NA,11,6,56.3333333333333,NA,0,0,1,Nov 2010,0.9629014544976,0,2010-11-01,NA,NA,500,1,1,0,NA,NA,587.574851757851,1,1,0,NA,474.151376176992,3,8,9,123,25.3284462471319,450.662808713672,17,0,0
"1020008",2011,0.666666666666667,0.333333333333333,1,0,0,0.666666666666667,0.666666666666667,0.333333333333333,0,0,1,1,7.12613333333333,10.6287666666667,10.6287666666667,10.6287666666667,20.6666666666667,6.59333333333333,1179,NA,5.33333333333333,6.33333333333333,72.5,NA,0,0,1,May 2011,2.28966257395021,0,2011-05-11,2343.75,1066.66666666667,920.833333333333,0,0,0,2338.63062850665,1031.30976225267,1037.69904343347,0.017763179124603,0.0224695678448138,0.00748985594827127,NA,1788.09660523049,3,39,4,488,23.7323004446395,1810.03835926291,59,0,0
"1020009",2010,1,0,0,1,0,0,1,0,0,0,1,2,0.01,2.99,2.99,2.99,0,6.799782,1178,NA,4,5,27.5,NA,0,0,1,Apr 2010,1.64728615211692,0,2010-04-01,NA,NA,700,1,1,0,NA,NA,977.096399937814,1,1,0,NA,463.322731905022,3,7,3,123,24.6040531313516,418.717351084538,6,0,0
"1020009",2011,1,0,1,0,0,0.666666666666667,1,0,0,0,1,2.33333333333333,0.1904,2.98726666666667,2.98726666666667,2.98726666666667,0,7.01666666666667,1177.33333333333,NA,5,6,55.6666666666667,NA,0,0,1,May 2011,3.31538060189925,0,2011-05-01,2625,1150,1000,0,0,0,2484.75163039646,1098.37206189081,1188.23795302833,0.0205466463526634,0.0449391356896276,0,NA,1778.17163710017,3,45,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020010",2009,0.8,0.2,0,1,0,0.8,0.8,0,0.2,0,0.8,1.4,0.296,2.418,2.418,2.418,0,6.799782,1186.4,NA,12,6.2,52.1,NA,0,0,1,Dec 2009,1.38528449044731,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479.801116846022,4,15,4,123,23.5007118039015,449.890911946173,11,0,0
"1020010",2010,1,0,0,1,0,0.5,0.5,0,0,0,1,1.5,0.31,2.46,2.46,2.46,0,6.799782,1187,NA,6,5,33,NA,0,0,1,Jun 2010,1.34842228332395,0,2010-06-01,NA,NA,475,1,1,0,NA,NA,773.900576511127,1,1,0,NA,447.059608432636,12,6,3,123,24.6040531313516,418.717351084538,6,0,0
"1020010",2011,0.75,0.25,1,0,0,0.5,0.5,0,0,0,1,1.5,0.286975,3.201225,3.426475,3.426475,0.5,6.835,1197.5,NA,4.5,5.5,54.875,NA,0,0,1,Apr 2011,2.20535461807408,0,2011-04-17,1529,767,716.5,0.5,0.5,0,1717.78035997179,873.023556323003,918.486891333813,0.5,0.5,0,NA,1811.60225498113,3,40,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020011",2010,1,0,0,1,0,1,0.666666666666667,0.333333333333333,0,0,1,3.66666666666667,2.30333333333333,5.70333333333333,5.70333333333333,5.70333333333333,42,4.383581,1150,NA,1,6,49.8333333333333,NA,0,1,0,Jan 2010,1.75415819478113,0,2010-01-01,NA,NA,975,1,1,0,NA,NA,1135.48581024698,1,1,0,NA,461.626663060556,3,4,3,123,25.0178460594115,416.273935849018,6,0,0
"1020011",2011,1,0,1,0,0,1,0.8,0.4,0.2,0.2,1,3.2,3.10938,6.81658,6.81658,6.81658,45.6,5.618,1151.4,NA,5.8,6,59,NA,0,0.8,0,May 2011,3.60996254754593,0,2011-05-26,1565.8,793.4,856.6,0,0,0,1784.70058772739,811.820215841284,989.768259510756,0.0330525052343162,0.00449391356896276,0.00449391356896276,NA,1845.71777928919,3,40,3,488,23.4362111451196,1736.61404428831,30.5,0,0
"1020012",2010,0.6,0.4,0,1,0,0.4,0.2,0,0,0,0.6,1.6,3.43,3.886,3.886,3.886,10,7.8526562,1187,NA,2,5.4,59.6,NA,0,1,0,Feb 2010,-0.0909812469776563,0,2010-02-01,NA,NA,663,1,1,0,NA,NA,965.366114122156,1,1,0,NA,474.013387017592,3,16,3,123,24.6040531313516,418.717351084538,6,0,0
"1020012",2011,0.6,0.4,1,0,0,0.6,0.4,0,0,0,0.8,1.6,3.42394,3.87882,3.87882,3.87882,10,7.856,1186,NA,4,5.4,55.3,NA,0,1,0,Apr 2011,1.70839601315119,0,2011-04-01,1600,800,750,0,0,0,1817.05737338295,841.147366248715,1033.96660603188,0.0205466463526634,0,0,NA,1894.09737065835,3,65,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020013",2010,0.571428571428571,0.357142857142857,0.357142857142857,0.642857142857143,0,0.785714285714286,0.642857142857143,0.0714285714285714,0.142857142857143,0.0714285714285714,0.928571428571429,1.78571428571429,2.92484285714286,3.75180714285714,3.96323571428571,3.96323571428571,11.1428571428571,7.52982835714286,1178.35714285714,NA,5.64285714285714,4.46153846153846,37.3571428571429,NA,0,0.928571428571429,0.0714285714285714,May 2010,1.44483363786363,0,2010-05-20,NA,NA,645.535714285714,1,1,0,NA,NA,880.518093020178,1,1,0,NA,532.33063253609,3,16,3,123,24.6040531313516,418.717351084538,6,0,0
