"ea_id","FS_year","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","slope","ag_percent","dist_road","dist_popcenter","dist_agmkt","dist_headquater","elevation","FS_month","rCSI","HDDS","FCS","Motorcyclet","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","asset_index","rural","date","clust_bean_price","clust_maize_price","clust_rice_price","clust_bean_mktthin","clust_maize_mktthin","clust_rice_mktthin","lhz_bean_price","lhz_maize_price","lhz_rice_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_rice_mktthin","cropyear","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","heatdays","floodmax","lhz_floodmax"
"5218007",2011,0.2,0.8,0.7,0.3,0,0.2,0.7,0.2,0.1,0,0,0.5,0.8,10.3799999713898,34.1,12.1800002157688,17.9799999475479,18.1900001883507,33.720000576973,367.3,6.8,2.3,6.3,57.2,NA,NA,0,0,0.9,Jun 2011,-0.725453229705666,0.7,2011-06-25,127433.3,45760.3,121750,0,0,0,120041.033330483,44412.5800451639,119423.809813424,0,0,5.16595526415293e-07,NA,761.003530358489,26,45,58.3333333333333,213,26.3262704693083,708.23435039635,150.666666666667,213,0,0
"5218007",2013,0.363636363636364,0.636363636363636,0.818181818181818,0.181818181818182,0,0,0.818181818181818,0.181818181818182,0.0909090909090909,NA,0.0909090909090909,0.818181818181818,1.36363636363636,10.6291069090909,32.1818181818182,12.9545454545455,19.4090909090909,19.6818181818182,286.609090909091,327.727272727273,5.27272727272727,4.63636363636364,5.27272727272727,52.4545454545455,0.0909090909090909,NA,0,0,0.909090909090909,May 2013,-0.00180258645885436,0.727272727272727,2013-05-09,135931.9,64134.9831818182,136225.303181818,0,0,0,130490.908596069,61830.3240712899,133286.458775823,0,0,0,NA,774.776892484084,32,55,79.6666666666667,212.333333333333,26.1544019326585,664.324203402688,159.333333333333,213,0,0
"52202005",2011,0.6,0.4,0.7,0.2,0.1,0.2,0.8,0.2,1,0.4,0,0.6,1.3,1.61000001430512,60.9,18.4299997329712,47.1599994659424,53.6800003051758,11.9399997711182,30.4,5.2,3.2,5.4,69.9,NA,NA,0,0,0,May 2011,0.459790201718619,0.9,2011-05-07,130000,38800,121000,0,0,0,96898.640569469,42293.8592332304,123846.538523073,0.0621509567853951,0,0.032372240760706,NA,642.922433199982,26,97,67,213,23.6673319549326,465.550975003914,150,213,0,0
"52202005",2013,0.8,0.2,0.7,0.2,0.1,0.2,0.8,0.3,0.8,NA,0,0.8,1.1,1.5936264,60.6,18.43,47.15,53.67,207.79,32.2,5,0,5.4,77,0.3,NA,0,0,0,May 2013,0.718416551495392,0.8,2013-05-01,151583.4,73033.4,144749.8,0,0,0,130762.126509877,59465.6236545577,138028.929920029,0,0,0,NA,695.284556041693,57,102,31,213,23.4251012235039,435.494007693716,153,213,0,0
"52209012",2010,0.818181818181818,0.181818181818182,0.909090909090909,0.0909090909090909,0,0.0909090909090909,0.909090909090909,0.0909090909090909,0.363636363636364,0,0,0.727272727272727,1,1.71818174015392,35.5454545454545,17.863636190241,44.0454545454546,46.4636369185014,9.68181826851585,18.7272727272727,12,2.36363636363636,5.18181818181818,65.6818181818182,NA,NA,0,0,0,Dec 2010,0.652477587799949,0,2010-12-01,NA,32214,98571,1,0,0,NA,34285.6253173528,97553.2198901156,1,0.0219844108669787,0.0502531660290266,NA,762.559064524274,25,91,38,213,24.0051349672514,436.600018254066,151,213,0,0
"52209012",2013,0.769230769230769,0.230769230769231,0.846153846153846,0.153846153846154,0,0.153846153846154,0.769230769230769,0.230769230769231,0.307692307692308,NA,0,0.769230769230769,1.23076923076923,1.94163123076923,36,17.7923076923077,44.1,46.7384615384615,209.276923076923,21.4615384615385,5,1.38461538461538,5.07692307692308,72.9230769230769,0.0769230769230769,NA,0,0,0,May 2013,0.686801424370537,0.153846153846154,2013-05-01,151583.4,73033.4,144749.8,0,0,0,130762.126509877,59465.6236545577,138028.929920029,0,0,0,NA,695.857106396101,57,93,31,213,23.4251012235039,435.494007693716,153,213,0,0
"530101305301",2014,0.75,0.25,0.75,0.25,0,0.5,0.625,0.5,0.375,0.25,0.25,0.625,2.125,NA,NA,NA,NA,NA,NA,NA,10.25,0.857142857142857,5.875,74.25,NA,NA,0,0,0,Oct 2014,1.46397400608159,0,2014-11-01,165119,35107,131126,0,0,0,140872.82436083,37214.0293666893,125796.770504466,0,0,0,NA,642.150312536554,38,86,98,213,23.434617054256,484.476297393604,141,213,0,0
"530102304303",2015,1,0,1,0,0,0.75,0.875,0.75,0.375,0.125,0.25,1,3,NA,NA,NA,NA,NA,NA,NA,7,1.5,5.25,73.0625,NA,NA,0,0,0,Jul 2015,3.11158556690014,0,2015-07-01,175411,58730.33,164729.7,0,0,0,152668.778429107,53326.8473182766,151511.37062115,0,0,0,NA,927.254892287234,5,96,51,213,25.1562169558328,326.686407585128,164,213,0,0
"530103304302",2014,1,0,1,0,0,0.5,0.875,0.75,0.75,0,0.125,1,3.5,NA,NA,NA,NA,NA,NA,NA,11,0,5.75,68.875,NA,NA,0,0,0,Nov 2014,2.83125420819115,0,2014-11-01,165119,35107,131126,0,0,0,140872.82436083,37214.0293666893,125796.770504466,0,0,0,NA,661.482871903565,38,79,98,213,23.434617054256,484.476297393604,141,213,0,0
"530104104001",2015,0.875,0.125,0.75,0.25,0,0.125,0.5,0.375,0.125,0.125,0,0.75,1.625,NA,NA,NA,NA,NA,NA,NA,4,1.875,5.25,72.9375,NA,NA,0,0,0,Apr 2015,0.879272617973433,1,2015-04-01,174818,52636,180909,0,0,0,152490.737495627,49230.1878936204,167196.964350206,0,0,0,NA,813.055928412757,60,87,51,213,25.1562169558328,326.686407585128,164,213,0,0
"530109303302",2015,1,0,1,0,0,0.5,0.625,0.5,0.5,0.25,0,0.875,1.875,NA,NA,NA,NA,NA,NA,NA,8,0,5.625,75.1875,NA,NA,0,0,0,Aug 2015,2.10916801392016,0,2015-08-01,175000,59115,166562.7,0,0,0,153875.081043358,54306.0503749613,153951.756650648,0,0,0,NA,877.429091704263,5,98,51,213,25.1562169558328,326.686407585128,164,213,0,0
