"TZ2009L101","TZ2009L102","TZ2009L103","TZ2009L104","TZ2009L105","TZ2009L106","TZ2009L107","TZ2009L108","TZ2009L109","TZ2009L110","TZ2009L111","TZ2009L112","TZ2009L113","TZ2009L114","TZ2009L115","TZ2009L116","TZ2009L117","TZ2009L118","TZ2009L119","TZ2009L120","TZ2009L121","TZ2009L122","TZ2009L123","TZ2009L124","TZ2009L125","TZ2009L126","TZ2009L127","TZ2009L128","TZ2009L129","TZ2009L130","TZ2009L131","TZ2009L132","TZ2009L133","TZ2009L134","TZ2009L135","TZ2009L136","TZ2009L137","TZ2009L138","TZ2009L139","TZ2009L140","TZ2009L141","TZ2009L142","TZ2009L143","TZ2009L144","TZ2009L145","TZ2009L146","TZ2009L147","TZ2009L148","TZ2009L149","TZ2009L150","TZ2009L151","TZ2009L152","TZ2009L153","TZ2009L154","TZ2009L155","TZ2009L156","TZ2009L157","TZ2009L158","TZ2009L159","TZ2009L160","TZ2009L161","TZ2009L162","TZ2009L163","TZ2009L164","TZ2009L165","TZ2009L166","TZ2009L167","TZ2009L168","TZ2009L169","TZ2009L170","TZ2009L171","TZ2009L172","TZ2009L173","TZ2009L174","TZ2009L175","TZ2009L176","TZ2009L177","TZ2009L178","TZ2009L198","TZ2009L199"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70986353100595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158381961054852,0,0,0,0.633946981595602,0,0,0,4.94486353656502,0,0,0,0,0,0,0,0,0,0,0,0.895280000257443,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91688717660359,0,0,0,0,0,0,0,0,0,0,0,6.90081159734396,0,0,0,0,0,0,0,0,0,0.9931217766157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378290019214036,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0363435915559,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23088497751324,0,2.02165747780471,1.53228039645181,5.27291791288265,0,0,0,0,0,0,2.04984872341554,0,0.49940722892239,0,11.7186314138456,0,0,6.78844193243744,14.7856595071417,0,0,0,0,0,0,0,0,0,0,5.02011621580538,0,0.291962688510805,0,2.76630021085943,9.07569965484407,0,0,0,0,0,0,9.31840334032754,0,0,0,0
0,0,0,0,0,0,0,3.20535901455409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4820748750805,4.73689120621591,3.8177057721336,5.306840738978,4.90771647057402,3.54199025447173,0,11.7370546667477,12.2271022481832,0,9.65361390576136,17.8558555421845,14.3495158489137,0,4.87903766732176,6.10460333127148,0,12.3945302168781,0,6.99426271030724,3.47474223691407,4.53779979775083,0,7.79798116462035,0,3.76780269778663,9.0824054154661,0,0,0,0,8.93776370291643,7.2225696651464,0,10.7374889779763,9.13400939484762,1.0159187204989,0.237232131168604,0,4.67962769746849,6.14675427777808,9.04134055464885,12.5047080635607,4.33615509539634,16.193628471758,13.1652468620025,5.20800661252418,8.27488150936274,13.697225964885,6.65232244524395,0,0,4.71421586852851,1.43213748870331,7.72466525912439
0,0,0,0.0730458684764968,0,1.93755241575362,0,7.03423922981676,0,0,0,0,0,0,0,0,0,0,6.73795780368358,7.77754814176589,0.0403572299532896,11.8745633272287,0,10.4488336734274,5.25857912471835,3.65208525316784,8.55902860855308,7.19117269403816,3.91913267528463,6.30177224998022,8.62031389791038,6.77534603360003,5.68378384135865,13.402980007845,10.4380392054375,14.9731784243617,5.98311391780995,11.9014391887989,9.42444869080897,2.14922803629986,6.3049996136386,1.98692771422223,0,7.29766960683095,7.8541830375315,2.55367137089575,8.06370287920233,0,13.27196986839,0,0,3.2427784968967,9.21050133919241,0,0,0,5.26424219522138,9.77319239189589,12.9252574734548,9.60188326868467,9.62354676377335,11.557333858988,13.4974266745023,11.3592975243232,6.24826963141226,6.07483955309422,3.78788799122597,0,3.93833706171376,0,0,0,3.26018679000225,0,0.875723662302303,0,10.1723097429658,11.1047863325837,6.46068441415413,2.70748905026519
0,0,17.9185743649457,6.3813451465411,12.9290787626991,11.905957974458,0.332649287779499,7.05273482545219,0,0,0,0,0,0,16.330351044661,9.74635120275889,6.06068355322783,14.0554412115902,12.117962772149,11.9067560201026,11.879948869169,21.322537776116,15.7821598780145,15.9334333205279,12.973503742006,8.2642483911644,7.32682339010421,5.6362518685906,7.31266721793288,4.97499602999315,10.0143840801081,6.48114941855299,6.74394269094918,6.87832305468742,13.154815745425,4.95512540525295,13.5341381834042,10.9496277935138,9.28814321913566,4.2153077650323,7.56394389146016,3.82473431834624,0,3.08351642845807,7.95100824929131,6.84664374297283,1.4451653185393,7.41911240613883,3.49117923909877,0,3.73255176269303,3.06176307661601,3.4186297374233,4.24837332181306,8.24351968965776,8.9617726902478,10.1755847391668,9.86434166131519,2.24706778032889,4.27968380866185,7.23926251206298,6.84402207506787,9.02096389431429,8.43574539850743,6.49417204664644,7.91573043441496,8.99343030965614,1.84841379750547,10.3126792356518,8.13403805706976,3.48289482352731,8.14200640908221,7.17934523951572,7.12412767556859,6.84478534875813,0,14.5440039031419,10.0304206360674,7.89428394769873,7.47656111551231
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58138652878756,8.27305861218792,0,0,0,0,0,5.5189225133948,0,4.85955609471534,0,5.99849883879638,0,9.20002883691763,13.5413070666783,0.784042690312848,18.1209073041183,13.2102675488905,4.6375194484134,0,2.91341017704059,0,2.64746724463751,2.77086094193872,0,0,0,0,2.02976164356169,3.38702558692716,3.31199734138121,1.32269391453352,2.07240554712951,2.63082605564608,0,1.8036101252979,3.66817209117502,11.8756152543637,11.3013780449928,6.61422438997719,4.26345221054039,3.5040287930341,3.7027148200825,2.40071495285631,5.44996019238734,6.37966899661423,7.62120803776052,2.29890893964955,1.52754443819987,0,0.484423919190674,4.03093820145354,0,3.64709500559884,3.72920192890227,3.9108036539386,2.67107759304881,9.51467791247543,8.41161050814751,4.32971794284472,2.08596329085429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59331928945231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00675934818138,4.76480489442289,7.61347813128821,7.72315533096675,6.79814490982695,0.490588633045363,5.88431649485279,0,3.55757061750516,5.28763007964241,0,2.40226965669574,3.54748099327676,0,0,3.65512838587853,0,0,0,0,5.16806636313491,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7465356591264,12.6090927291802,0,0,0,0,5.48821185148674,0,0,0,0,0,8.17295034060658,0,0,3.1065217432368,6.85472097446536,0,0,0,6.48236154624237,4.06109357598782,5.80997349214931,6.53698126120705,4.09141762474526,4.08951608095433,0,5.36084570086263,3.55275750502569,4.92633179063852,6.79501346568079,4.51959928797717,5.60453092819174,3.80002292514168,2.37829046622648,0,0.664876698407787,0,0,7.09866505189565,0,5.54668075180902,0,1.20777513687662
0,6.35620860504448,7.27591616501827,0,17.6623836795941,15.9750365575589,0,3.95437332200879,6.68944223565723,22.9154288981353,18.837770500215,0,4.2997495000843,4.88931429802162,3.42530875756262,6.29856189895073,0,0,4.88726969042423,0,0,3.36010752304351,0,0,3.4799739478935,5.46858651404009,9.85229952210381,5.58096828619401,4.91242231543456,0,3.3788836465356,7.75262250677654,29.7177125897515,7.42740266960915,3.88796855354452,0,35.7617036406141,6.69885753463567,9.52866095238055,0,0,0.0935776930915137,5.49122882413425,2.14766325200168,0,0,3.20401251015038,1.61990658207239,5.92360822163597,2.88002062526085,2.71849981593358,5.24053395745291,6.87067409704725,1.38747096961962,0.0316648403128696,0,14.4196444866494,9.3358870443202,4.54676522008497,3.31108231186722,3.32199463772812,0,5.8255109334799,0.146941254969941,5.78589841565468,3.56432768957494,4.81352798906907,8.16804798414497,3.7689372291558,7.90790320511591,9.57383128866672,0,4.77394910446445,8.03722533801999,3.75040655916186,5.70294302898134,4.50858767899581,5.20571224681411,8.28971522225047,5.43529159980427
