"UG2011L101","UG2011L102","UG2011L103","UG2011L104","UG2011L105","UG2011L106","UG2011L107","UG2011L108","UG2011L109","UG2011L110","UG2011L111","UG2011L112","UG2011L113","UG2011L114","UG2011L115","UG2011L116","UG2011L117","UG2011L118","UG2011L119","UG2011L120","UG2011L121","UG2011L122","UG2011L123","UG2011L124","UG2011L125","UG2011L126","UG2011L127","UG2011L128","UG2011L129","UG2011L130","UG2011L131","UG2011L132","UG2011L133","UG2011L134","UG2011L135","UG2011L136","UG2011L137","UG2011L138","UG2011L139","UG2011L140","UG2011L141","date_list"
"4.29662719914105","4.96714304716598","1.89470206968742","0.0319251335893743","12.7020595039926","17.0181412448364","17.2181876002177","12.0795778491666","10.7956587018768","11.2693654720186","12.9383407927791","13.5551832811955","12.7798356795043","10.8650119694469","12.1498830320092","5.73791301042919","7.35415357498313","9.60364419981375","6.19995249885307","3.10123145713019","1.91357011448345","0","0.0448384246438991","0","0","2.22758880769673","6.15430020539961","6.91579380536194","10.5104250988339","8.2014027799454","11.147651092361","12.2411202021853","13.8971295276645","14.1965921670568","11.4725418526621","15.6621804372848","13.7290706818971","8.8366012946535","10.3884582284507","11.299943419726","9.36940802751564","03/28/2015"
"10.5615488671737","10.4828364525469","3.3924797619401","6.03069388562992","9.23826037385213","13.4660522302698","15.0751069207783","11.3753790090163","19.3694443824641","12.1003230097002","16.7867597725956","12.1160659154214","13.3460889297762","7.16605602422987","11.1078367927235","8.14777071512709","4.8033228732463","11.0122680834588","4.19797594935391","4.9155129318341","7.53608272657424","3.86116993805114","6.81205010594474","1.66075364579729","2.28143222414154","6.30578309133526","8.6675287735381","9.75985074634827","12.2498639276048","9.70403226058834","15.6376936157363","13.7110069346455","12.4799896181389","13.1724798710504","11.6955583392354","15.1862651525552","10.9701366715204","11.4667740807759","8.06164926585836","10.7473796064599","14.5118803892698","03/29/2015"
"1.59539959737846","1.47555614136253","4.10766122358564","0","6.49756201759766","3.13616491958896","0.970833547618732","0.253357676307718","4.61611629442195","1.64484395671652","1.22429263434379","6.47136939972675","8.41989020307075","11.1844724352105","2.3350790095285","4.5058839794372","3.88660645625873","7.64493017161648","6.84045865952271","2.53982569136424","5.6938797527238","12.6995258473399","4.88808659450318","6.40514327106056","4.44346881696145","9.5337196244896","7.86165895930892","12.8359084830819","7.67413304722498","6.50140871718841","13.4175647973451","9.97587228706606","12.1075113686582","12.7790484427262","6.66110961055811","14.0793167949238","9.94139198195541","5.47012707581358","6.51557493046862","6.46561813050072","13.8237105734301","03/30/2015"
"8.0188389342994","3.36345569460999","4.5524145366132","2.14911894109881","5.03637690661695","5.35181901865414","5.08053418615091","5.27038998722566","3.17463313513622","3.82524041295187","3.45711212264901","9.22930512467384","6.07166528663148","9.66074224080877","3.19211908620729","4.76179507958715","8.08432933408225","3.91022878794728","9.07292391399278","6.56757432708842","8.17790181751226","9.00365389682978","4.7527333715633","8.43828051433047","4.06687213264717","0.858116091652874","4.5169540578597","1.68761874387363","5.31020910116713","4.56961031517137","5.7332681983562","4.83889416008126","3.77268401503074","2.45209055136377","1.2421871274307","9.38863897557801","5.80257430082053","0.737647387562474","6.89930935121166","4.54157106314237","9.82206652466541","03/31/2015"
"2.82555960430757","1.31452948618352","4.63295938594448","2.7044880452056","7.58041012415346","3.78468547859363","5.88293621881344","6.38713292100702","1.36122110146179","5.76430587836532","0.768284711907101","0","0.00884999442551014","5.30009008208745","7.76934708240542","8.12554955542058","8.53821635725982","10.1147028882842","4.68231663022772","7.77753437784664","8.5251831463454","3.88335221476055","2.59101758065712","0.261031369352138","0.967707251702055","9.26276319273535","8.47993977656345","14.134927395504","7.88289157956246","10.7926970288356","11.9977240369464","16.1231979822473","15.8284426073684","17.7785588024176","10.2654466717498","18.5539986053942","9.64960739409521","8.20704865235038","3.49978976432497","9.04297935747817","15.6780519258466","04/01/2015"
"0.271386420126903","0.99976498682801","5.29116205840792","3.48722142078051","6.60364775271304","9.42922685060821","1.71915532729617","6.45375880858867","13.6064235410155","6.20351578099133","9.42833584726025","10.7983526816675","9.51855288082889","9.57267725352953","1.08878357350108","5.66503370533506","8.51885589999123","10.7262667551592","10.1148482294469","11.7957354965864","6.43990431370497","0","0.434255923292339","0","0","4.15309758970924","11.3232538498838","12.0433767023304","19.6585557658263","12.2636326668145","12.8595732462447","12.8379880796228","5.16100638820593","8.93195602184012","3.4453366245018","3.94369205520007","6.72903849819873","2.99530677415473","3.75929905255802","5.52514490144215","3.09732838288001","04/02/2015"
"12.0496894642073","11.9022963241877","10.4613904332334","8.42667350303226","21.1021037681434","8.48319552843004","11.6855024948309","11.6215599998972","7.15741408547813","13.9266290608684","20.1183637539987","22.9927255360839","24.5924443939743","23.5434544693383","15.1075549162672","15.7417781704986","13.5268851291611","23.3016413720583","16.2424367670625","10.699806160713","21.2262724126671","19.3143753175924","19.9055509562466","14.5981907501581","18.7809568451536","23.4086543197476","21.008617816578","29.8060744737191","26.5132157177748","23.1409385680592","25.0020084541756","20.4896856753615","28.5592466662454","15.1199097892926","14.8181948717547","35.4476622431968","22.6727475602794","17.3501400537021","14.8188392905284","17.2161362367735","28.0641169933978","04/03/2015"
"19.6171057267145","13.6591952914091","4.13200626641624","1.5569846156685","11.0467600511469","7.91230596992102","2.0094186137226","6.15330095357491","8.24524893644319","5.0223969962321","8.58842226251612","4.67523338568842","5.783330929845","3.24763909998767","2.83362757211059","4.33778460728955","4.88295768757137","12.6599323257979","5.69397597795625","0.00525963833902439","8.88804699666152","19.0176878226329","17.203138098383","21.6479636096126","13.8844528712227","18.2086327600646","18.5645316075892","17.8616651421993","18.2924432143165","13.7884316702255","7.39905201945619","11.843049194473","10.5879251889634","13.5126706558635","13.7413887890009","25.8096283298253","12.9874430706484","9.98325204472099","7.49234358176494","13.947681490335","29.3566688238447","04/04/2015"
"7.80209654279193","6.02685580958458","6.26998836664136","8.46618801788856","14.2901046883427","16.5711470350346","16.7310818830212","12.4424309656536","16.8411022729644","11.693737010078","15.9176958654525","11.7337978914866","9.99725763935126","6.8215618438599","10.3999049050639","9.33672840876459","10.8519638663139","5.91755783260825","7.44176788732356","5.96582518782787","7.17483797395373","7.31884705680928","11.7859408948342","9.24275893001812","16.2748970028442","13.7514786162645","11.2514232358802","14.4457696102394","14.1861873792191","13.3832329198914","7.36949118782544","5.14863525605652","5.31355572000093","5.16933351314854","7.43635556261028","4.38784539403378","6.56692306215483","7.91746660313675","10.1975404971044","7.57957619801594","5.38171143109283","04/05/2015"
"8.70999581589924","7.54380205165471","8.74207865068511","5.13481006335067","11.4224969447544","7.30998310357578","7.58663353125259","5.59784520262537","5.78711640399364","7.13529820634511","6.17884750773495","4.15784924042683","5.79140573197877","6.82914448860068","10.5846215004441","9.00464318270479","8.46355991534436","8.58796085558709","7.08464507179272","6.46768870850186","11.6075703153216","10.0963351174216","7.397944652718","5.49440136728439","1.47805661240292","7.94034828378589","11.1958337222416","14.4660025703715","10.2590297129722","8.05187784401241","4.86330488744042","6.18324879952636","4.2356130411875","5.71754417912","6.59036548885688","9.63124629058577","7.14451850206712","6.47102553058782","8.31223622513858","7.77387691349126","7.68552942309509","04/06/2015"
