FS_year,FCS,rCSI,rural,lat_modified,lon_modified
2015,57.85714286,4.714285714,0,-3.472949971,31.8754657
2015,73.5,3,1,-2.365001766,31.7722719
2015,50.75,8.625,1,-2.948488535,31.62046536
2015,64.875,2.75,1,-3.192859968,37.59418256
2015,64.5,6.25,1,-2.98140299,37.54010587
2015,62.0625,8.75,0,-3.664890519,37.44917481
2015,73.6875,5.25,1,-3.881778444,37.65969776
2015,50.0625,3.75,1,-4.353882604,37.97532875
2014,55.125,7.375,0,-4.079988227,37.77075839
2015,64.375,1.125,1,-3.315222622,37.53008995
2015,53.6875,1.75,1,-3.303975936,37.4566342
2015,80.75,4,1,-3.261416165,37.33149755
2015,76.5,2.5,1,-3.332037343,37.3306605
2015,87.75,0,1,-3.226452472,37.21366468
2015,72.75,2.625,1,-3.396678073,37.29576622
2015,80.6875,1.75,0,-3.347542224,37.34195111
2015,64.8125,2.375,0,-3.373017603,37.34124744
2015,71.75,8,0,-3.363471918,37.34411392
2015,78.375,1,1,-3.199979796,36.97179207
2015,61.5,4.125,1,-4.859922212,38.39955566
2015,71.1875,7.25,1,-4.627231118,38.23037962
2015,45.6875,6.625,1,-4.609761651,38.39538955
2015,74,4.375,1,-5.162004328,38.57696193
2015,62.5625,2.25,1,-4.942596892,38.20528978
2015,57.75,5.375,1,-4.95424963,38.67433872
2015,75,0.75,0,-5.087859089,39.07395573
2015,74.3125,6.25,0,-5.423581238,38.97919113
2014,50.5625,8.25,1,-5.816526471,38.66630364
2015,45.125,2,1,-5.517354307,38.47283863
2015,56.9375,5.25,1,-5.71372408,37.63525024
2015,54.6875,2.5,1,-5.841926505,37.25706709
2015,55.3125,9.375,1,-7.515219672,36.85115791
2015,54.5,3.875,0,-7.408829356,36.98799813
2015,59.4375,5.375,1,-7.191390285,37.87754346
2015,44.3125,8.125,1,-6.9612183,37.67892587
2015,55.9375,0,1,-8.102618469,36.66990351
2015,71.6875,2.75,0,-8.144824906,36.68459351
2015,46.75,0,1,-8.543090986,36.47319087
2015,69.25,2.25,0,-6.809222327,37.67228482
2014,52.1875,2.5,0,-6.774730608,37.64468233
2015,58.25,7.875,0,-6.790978227,37.69213764
2015,54.25,5,1,-7.169420605,37.57636233
2015,45.625,8.75,1,-6.069506402,36.88002283
2015,58.1875,4.75,0,-6.148942317,36.88438743
2014,59.64285714,1.285714286,1,-5.88354821,39.32223041
2014,64.875,0.5,0,-5.727170851,39.29768197
2015,69.4375,2.5,1,-5.903334568,39.25219225
2014,57.5625,1.375,1,-5.858280034,39.33885822
2015,72.5,0.5,1,-5.943529883,39.29115849
2015,61.5625,3.75,1,-5.939739104,39.22751263
2015,60.125,0,0,-5.984302568,39.25662811
2015,68.57142857,0,1,-6.053865695,39.33347922
2015,71.4375,3.625,1,-6.219149256,39.40145598
2014,67.21428571,0,1,-6.443587132,39.46640846
2014,74.75,0.333333333,0,-6.160211603,39.25235097
2015,64.0625,1.5,0,-6.131827296,39.21820289
2015,63.1875,1.875,1,-6.062384197,39.22099038
2015,72.9375,0,0,-6.13602042,39.23700336
