,ea_id,FS_year,lat_modified,lon_modified,tz15_FCS_truth,tz_FCS_LR,tz_FCS_RFC,tz15_rCSI_truth,tz_rCSI_LR,tz_rCSI_RFC,tz_FCS_LR_error,tz_FCS_RFC_error,tz_rCSI_LR_error,tz_rCSI_RFC_error
98,180319106001,2015,-2.09640678526,31.3816755477,0,0,0,1,0,1,0,0,1,0
99,180326102004,2014,-2.0410037973299997,31.5183586341,0,0,0,1,1,0,0,0,0,1
100,180326102004,2015,-2.0410037973299997,31.5183586341,0,0,0,1,0,0,0,0,1,1
101,180334302009,2015,-1.80250281755,31.5510915821,0,0,0,0,0,0,0,0,0,0
102,180342103002,2014,-1.59545532093,31.6401471375,0,0,0,0,1,0,0,0,-1,0
103,180342103002,2015,-1.59545532093,31.6401471375,0,0,0,0,0,0,0,0,0,0
104,180407104004,2015,-2.78889002588,31.435395575100003,0,0,0,1,1,0,0,0,0,1
105,180414101003,2015,-3.15804787919,31.3277360618,0,0,0,1,0,0,0,0,1,1
106,180505105012,2015,-2.89870196537,30.7514215322,1,0,0,1,0,1,1,1,1,0
107,180520101027,2015,-2.5210943543599997,30.7901566148,0,0,0,1,1,1,0,0,0,0
108,180605202006,2015,-1.3153374476200002,31.8173536288,0,0,0,1,0,0,0,0,1,1
109,180709101002,2014,-1.15384251705,31.779294135900003,0,0,0,0,0,1,0,0,0,-1
110,180801106007,2015,-1.3346967834299999,30.6959461012,0,0,0,0,0,1,0,0,0,-1
111,180809101009,2014,-1.1168203524200002,30.9090296316,0,0,0,0,0,0,0,0,0,0
112,180815102005,2015,-1.51687215588,30.8870482204,0,0,0,1,0,1,0,0,1,0
113,190103202002,2014,-2.1027585089099996,33.072612939,0,0,0,1,0,1,0,0,1,0
114,190107101007,2014,-2.1112887812,33.0395846508,0,0,0,1,0,1,0,0,1,0
115,190114102004,2015,-1.9962574701900002,32.9286954932,0,0,0,2,0,1,0,0,2,1
116,190201301003,2014,-2.56289630106,33.0343877208,0,0,0,1,0,0,0,0,1,1
117,190210102002,2015,-2.65320306441,33.4369651743,0,0,0,0,0,1,0,0,0,-1
118,190306202006,2015,-2.50748938855,32.9021979777,0,0,0,0,1,0,0,0,-1,0
119,190309210003,2014,-2.56306314551,32.9728803812,0,0,0,1,0,0,0,0,1,1
120,190403104001,2015,-2.77348190738,33.1916842141,0,0,1,1,0,1,0,-1,1,0
121,190416104003,2015,-3.20575461434,33.4337265847,0,0,1,0,1,1,0,-1,-1,-1
122,190425214004,2015,-2.9637629353799997,33.341335904,0,0,0,1,0,0,0,0,1,1
123,190429103004,2015,-3.20869399946,33.333070805,0,0,0,0,0,0,0,0,0,0
124,190509104003,2015,-2.8283913659099995,32.819702071,0,0,0,0,1,1,0,0,-1,-1
125,190517103006,2014,-2.36019154965,32.2026977087,0,0,0,1,0,1,0,0,1,0
126,190523102008,2015,-2.34041854753,32.495096770500005,0,0,0,1,0,1,0,0,1,0
127,190602211007,2014,-2.5326594261400004,32.9390530313,0,0,0,1,0,0,0,0,1,1
128,190606206006,2015,-2.4804258778799997,32.9073832741,0,0,0,1,0,0,0,0,1,1
129,190701103002,2015,-2.77532793075,33.006371970100005,1,0,1,1,0,1,1,0,1,0
130,190714101006,2015,-3.08442763264,32.9590940458,0,0,0,0,0,1,0,0,0,-1
131,200112103013,2015,-1.53315959985,34.5718691668,0,0,0,1,0,1,0,0,1,0
132,200201104006,2015,-1.72689514944,34.2739266679,0,0,0,2,0,0,0,0,2,2
