,ea_id,FS_year,lat_modified,lon_modified,mw16_FCS_truth,mw_FCS_LR,mw_FCS_RFC,mw16_rCSI_truth,mw_rCSI_LR,mw_rCSI_RFC,mw_FCS_LR_error,mw_FCS_RFC_error,mw_rCSI_LR_error,mw_rCSI_RFC_error
359,31004312,2016,-15.9034771176471,34.853006411764696,1,0,0,1,1,1,1,1,0,0
360,31004312,2016,-15.9034771176471,34.853006411764696,1,0,0,1,1,0,1,1,0,1
364,31108703,2016,-16.9288858181818,35.240766136363604,1,0,0,2,1,0,1,1,1,2
366,31201007,2016,-14.943107166666698,35.0004998666667,0,0,0,1,0,0,0,0,1,1
367,31201007,2016,-14.943107166666698,35.0004998666667,0,0,0,1,1,0,0,0,0,1
372,31201104,2016,-13.987969,33.853393,0,0,0,1,0,0,0,0,1,1
375,31201104,2016,-13.987969,33.853393,0,0,0,1,1,0,0,0,0,1
379,31201516,2016,-14.94201968,34.86909704,0,0,0,1,1,0,0,0,0,1
383,31435120,2016,-14.50266375,34.52402475,0,0,0,1,1,0,0,0,0,1
389,31435753,2016,-15.2415382857143,35.2892733333333,0,0,0,1,0,0,0,0,1,1
391,31435753,2016,-15.2415382857143,35.2892733333333,0,0,0,1,1,0,0,0,0,1
392,31439102,2016,-15.317863000000001,35.2305594117647,0,0,0,1,1,0,0,0,0,1
399,31441389,2016,-15.2915182222222,35.0446553888889,0,0,0,0,0,0,0,0,0,0
405,31441389,2016,-15.2915182222222,35.0446553888889,0,0,0,0,1,0,0,0,-1,0
406,31443270,2016,-15.4222938888889,35.308769500000004,0,0,0,1,0,0,0,0,1,1
412,31443270,2016,-15.4222938888889,35.308769500000004,0,0,0,1,1,0,0,0,0,1
413,31532674,2016,-15.54229016,35.05662488,0,0,0,0,1,0,0,0,-1,0
423,31539670,2016,-15.6294086086957,34.9462204347826,0,0,0,1,1,0,0,0,0,1
430,31546760,2016,-15.830270636363599,35.1040030909091,0,0,0,0,0,0,0,0,0,0
434,31550254,2016,-15.645169833333302,34.98870775,0,0,0,0,1,0,0,0,-1,0
441,31555614,2016,-15.749438705882401,35.0119637647059,0,0,0,1,1,0,0,0,0,1
