field_1,ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR,LZNAMESP,LZNAMEPT,CLASS
1816,21408330,-3.36441,36.67144,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
1819,21408363,-3.40638,36.71145,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
1949,20318204003,-3.35516,36.60779,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
1951,20601102004,-3.18445,36.71383,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2035,30411103004,-3.30398,37.45663,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2036,30426103001,-3.33204,37.33066,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2038,30611201003,-3.37302,37.34125,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2159,20213102005,-3.37086,36.79724,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2160,20310207005,-3.39594,36.68739,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2162,20611102003,-3.25585,36.59967,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2243,30111102004,-3.19286,37.59418,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2246,30403102003,-3.31522,37.53009,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2247,30419106001,-3.26142,37.33150,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2248,30503103001,-3.22645,37.21366,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2249,30602202009,-3.34754,37.34195,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2250,30619204004,-3.36347,37.34411,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
2251,30711102008,-3.19998,36.97179,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
21,2401001,-3.36413,35.80254,TZ2009L112,2009,TZ,12,TZ12,"Karatu Wheat, Maize, and Coffee",,,,
457,2401001,-3.36413,35.80254,TZ2009L112,2009,TZ,12,TZ12,"Karatu Wheat, Maize, and Coffee",,,,
460,2401001,-3.36435,35.71851,TZ2009L112,2009,TZ,12,TZ12,"Karatu Wheat, Maize, and Coffee",,,,
462,2401001,-3.36526,35.68719,TZ2009L112,2009,TZ,12,TZ12,"Karatu Wheat, Maize, and Coffee",,,,
463,2401001,-3.33092,35.64642,TZ2009L112,2009,TZ,12,TZ12,"Karatu Wheat, Maize, and Coffee",,,,
