fid,field_1,ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR,LZNAMESP,LZNAMEPT,CLASS
69,1172,4020016,-0.5497967,30.067522,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
70,1173,4020016,-0.60349363,29.99411,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
71,1174,4020020,-0.55377346,30.303692,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
72,1175,4020025,-0.52835584,29.95418,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
73,1176,4020025,-0.53699541,30.017317,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
74,1177,4020030,-0.66193575,30.304268,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
75,1178,4020030,-0.56736475,30.426624,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
76,1220,4100026,-0.56057221,30.678801,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
77,1221,4100029,-0.32303834,30.594793,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
78,1222,4100038,-0.74503881,30.424814,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
79,1223,4100038,-0.69743824,30.477415,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
80,1224,4100038,-0.65430301,30.384218,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
81,1226,4110004,-0.76057076,30.179094,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
82,1227,4110006,-0.86766326,30.354115,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
83,1228,4110007,-0.98233658,30.459738,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
84,1230,4110009,-0.98717684,30.129835,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
85,1231,4120003,-0.96490079,29.959688,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
86,1233,4120005,-0.64043075,29.805983,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
87,1234,4120005,-0.59185004,29.888966,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
88,1237,4130005,-0.10503817,30.264219,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
89,1249,4170014,0.014829836,30.520327,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
90,1250,4170014,0.080801003,30.489553,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
91,1251,4170017,-0.22739641,30.402168,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
92,1254,4180023,-0.85529506,30.659582,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
93,1872,NA,-0.49214599,30.514168,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
94,1873,4020007,-0.30397999,30.378494,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
95,1874,NA,-0.30397999,30.378494,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
96,1876,4020011,-0.26006299,30.129675,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
97,1877,4020016,-0.549797,30.06752,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
98,1878,NA,-0.60349399,29.994108,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
99,1879,4020020,-0.55377299,30.303692,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
100,1880,4020025,-0.52835602,29.95418,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
101,1881,NA,-0.53699499,30.017317,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
102,1882,NA,-0.66193599,30.304268,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
103,1883,4020030,-0.56736499,30.426624,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
104,1884,NA,-0.56736499,30.426624,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
105,1932,4100026,-0.56057203,30.678801,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
106,1933,4100029,-0.32303801,30.594793,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
107,1935,NA,-0.32303801,30.594793,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
108,1937,4100038,-0.74503899,30.424814,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
109,1938,NA,-0.697438,30.477415,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
110,1939,NA,-0.65430301,30.384218,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
111,1941,4110004,-0.760571,30.179094,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
112,1942,4110006,-0.86766303,30.354115,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
113,1944,NA,-0.86766303,30.354115,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
114,1945,4110007,-0.982337,30.459738,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
115,1947,4110009,-0.98717701,30.129835,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
116,1948,4120003,-0.96490097,29.959688,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
117,1952,4120005,-0.64043099,29.805983,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
118,1953,NA,-0.59184998,29.888966,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
119,1954,NA,-0.64043099,29.805983,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
120,1959,4130005,-0.105038,30.264219,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
121,1974,4100014,0.01483,30.520327,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
122,1975,NA,0.080801003,30.489553,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
123,1976,4100017,-0.227396,30.402166,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
124,1977,NA,-0.227396,30.402166,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
125,1980,4100023,-0.855295,30.659582,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
126,1982,NA,-0.855295,30.659582,UG2011L102,2011,UG,2,UG02,Southwestern Midland Banana Robusta Coffee Cattle Zone,,,,SH01
127,680,41430003,-0.77966511,29.653027,UG2011L103,2011,UG,3,UG03,SW Rift Valley Tobacco Bean Millet Zone,,,,AS05
128,1239,4140003,-0.77966511,29.653027,UG2011L103,2011,UG,3,UG03,SW Rift Valley Tobacco Bean Millet Zone,,,,AS05
129,1961,4140003,-0.77966499,29.653027,UG2011L103,2011,UG,3,UG03,SW Rift Valley Tobacco Bean Millet Zone,,,,AS05
130,641,40630008,0.00034150301,29.73391,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
131,642,40630010,0.080449305,29.85224,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
132,646,40630013,0.058413774,29.949335,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
133,1201,4060008,0.00034150301,29.73391,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
134,1202,4060010,0.080449305,29.85224,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
135,1205,4060013,0.058413774,29.949335,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
136,1910,4060008,0.00034200001,29.73391,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
137,1911,NA,0.00034200001,29.73391,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
138,1912,4060010,0.080449,29.85224,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
139,1915,4060013,0.058414001,29.949335,UG2011L104,2011,UG,4,UG04,Kazinga Channel Cassava Maize Fruit Vegetable Cotton Zone,,,,AN10
140,210,20410002,0.82325,34.2178,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
141,229,20630003,1.3821847,34.404453,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
142,248,20930033,1.0294677,34.246181,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
143,304,21510001,1.2457378,34.263573,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
144,305,21530002,1.2184237,34.270432,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
145,306,21530004,1.1516554,34.261589,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
146,337,21530002,1.0592734,34.146641,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
147,344,20930011,0.82531697,34.272385,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
148,345,20930014,0.80270845,34.309647,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
149,346,20930018,0.88382095,34.384117,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
150,347,20930018,0.80488694,34.30698,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
151,348,20930022,0.80868876,34.336269,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
152,349,20930026,0.85762936,34.366478,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
153,350,20930029,0.86954325,34.381268,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
154,377,31030010,2.529953,30.786217,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
155,387,30330024,2.7136915,30.921421,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
156,433,20930037,1.0134966,34.316879,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
157,475,30330033,2.7413754,30.961315,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
158,476,30330033,2.7883708,30.909168,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
159,540,31010001,2.4723835,31.062204,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
160,542,31010001,2.4176919,31.039698,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
161,543,31010001,2.4897056,30.931246,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
162,545,31010004,2.5130031,30.865576,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
163,548,31030007,2.5845709,30.935251,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
164,549,31030007,2.4966915,30.875835,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
165,551,31030007,2.5440748,30.978386,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
166,552,31030007,2.628932,30.857363,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
167,553,31030008,2.3598201,30.917814,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
168,554,31030009,2.5136268,30.881895,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
169,555,31030009,2.58109,30.966335,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
170,556,31030010,2.5927932,30.797737,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
171,557,31030010,2.6373012,30.857639,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
172,590,30330024,2.8002687,30.921444,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
173,591,30330024,2.7420292,30.954342,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
174,900,2040002,0.82325,34.2178,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
175,915,2060003,1.3821847,34.404453,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
176,933,2090033,1.0294677,34.246181,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
177,970,2150001,1.2457378,34.263573,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
178,971,2150002,1.2184237,34.270432,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
179,972,2150004,1.1516554,34.261589,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
180,993,2230011,0.82531697,34.272385,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
181,994,2230014,0.80270845,34.309647,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
182,995,2230018,0.88382095,34.384117,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
183,996,2230018,0.80488694,34.30698,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
184,998,2230022,0.80868876,34.336269,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
185,999,2230026,0.85762936,34.366478,UG2011L105,2011,UG,5,UG05,Rwenzori Mt.Elgon West Nile Arabica Coffee Banana Zone,,,,AS01
