"ea_id","FS_year","lat_modified","lon_modified","country"
10301663,2010,-11.6477003097534,34.125,"mw"
10301741,2010,-11.6375999450684,34.0964012145996,"mw"
10302010,2010,-11.96399974823,34.0768013000488,"mw"
10303454,2010,-11.8910999298096,34.111499786377,"mw"
10304012,2010,-11.836199760437,34.1621017456055,"mw"
10304360,2011,-11.8374004364014,34.1483001708984,"mw"
10304625,2010,-11.7659997940063,34.1557998657227,"mw"
10305446,2010,-12.1525001525879,34.0251007080078,"mw"
10306417,2011,-11.6674995422363,34.2550010681152,"mw"
10306431,2010,-11.6583003997803,34.3036003112793,"mw"
10307413,2010,-11.7643003463745,34.1954002380371,"mw"
10308129,2010,-11.657600402832,34.2490005493164,"mw"
10308636,2010,-11.5363998413086,34.2779998779297,"mw"
10309273,2011,-11.2735996246338,34.1397018432617,"mw"
10309281,2010,-11.305700302124,34.192699432373,"mw"
10310469,2010,-11.3823003768921,34.0550994873047,"mw"
10312048,2010,-11.5334997177124,34.128101348877,"mw"
10312078,2011,-11.6051998138428,34.2014999389648,"mw"
10312187,2010,-11.472900390625,34.1657981872559,"mw"
10312600,2010,-11.6218996047974,34.1769981384277,"mw"
10320227,2010,-11.6153001785278,34.288200378418,"mw"
10401140,2010,-10.9995002746582,33.7092018127441,"mw"
10401212,2010,-10.862099647522,33.7639007568359,"mw"
10401424,2010,-11.0164003372192,33.7354011535645,"mw"
10401502,2010,-10.9368000030518,33.9123992919922,"mw"
10401522,2010,-11.0516996383667,33.6870994567871,"mw"
10401541,2011,-10.9731998443604,33.6501007080078,"mw"
10401604,2010,-10.9492998123169,33.55419921875,"mw"
10401635,2011,-10.9764995574951,33.7962989807129,"mw"
10401742,2010,-10.9075002670288,33.6501007080078,"mw"
10402537,2010,-10.7908000946045,34.1952018737793,"mw"
10403332,2010,-10.9069995880127,33.9705009460449,"mw"
10403488,2011,-10.8442001342773,34.0348014831543,"mw"
10404186,2010,-10.6386995315552,34.1823997497559,"mw"
10404707,2010,-10.7149000167847,34.1180992126465,"mw"
10405213,2010,-10.6794004440308,34.0774993896484,"mw"
10405404,2011,-10.6082000732422,34.1108016967773,"mw"
10407068,2011,-11.0241003036499,34.0392990112305,"mw"
10407194,2010,-10.9601001739502,34.0000991821289,"mw"
10407628,2011,-10.9278001785278,34.0750007629395,"mw"
10408441,2010,-10.8036003112793,33.5424995422363,"mw"
10409468,2010,-10.8626003265381,33.5009002685547,"mw"
10420001,2010,-11.0222997665405,33.8824996948242,"mw"
10420035,2010,-11.0195999145508,33.8438987731934,"mw"
10420080,2011,-11.0249996185303,33.8452987670898,"mw"
10501055,2011,-11.941499710083,33.4580993652344,"mw"
10501216,2010,-11.8392000198364,33.3823013305664,"mw"
10501505,2010,-12.211199760437,33.3270988464355,"mw"
10501709,2010,-11.9792003631592,33.4991989135742,"mw"
10502043,2010,-11.0909004211426,33.8821983337402,"mw"
10502268,2010,-11.2849998474121,33.7784996032715,"mw"
10502439,2010,-11.5345001220703,33.6711006164551,"mw"
10502593,2010,-11.3927001953125,33.6487998962402,"mw"
10502730,2011,-11.1663999557495,33.780101776123,"mw"
10503211,2011,-11.4554004669189,33.7661018371582,"mw"
10503367,2010,-11.870400428772,33.6791000366211,"mw"
10505136,2010,-11.7313003540039,33.5341987609863,"mw"
10505151,2011,-11.5846004486084,33.4720001220703,"mw"
10505231,2010,-11.4441995620728,33.4104995727539,"mw"
10505310,2010,-11.3125,33.4799003601074,"mw"
10505508,2010,-11.7819004058838,33.5,"mw"
10506127,2011,-12.3555002212524,33.5508995056152,"mw"
10506548,2010,-12.2002000808716,33.6539001464844,"mw"
10507175,2010,-12.6591997146606,33.6304016113281,"mw"
10507344,2010,-12.5305995941162,33.6026992797852,"mw"
10508369,2010,-12.4919004440308,33.8322982788086,"mw"
10509319,2010,-11.3432998657227,33.6194000244141,"mw"
10509474,2011,-11.1618003845215,33.5984992980957,"mw"
10510388,2010,-12.2419004440308,33.4715995788574,"mw"
10732047,2011,-11.4061002731323,34.0105018615723,"mw"
10732070,2010,-11.3894996643066,33.9794998168945,"mw"
10732192,2010,-11.407600402832,33.9948997497559,"mw"
10733465,2010,-11.4385004043579,34.0265998840332,"mw"
10733640,2010,-11.4398002624512,34.0331001281738,"mw"
10734370,2010,-11.4329996109009,34.0234985351562,"mw"
10734393,2011,-11.440899848938,34.0103988647461,"mw"
10734407,2010,-11.4597997665405,34.0182991027832,"mw"
10734762,2010,-11.4274997711182,34.0279998779297,"mw"
10735130,2011,-11.4368000030518,34.0087013244629,"mw"
10735173,2010,-11.4668998718262,34.0078010559082,"mw"
10736053,2011,-11.4344997406006,34.0078010559082,"mw"
10736174,2010,-11.4630002975464,34.002799987793,"mw"
