"","ea_id","lat_modified","lon_modified"
"119",20306557,-13.287713,33.801301
"120",20303065,-13.210143,34.311091
"121",20306557,-13.198258,33.94181
"122",20303065,-13.591807,33.684829
"123",20303065,-12.920763,34.294566
"124",20404032,-13.7469,34.1632
"125",20404032,-13.765517,34.19965
"126",20404032,-13.186571,33.529035
"127",20404032,-13.698691,34.147963
"128",20404032,-13.892244,33.804341
"129",20404575,-13.7921,34.1602
"130",20404575,-13.773177,34.003348
"131",20404575,-13.824325,33.787738
"132",20404575,NA,NA
"133",20404575,-13.71862,34.387836
"134",20404575,-13.864017,34.256346
"135",20407398,-13.6362,33.7489
"136",20407398,-13.083436,33.500898
"137",20407398,-13.069481,33.36641
"138",20407481,-13.5077,33.7376
"139",20407481,-13.416983,33.623815
"140",20407398,-13.387442,33.393402
"141",20407481,-13.444004,33.71052
"142",20407481,-13.507602,33.803524
"143",20407481,-15.131623,35.282271
"144",20407481,-14.657209,35.59019
"145",20407481,-13.591467,33.819153
"146",20407398,-13.575092,33.655544
"147",20407398,-13.576092,33.799028
"148",20407481,-13.041655,33.510448
"149",20601626,-14.268989,33.760958
"150",20601626,-14.002937,33.760059
"151",20601626,-14.256697,33.779334
"152",20601626,-14.0755,33.9183
"153",20508349,-14.283389,34.155916
"154",20508349,-14.000528,33.789511
"155",20601626,-14.018283,33.778846
"156",20601626,-13.991253,33.768433
"157",20508349,-13.4883,34.2614
"158",20601626,-14.045335,33.698816
"159",20601626,-14.041127,33.492708
"160",20601626,-13.702875,34.906013
"161",20601626,NA,NA
"162",20508349,-13.892067,33.756351
"163",20601626,-15.999263,35.481812
"164",20601626,-12.92425,33.786282
"165",20601626,-13.996208,33.788272
"166",20601626,-13.975677,33.641881
"167",20601626,-13.888279,33.751493
"168",20601626,-13.759986,33.814378
"169",20508349,-13.43178,34.292606
"170",20508349,-13.522695,34.263428
"171",20508349,-13.55488,34.231972
"172",20601626,-14.387934,34.313988
"173",20601626,-14.388318,34.328298
"174",20601626,-11.453988,34.000766
"175",20508349,-15.781586,35.036151
"176",20601626,-14.198509,34.01966
"177",20508349,-15.584679,35.168601
"178",20601626,-15.209423,35.346102
"179",20601626,-15.782079,34.986765
"180",20508349,-13.492372,34.284995
"181",20508349,-13.525357,34.35151
"182",20508349,-13.758912,34.384457
"183",20601626,-14.112129,34.079588
"184",20601626,-14.241239,33.784636
"185",20508349,-13.997387,33.792879
"186",20601626,-13.869636,33.765259
"187",20508349,-13.400322,34.261156
"188",20601626,-13.541477,33.716561
"189",20508349,-13.873592,33.833906
"190",20603090,-14.26,33.7983
"191",20603090,-14.057637,33.866415
"192",20603533,-14.2749,33.7597
"193",20603533,-12.32784,33.576921
"194",20603090,-14.308356,33.890192
"195",20603090,-14.245084,33.777728
"196",20603533,-14.228966,33.842643
"197",20603533,-13.980208,33.795788
"198",20603533,-14.014774,33.824575
"199",20603533,-14.869916,34.828272
"200",20603533,-15.822822,35.103634
"201",20603533,-14.178589,33.732182
"202",20607260,-13.8674,33.8281
"203",20607260,-13.773372,33.911159
"204",20607315,-13.7993,33.8589
"205",20607315,-13.660888,33.857543
"206",20607260,-13.264603,34.165154
"207",20607260,-14.988314,34.958978
"208",20607315,-14.084599,33.687554
"209",20607315,-9.604181,33.779577
"210",20607315,-13.883571,33.969762
"211",20607260,-9.712961,33.838155
"212",20607315,-13.048482,33.501362
"213",20607315,-13.325499,33.874914
"214",20607260,-13.697094,34.205475
"215",20607315,-13.902026,33.903504
"216",20607315,-13.926562,33.772102
"217",20607315,-13.692371,33.757986
"218",20607315,-13.959935,34.002771
"219",20610050,-13.871859,33.773581
"220",20610050,-14.1045,34.0018
"221",20610050,-14.040852,33.950278
