fnid,clust
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030115,30101280
MW2012C3030114,30105325
MW2012C3030114,30105325
MW2012C3030114,30105325
MW2012C3030114,30105325
MW2012C3030114,30105325
MW2012C3030114,30105325
MW2012C3030114,30105325
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030115,30108401
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030204,30203256
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030314,30305277
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030214,30307577
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
MW2012C3030414,30403225
