"","ea_id","FNID"
"429",10202514,"MW2012C3010210"
"430",10202514,"MW2012C3010210"
"431",10203176,"MW2012C3010210"
"432",10204322,"MW2012C3010210"
"433",10220103,"MW2012C3010210"
"434",10735173,"MW2012C3010210"
"435",20607315,"MW2012C3010210"
"436",20607260,"MW2012C3010210"
"437",10101215,"MW2012C3010210"
"438",20101014,"MW2012C3020103"
"439",20101387,"MW2012C3020103"
"440",20102311,"MW2012C3020103"
"441",20103365,"MW2012C3020103"
"442",20105073,"MW2012C3020103"
"443",20105181,"MW2012C3020103"
"444",20106042,"MW2012C3020103"
"445",20107490,"MW2012C3020103"
"446",20107615,"MW2012C3020103"
"447",20108739,"MW2012C3020103"
"448",20109486,"MW2012C3020103"
"449",20109653,"MW2012C3020103"
"450",20110170,"MW2012C3020103"
"451",20110620,"MW2012C3020103"
"452",20111107,"MW2012C3020103"
"453",20111530,"MW2012C3020103"
"454",20111718,"MW2012C3020103"
"455",20112290,"MW2012C3020103"
"456",20112334,"MW2012C3020103"
"457",20112661,"MW2012C3020103"
"458",20113112,"MW2012C3020103"
"459",20113529,"MW2012C3020103"
"460",20115434,"MW2012C3020103"
"461",20120081,"MW2012C3020103"
"462",10220705,"MW2012C3020103"
"463",10304012,"MW2012C3020103"
"464",10304012,"MW2012C3020103"
"465",10507175,"MW2012C3020103"
"466",10507344,"MW2012C3020103"
"467",10507175,"MW2012C3020103"
"468",10507344,"MW2012C3020103"
"469",10734370,"MW2012C3020103"
"470",10736596,"MW2012C3020103"
"471",10741504,"MW2012C3020103"
"472",20106042,"MW2012C3020103"
"473",20110620,"MW2012C3020103"
"474",20110620,"MW2012C3020103"
"475",20106042,"MW2012C3020103"
"476",20110620,"MW2012C3020103"
"477",20106042,"MW2012C3020103"
"478",20106042,"MW2012C3020103"
"479",20111718,"MW2012C3020103"
"480",20112661,"MW2012C3020103"
"481",20111718,"MW2012C3020103"
"482",20111718,"MW2012C3020103"
"483",20111718,"MW2012C3020103"
"484",20112661,"MW2012C3020103"
"485",20115434,"MW2012C3020103"
"486",20113112,"MW2012C3020103"
"487",20115434,"MW2012C3020103"
"488",20113112,"MW2012C3020103"
"489",20115434,"MW2012C3020103"
"490",20113112,"MW2012C3020103"
"491",20113112,"MW2012C3020103"
"492",20305301,"MW2012C3020103"
"493",20404032,"MW2012C3020103"
"494",20407398,"MW2012C3020103"
"495",20407481,"MW2012C3020103"
"496",20507089,"MW2012C3020103"
"497",20601626,"MW2012C3020103"
"498",20607315,"MW2012C3020103"
"499",20607315,"MW2012C3020103"
"500",20615735,"MW2012C3020103"
"501",20615064,"MW2012C3020103"
"502",20615064,"MW2012C3020103"
"503",21077725,"MW2012C3020103"
"504",30805259,"MW2012C3020103"
"505",31539670,"MW2012C3020103"
"506",20111718,"MW2012C3020103"
"507",20111718,"MW2012C3020103"
"508",20111718,"MW2012C3020103"
"509",20111718,"MW2012C3020103"
"510",20111718,"MW2012C3020103"
"511",20111718,"MW2012C3020103"
"512",20111718,"MW2012C3020103"
"513",20112661,"MW2012C3020103"
"514",20112661,"MW2012C3020103"
"515",20111718,"MW2012C3020103"
"516",20111718,"MW2012C3020103"
"517",20112661,"MW2012C3020103"
"518",20112661,"MW2012C3020103"
"519",20205207,"MW2012C3020103"
"520",20407398,"MW2012C3020103"
"521",20407398,"MW2012C3020103"
"522",20615064,"MW2012C3020103"
"523",20705372,"MW2012C3020103"
"524",20705372,"MW2012C3020103"
"525",20807727,"MW2012C3020103"
"526",21048764,"MW2012C3020103"
"527",21055241,"MW2012C3020103"
"528",21055241,"MW2012C3020103"
"529",31441389,"MW2012C3020103"
"530",20611336,"MW2012C3020619"
"531",21031643,"MW2012C3020619"
"532",21037030,"MW2012C3020619"
"533",21037224,"MW2012C3020619"
"534",21037536,"MW2012C3020619"
"535",21038392,"MW2012C3020619"
"536",21038763,"MW2012C3020619"
"537",21048764,"MW2012C3020619"
"538",21051203,"MW2012C3020619"
"539",21051517,"MW2012C3020619"
"540",21052427,"MW2012C3020619"
"541",21052642,"MW2012C3020619"
"542",21053745,"MW2012C3020619"
"543",21055165,"MW2012C3020619"
"544",21055693,"MW2012C3020619"
"545",21056222,"MW2012C3020619"
"546",21066096,"MW2012C3020619"
"547",21066339,"MW2012C3020619"
"548",21069400,"MW2012C3020619"
"549",21074510,"MW2012C3020619"
"550",21077725,"MW2012C3020619"
"551",21079006,"MW2012C3020619"
"552",21080308,"MW2012C3020619"
"553",21080755,"MW2012C3020619"
"554",21081573,"MW2012C3020619"
"555",21087057,"MW2012C3020619"
"556",21087531,"MW2012C3020619"
"557",10101562,"MW2012C3020619"
"558",10304012,"MW2012C3020619"
"559",10510388,"MW2012C3020619"
"560",10733640,"MW2012C3020619"
"561",10733640,"MW2012C3020619"
"562",10733640,"MW2012C3020619"
"563",10732192,"MW2012C3020619"
"564",10733640,"MW2012C3020619"
"565",20115434,"MW2012C3020619"
"566",20405366,"MW2012C3020619"
"567",20601626,"MW2012C3020619"
"568",20508349,"MW2012C3020619"
"569",20601626,"MW2012C3020619"
"570",20508349,"MW2012C3020619"
"571",20607315,"MW2012C3020619"
"572",20610050,"MW2012C3020619"
"573",20614477,"MW2012C3020619"
"574",20804405,"MW2012C3020619"
"575",20906524,"MW2012C3020619"
"576",21037030,"MW2012C3020619"
"577",21037030,"MW2012C3020619"
"578",21037536,"MW2012C3020619"
"579",21037030,"MW2012C3020619"
"580",21051203,"MW2012C3020619"
"581",21048764,"MW2012C3020619"
"582",21053745,"MW2012C3020619"
"583",21052427,"MW2012C3020619"
"584",21055241,"MW2012C3020619"
"585",21055693,"MW2012C3020619"
"586",21055241,"MW2012C3020619"
"587",21066096,"MW2012C3020619"
"588",21066339,"MW2012C3020619"
"589",21066339,"MW2012C3020619"
"590",21066339,"MW2012C3020619"
"591",21077725,"MW2012C3020619"
"592",21077725,"MW2012C3020619"
"593",21074510,"MW2012C3020619"
"594",21077725,"MW2012C3020619"
"595",21077725,"MW2012C3020619"
"596",21081573,"MW2012C3020619"
"597",21081573,"MW2012C3020619"
"598",21080308,"MW2012C3020619"
"599",21080308,"MW2012C3020619"
"600",21080308,"MW2012C3020619"
"601",21087531,"MW2012C3020619"
"602",30102540,"MW2012C3020619"
