ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD
"31546760",-15.82340,35.08850,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31546760",-15.73774,35.06347,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31545384",-15.81050,35.09130,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31550254",-15.80860,35.05720,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31550254",-15.73850,35.01405,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31554613",-15.79612,35.10820,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"10308636",-15.71579,35.01112,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"10502268",-15.76443,35.00939,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"20508349",-15.78159,35.03615,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"21037536",-15.74465,35.02376,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"21055241",-15.76085,35.01468,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30105325",-15.81324,35.05616,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30302601",-15.77665,35.00189,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30406710",-15.78412,35.02287,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30504518",-15.72761,34.99801,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30704313",-15.81078,35.10151,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30704313",-15.76936,35.02768,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30602235",-15.78407,35.04785,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30620196",-15.73914,35.01895,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30705391",-15.76699,35.06492,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30709438",-15.76242,35.02489,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30709438",-15.81399,35.09396,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31201007",-15.76049,35.01006,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31443270",-15.76563,35.01082,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31443270",-15.78732,35.00290,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31532674",-15.83014,35.06685,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31539670",-15.76917,35.01170,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31550254",-15.74420,35.08090,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30501359",-15.58090,35.07660,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30501566",-15.52980,35.00700,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30502418",-15.39570,35.03200,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30502456",-15.51470,35.10470,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30503214",-15.47240,34.98700,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30503292",-15.48190,34.92260,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30503685",-15.42390,34.89910,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30504251",-15.64750,34.90100,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30504518",-15.70880,34.83010,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30505180",-15.56400,35.11580,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30506017",-15.54620,34.85090,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
"30506031",-15.64880,34.96770,MW2012C3030506,"2012",MW,Malawi,Southern,Blantyre,,MW06,Middle Shire Valley,"10920206","3"
