TZ2009L101,TZ2009L102,TZ2009L103,TZ2009L104,TZ2009L105,TZ2009L106,TZ2009L107,TZ2009L108,TZ2009L109,TZ2009L110,TZ2009L111,TZ2009L112,TZ2009L113,TZ2009L114,TZ2009L115,TZ2009L116,TZ2009L117,TZ2009L118,TZ2009L119,TZ2009L120,TZ2009L121,TZ2009L122,TZ2009L123,TZ2009L124,TZ2009L125,TZ2009L126,TZ2009L127,TZ2009L128,TZ2009L129,TZ2009L130,TZ2009L131,TZ2009L132,TZ2009L133,TZ2009L134,TZ2009L135,TZ2009L136,TZ2009L137,TZ2009L138,TZ2009L139,TZ2009L140,TZ2009L141,TZ2009L142,TZ2009L143,TZ2009L144,TZ2009L145,TZ2009L146,TZ2009L147,TZ2009L148,TZ2009L149,TZ2009L150,TZ2009L151,TZ2009L152,TZ2009L153,TZ2009L154,TZ2009L155,TZ2009L156,TZ2009L157,TZ2009L158,TZ2009L159,TZ2009L160,TZ2009L161,TZ2009L162,TZ2009L163,TZ2009L164,TZ2009L165,TZ2009L166,TZ2009L167,TZ2009L168,TZ2009L169,TZ2009L170,TZ2009L171,TZ2009L172,TZ2009L173,TZ2009L174,TZ2009L175,TZ2009L176,TZ2009L177,TZ2009L178,TZ2009L198,TZ2009L199,date1
302.2017725,304.114329,305.526001,303.9121358,303.4518005,304.7582194,305.7903239,305.5902884,301.6889954,296.2120056,298.4393361,297.7449951,301.9969094,301.0016195,298.3849945,300.8880005,299.6170685,299.4969971,301.8009949,301.414505,301.9582443,301.0657527,300.4796219,300.4967059,299.3878523,301.2805023,300.5589905,300.0884979,300.8250197,299.4750061,300.8787254,301.0690002,299.8104553,301.0640326,301.4722398,300.9440002,300.8607483,301.0244315,300.963439,300.0637512,306.1643791,302.8177917,303.1354256,301.9953591,302.5320129,305.960436,301.5019989,300.3919983,303.6934718,304.1896667,305.6097488,304.5012134,303.1242472,306.3746643,300.6960011,300.5648346,298.0070019,297.8517234,300.8834991,298.1039937,297.7343994,298.3903351,300.2367981,299.2580032,298.9097116,299.1473389,300.1130066,301.5889954,299.7395996,300.6609644,298.1803155,301.4460022,297.2447433,297.0673634,299.4242888,303.2493331,299.6468355,295.8085013,300.9437364,301.3137508,3/31/2008
301.7097744,302.9803365,304.6045074,302.9500671,302.0814026,303.2567749,303.8133341,304.487139,301.416331,296.2070007,298.5513306,298.3619995,301.9941822,301.177103,297.9734955,300.4915009,300.6117686,299.3227966,301.526001,302.0924988,302.278244,301.3258336,301.022747,300.9597042,299.5175738,304.0315018,304.1650085,301.8101517,303.1187358,301.3540039,302.0738007,305.0329895,302.3054102,302.960907,301.9858847,302.5878398,302.5002594,303.3882839,304.1945307,301.456501,305.1487503,303.5627991,303.2040253,303.446858,302.7770081,303.9242169,302.4705048,301.2919922,302.118209,301.6556702,302.8597488,303.2554045,300.8830007,303.6323344,301.4534388,301.148997,299.8418121,299.8890908,300.9535065,297.9579976,297.6349976,298.2363281,300.5705994,299.947998,299.0747158,299.4416606,300.2739868,300.636499,299.3932068,299.9302389,298.2962068,302.6731995,297.4072571,297.2973633,300.2358122,302.8849985,300.4794451,297.5425882,303.8582458,302.1937708,4/1/2008
300.8181811,302.4956665,303.772995,300.9515991,301.3517944,302.2963359,302.6226603,301.7808576,301.7729899,298.3089905,300.5651703,299.3500061,303.1194541,302.3206208,298.5620117,300.6564941,299.2297974,300.169397,302.6180115,302.4369965,301.6639938,301.9324163,300.4948769,301.2157054,299.6411438,302.9634933,304.2650146,304.4091507,302.5402228,303.730011,302.1549759,303.6340027,304.1290866,302.8344679,302.6540617,302.6881663,306.9845047,302.9095721,304.9093798,299.5863724,302.6633759,300.6181946,301.4161774,300.4180036,299.4769897,302.8771747,299.0919952,298.7770081,301.120787,302.5560099,301.697998,301.4229758,301.6037547,303.1023356,300.6420956,300.349172,299.3227463,299.2290871,301.1009979,298.0050049,297.3754028,297.6491699,300.2791992,298.9794922,298.4184265,298.4806722,298.4500122,298.5989014,298.3596008,298.7423096,297.234685,301.4600037,297.4192429,296.5509976,299.0717163,300.4897777,300.3404178,296.7814717,305.3011076,301.374239,4/2/2008
300.974092,302.7206726,304.6560059,302.0124674,301.8,303.1713359,304.3046672,303.4568612,302.6949972,297.6029968,299.9859975,299.4710083,302.8648182,302.403756,297.9889984,300.5090027,299.8242015,299.6274048,301.3869934,301.010498,302.1702499,300.9089966,300.6827469,300.0851782,299.2284284,304.8239975,305.0620117,303.3653473,303.8061206,303.0750122,302.267276,306.0310059,302.2588667,301.421813,302.2335331,301.3463287,300.387001,300.6917158,304.5538815,300.7642517,304.203125,302.1557983,302.4816994,302.2349309,301.0329895,304.452305,300.9394989,299.8800049,302.3142122,302.5950012,303.2625046,302.7770248,302.3007507,304.2813314,301.1377773,301.2419993,298.5560627,298.3073647,300.1125031,297.5076701,297.308606,297.8971659,299.5754028,299.3237534,298.3238569,299.072998,298.9070129,300.5335999,298.2838013,298.8657932,297.4097402,302.4238037,296.5960007,296.6493586,299.6410973,302.1388889,299.2305441,296.0131782,303.4414931,301.1894683,4/3/2008
299.1569103,301.2956645,303.4250031,299.3747335,299.7736023,301.6771105,301.9029948,301.0138506,303.1093343,297.7489929,299.7468414,299.32901,302.2318198,302.4833448,297.7700043,300.0579987,297.4243673,299.4776001,301.1960144,300.0894928,300.2282486,299.8916677,299.137001,298.6586483,298.2528556,300.8732452,300.4119873,302.8217987,300.6750189,303.480011,300.1042992,299.9979858,300.8382693,300.1774702,300.6078258,299.9988403,300.4737473,300.4114249,301.5241457,299.0501213,301.2508736,299.8645935,301.4020996,299.6755001,298.4110107,300.7516984,298.2814941,297.1610107,301.0504247,301.6906637,300.4535065,300.6814771,301.7268321,301.0993347,299.1317196,299.0006765,298.0101261,297.6551819,300.2250061,297.1086629,296.7969971,297.0870005,299.7607971,298.7317581,297.9605669,298.1876729,297.9460144,300.6051941,297.2624084,299.064792,296.8684725,300.8309998,296.691246,296.1836354,298.5062387,302.2385548,298.4366208,295.5798528,301.6691233,300.1945418,4/4/2008
301.1986611,303.8333333,305.8525085,300.9289347,302.9533997,303.9678887,302.8626607,301.4775696,303.1280009,298.2120056,300.7243296,300.92099,304.085366,303.0859301,299.4095001,301.4850006,298.1629333,301.1961975,303.0379944,300.2210083,300.2854996,300.9247462,298.8404961,299.0599401,299.5178571,302.3099976,301.9670105,303.2632507,301.8497956,304.0960083,301.4349228,301.6300049,301.4517753,300.4621553,302.4531789,300.3753357,301.3664932,300.7281407,302.8312082,298.7269936,301.3628807,299.8852051,301.0960518,299.4811401,298.1350098,300.7369995,297.8710022,297.7780151,300.3540553,300.8336589,300.0650101,300.1552131,300.3249995,300.8026632,299.4196577,298.6213328,298.1490631,297.7203619,300.473999,297.4819946,297.1177979,297.819163,299.6327942,299.3595047,298.4852862,298.9816589,300.598999,299.3880005,299.7216003,299.0298272,296.3343185,300.3832031,296.5907516,295.8637251,298.1950495,301.5759989,298.4820391,295.6260888,302.5685537,300.1172293,4/5/2008
302.0306785,304.2236633,306.0435028,304.2080017,303.3313965,304.9427762,305.6956584,305.5902841,303.681661,297.9429932,300.4821625,301.2130127,303.5261785,303.4890673,299.8014984,301.9174957,300.6129344,301.5661987,304.0230103,301.7070007,302.8310013,301.9006704,301.3307495,301.0905313,300.5672825,304.6040039,304.0079956,302.6906006,304.2358187,302.9200134,303.4997261,303.6589966,302.6189131,302.7330017,303.8968219,302.9828339,300.2315063,301.5885707,303.4410849,299.8811264,305.5913734,302.5126038,301.3371254,303.0269296,302.1610107,304.0696929,301.368988,301.8150024,300.8276319,301.1453349,300.4972534,300.7406674,300.836586,301.5266724,301.684906,301.3279978,297.3789997,296.9047241,299.1965027,296.1159973,295.7596008,296.0751648,298.5545959,297.3154984,296.4782846,296.7769979,300.0859985,299.7544037,299.2390015,298.703828,296.0816345,302.5079895,295.4972458,295.1330012,298.6568545,301.8732605,298.697492,294.8691756,302.47189,300.8679665,4/6/2008
302.161386,304.1269938,305.8845062,302.0655314,303.200592,304.4803331,303.7086589,302.1122829,304.0789998,299.4710083,301.4960022,300.3619995,304.1523604,303.632622,299.4044952,301.5195007,299.7641988,300.9902039,303.0679932,302.401001,301.776001,302.0208333,299.946125,301.3182337,300.6597116,303.2204971,302.2850037,302.4012512,302.6143463,302.6300049,302.1698784,302.6900024,301.9157701,301.9514685,302.5049421,301.9278259,301.5372467,302.2078596,302.9495598,298.9990005,301.8504982,300.542804,301.8313492,300.6855033,299.2420044,301.3498694,298.904007,299.4790039,301.7923696,302.1993306,301.6829987,301.7688824,301.2843348,301.7733358,300.7830343,300.0440013,299.3109379,298.8354575,299.0919952,295.9986674,295.834198,296.1320038,298.7140015,298.1244965,297.1935686,297.638326,301.6430054,301.2384979,300.4054016,299.9825166,296.4965788,301.0234009,295.4609909,295.4537215,298.1772374,303.6436655,300.0841899,296.5374693,302.7175852,300.6899713,4/7/2008
300.8431133,303.1426697,304.1275024,301.4974019,301.612207,302.9909973,303.285675,302.7367118,303.6566772,297.1549988,299.4238281,300.0559998,303.2124551,302.8220004,299.1685028,301.3735046,298.9980652,300.6939941,302.4200134,302.7009888,301.7465057,302.1076635,300.6785011,301.4368214,300.213998,305.0955048,306.1099854,304.5663025,304.6535919,304.5329895,303.706575,305.0440063,304.4755443,302.9243469,303.5321745,302.8066661,302.8762436,302.9378531,304.2744697,300.2411232,303.045002,301.4882019,302.7918266,301.0910688,300.2019958,302.0586946,299.8710022,299.0509949,301.1423131,301.8996684,301.3404999,301.4004524,301.0790838,302.1586609,300.657156,299.8241679,298.9155636,299.1715449,301.3674927,298.4390055,298.385199,298.652832,301.1286011,300.4769974,299.7929993,300.205658,300.8059998,300.3183014,300.5767944,300.4685153,298.5782647,301.8164001,297.9329987,297.7500971,299.8884771,301.2743689,300.1988247,296.8635308,303.5024592,301.5580298,4/8/2008
299.9455885,301.5703328,302.1835022,301.270402,300.5735962,301.4538913,302.556661,302.9978551,304.2176717,294.7090149,297.387502,297.8500061,300.4743597,301.7745161,297.0339966,298.9560089,299.234433,298.6008057,301.2260132,301.7799988,302.0694962,300.8022537,300.8287506,300.4294128,298.5134234,303.1142502,302.3089905,301.1287521,302.6715916,300.7130127,301.9749748,302.7090149,301.6520913,301.2321863,301.7151776,301.1668345,301.3577499,300.9642857,302.0045283,300.8474998,303.6432495,302.2896057,302.7505249,302.5012817,301.3909912,302.7629992,301.4215088,299.8049927,300.3319445,301.1226705,301.3877411,301.0978568,300.301918,302.5929972,300.6816549,300.544164,298.9193115,298.8569086,300.7920074,298.063324,298.0991943,298.2656657,300.85,299.8080063,299.2784249,299.5023295,299.3829956,300.8960968,299.4996033,300.1384488,298.3125771,302.3009949,297.5859985,297.4620001,300.0113772,301.0921111,299.477215,296.551265,302.0118,301.0771419,4/9/2008
298.9612732,300.2919922,300.6065063,300.0175985,298.6212036,299.6718886,301.0773417,301.7717154,300.7733358,294.2099915,296.7513377,297.8569946,300.1462708,300.3796913,297.2964935,299.2584991,298.2701009,298.7777954,301.3880005,301.071991,301.3487473,300.5478338,300.3291283,300.038646,298.4745745,302.1312561,301.7990112,301.216951,301.5507763,301.2640076,301.0667747,301.928009,301.0796842,301.4307518,301.2925325,301.1851654,301.8455048,301.8285653,301.999562,299.5481224,302.194252,300.7766052,301.8404747,300.6612135,299.6359863,301.2438288,299.4215088,298.1140137,300.7214243,301.6449992,300.7952499,301.0014997,301.0039953,301.4936625,300.1307173,299.9459991,298.8983116,298.6896362,300.2845001,297.3373413,297.2335938,297.7059937,299.7065979,299.4719925,298.6504299,299.0950012,297.9240112,300.5817017,297.3046021,299.0899669,297.0671049,301.7018005,296.7097473,296.1369102,298.7953331,301.994517,299.6482131,296.4254114,302.0570167,300.6738299,4/10/2008
297.9238184,299.6516622,300.9065094,300.2951986,298.2157959,300.5106676,302.528005,301.6905692,300.8656718,293.321991,295.4930013,297.0870056,298.7273587,299.8391071,297.1820068,299.272995,298.1019979,298.539801,301.2309875,300.9755096,301.2522507,300.2933324,300.3546257,299.9987075,298.2498649,301.4097519,300.3930054,300.3367493,301.0051008,300.4490051,300.8970245,300.8989868,299.924315,300.6324072,301.2034104,300.5556742,301.1970062,301.2722866,301.1227336,299.4233742,301.5977554,300.4824036,301.2796745,300.1257847,298.5150146,301.1956946,298.3974915,298.2460022,299.5451596,300.1926676,300.1725006,300.2415263,299.5892512,301.0983378,299.9447212,299.9043325,298.8785019,298.7320917,300.1799927,297.4126689,297.0660034,297.9409943,299.3704041,299.577507,298.4949995,299.1136678,299.2799988,299.1278992,298.5411987,298.6549651,296.586474,301.5750061,296.3337555,295.7590915,298.7319525,300.4428157,299.5348364,296.5223263,301.3098755,300.2542826,4/11/2008
300.4411385,301.7266642,302.7425079,301.6575378,300.7309998,302.0428908,303.1196696,302.8127093,300.5533346,294.6650085,297.2745005,297.381012,300.580092,300.3584153,297.7005005,299.9505005,299.4475667,298.8585999,301.4719849,301.1589966,301.5262451,301.2863312,299.6892548,300.0035867,299.3501413,301.465004,299.6940002,299.2965042,300.8229594,298.822998,300.9158997,300.6690063,299.6142731,301.1257172,301.5375869,301.2031708,300.6315002,301.278717,300.7210307,299.2209969,303.154747,301.1052002,301.2828011,300.9462128,299.8599854,302.7623065,299.4199982,299.6199951,299.8287932,300.7876689,300.6245041,300.2968089,300.101415,302.0253296,300.470314,300.1268311,298.6021843,298.5807273,300.5110016,297.6236674,297.2968018,297.8946635,299.6104004,299.3694916,298.0150016,298.7039998,299.4920044,299.072403,298.3781982,298.6356548,296.8111042,301.0307983,296.847496,296.1948131,298.495761,300.5758497,298.823051,296.3483223,300.9798927,299.9948342,4/12/2008
301.5237933,302.8143311,304.2644958,302.7909281,301.8044067,303.1085578,303.7703349,303.7559989,300.0423381,294.8710022,297.1869965,297.1950073,301.165003,299.8532767,297.9664917,300.3699951,299.8698018,299.0309998,301.5090027,301.7229919,301.9185028,300.870163,300.6262474,300.8392352,299.3511396,300.262001,298.9389954,298.8589493,300.0171615,298.5769958,300.2900261,299.6130066,299.6148668,300.9257488,300.8713558,300.7890066,300.3502502,301.6315744,299.7375865,299.7181206,303.616497,301.4929993,301.6187996,301.0224958,300.0400085,303.053829,299.3560028,300.5069885,300.186578,301.1296692,300.6427536,300.5157623,300.3565826,302.4660034,300.8563747,300.7376709,298.9768124,298.6026362,300.8345032,297.8949992,297.6882019,298.3040059,300.3265991,299.909996,298.8377162,299.2443339,299.9339905,299.2126984,299.5608032,299.6666207,297.3236839,301.5765991,297.2222519,296.554546,299.1357175,300.2456292,299.3641643,296.595792,300.1265691,300.3004039,4/13/2008
302.5720478,304.4013265,305.9970093,302.3995321,303.6529968,304.5199992,304.0619914,302.3944266,301.8780009,295.6260071,297.7919973,298.6589966,302.3079057,301.1363126,299.6080017,301.7539978,299.0047333,300.7173889,303.6730042,302.0679932,300.6695023,302.274999,299.3486252,300.5067067,300.4634312,300.1899948,299.0660095,299.2069504,300.0032859,299.0429993,301.0757988,299.5920105,299.4168646,300.8622818,302.1944724,301.1534983,300.4015045,300.8124302,299.657442,298.5813751,302.2651253,300.3874023,301.5122528,299.8040706,298.572998,301.9315212,298.1790009,299.0849915,300.484314,301.2556763,300.3835068,300.4467403,300.6357524,301.3526713,300.0037203,299.3349965,299.0426884,298.2113647,300.0610046,297.5720011,297.6088013,298.1680044,300.0712036,299.5477448,298.6468637,298.9583333,298.8450012,299.8196014,298.6373962,299.043999,296.7406889,300.292395,296.5947495,296.0837236,298.0505269,300.9242192,298.9604925,296.2205882,300.1285846,300.0281957,4/14/2008
302.1984544,304.1326701,305.3754883,301.3789327,302.9079956,303.401001,302.7960002,302.0069972,301.1873372,296.2839966,298.3396657,298.6530151,302.7909102,301.109998,300.8764954,302.6595001,299.4609009,301.3588013,304.3059998,303.1880035,302.5404968,303.2447484,301.1871223,302.1987089,301.8021458,301.0405045,299.8959961,299.8425034,300.8781446,299.1369934,301.7552505,300.4360046,301.1950906,302.7490673,302.9452928,302.7263336,302.0599976,302.8651428,300.4292055,299.3331223,302.5945015,300.6399963,301.4978996,300.2380676,299.3609924,302.2620014,298.9514923,298.6570129,301.8521054,303.3220011,301.7054977,301.6319042,302.9626668,302.5483398,301.0231867,300.1213328,299.8218746,299.0929982,298.6875,296.3160095,296.323999,297.4041697,298.9849976,299.1689987,297.8948582,298.5126648,298.651001,299.2558014,298.4077942,297.9783788,296.4503672,301.0547974,295.2955017,295.6535478,298.6081892,302.2233672,300.1614569,296.749588,301.0433692,300.8892437,4/15/2008
