"","MW2012C3999918","MW2012C3030519","MW2012C3030506","MW2012C3031005","MW2012C3030404","MW2012C3010107","MW2012C3010102","MW2012C3020815","MW2012C3020803","MW2012C3020403","MW2012C3010209","MW2012C3010201","MW2012C3010210","MW2012C3020103","MW2012C3020619","MW2012C3020703","MW2012C3030816","MW2012C3030613","MW2012C3010508","MW2012C3031313","MW2012C3010311","MW2012C3010309","MW2012C3020211","MW2012C3020209","MW2012C3020213","MW2012C3031116","MW2012C3020915","MW2012C3020913","MW2012C3020303","MW2012C3030904","MW2012C3010417","MW2012C3030716","MW2012C3010611","MW2012C3031213","MW2012C3031206","MW2012C3030206","MW2012C3030115","MW2012C3030112","MW2012C3030114","MW2012C3020515","MW2012C3020513","MW2012C3020813","MW2012C3030606","MW2012C3010517","MW2012C3020203","MW2012C3020503","MW2012C3030306","MW2012C3030514","MW2012C3030414","MW2012C3020603","MW2012C3030214","MW2012C3030204","MW2012C3030804","MW2012C3010503","MW2012C3010509","MW2012C3031105","MW2012C3010409","MW2012C3030714","MW2012C3030314","MW2012C3030304","date1"
"mat","302.544502258301","302.028991699219","303.498992919922","305.188201904297","301.724990844727","302.100006103516","301.362998962402","302.344497680664","300.626800537109","301.718994140625","301.955332438151","303.429504394531","304.118988037109","302.675994873047","301.68701171875","303.287246704102","300.986999511719","303.043324788411","301.285995483398","302.296325683594","303.186996459961","302.381500244141","304.207000732422","302.678009033203","304.06999206543","304.671997070312","NaN","301.145404052734","301.654001871745","301.371002197266","301.884002685547","303.425003051758","NaN","303.071990966797","303.730499267578","303.398498535156","303.528991699219","303.155995686849","302.751502990723","303.263000488281","303.952499389648","300.780502319336","304.1669921875","302.763336181641","302.638496398926","303.028015136719","303.057495117188","302.528991699219","301.528991699219","301.554667154948","303.407501220703","303.384338378906","301.572006225586","301.264007568359","301.750755310059","305.393005371094","301.462005615234","301.920989990234","302.058990478516","302.132995605469","08/20/2009"
"mat","301.403416951497","301.772003173828","303.101989746094","304.301202392578","301.36149597168","301.209991455078","300.213752746582","302.225006103516","300.552398681641","300.871673583984","300.892659505208","302.448989868164","303.471008300781","301.056251525879","301.341003417969","301.987998962402","300.260986328125","302.532002766927","300.101375579834","301.802337646484","302.350509643555","301.158500671387","303.376007080078","301.878997802734","303.305999755859","303.770492553711","NaN","301.02919921875","300.855336507161","300.733001708984","300.475006103516","302.888000488281","NaN","302.876007080078","303.232986450195","302.785995483398","303.28450012207","302.818328857422","302.116996765137","303.046997070312","303.516006469727","300.759506225586","303.798004150391","301.543660481771","302.069747924805","302.743011474609","302.630493164062","302.278015136719","301.265991210938","301.05283610026","302.655502319336","302.566670735677","301.059005737305","300.055999755859","300.723503112793","303.794667561849","300.151000976562","301.457000732422","301.679992675781","301.649993896484","08/21/2009"
"mat","300.183166503906","300.249008178711","301.544006347656","303.260992431641","299.938507080078","300.343994140625","299.431259155273","301.585998535156","299.883801269531","299.827341715495","300.482004801432","302.154006958008","302.932006835938","299.511619567871","300.343994140625","299.801246643066","299.053009033203","301.138326009115","297.836376190186","300.435658772786","299.992004394531","299.158248901367","300.342987060547","299.18798828125","300.517013549805","302.524002075195","NaN","300.100598144531","299.424336751302","299.644989013672","299.859008789062","301.539993286133","NaN","301.934997558594","302.128509521484","301.65251159668","302.325500488281","301.899332682292","300.79475402832","302.378997802734","301.955993652344","300.073501586914","302.320007324219","299.966328938802","300.295249938965","301.903991699219","301.266502380371","300.713012695312","299.785003662109","299.831171671549","301.228500366211","300.540323893229","299.713500976562","297.786987304688","298.165245056152","302.701995849609","299.615997314453","300.092010498047","300.213989257812","300.223999023438","08/22/2009"
"mat","299.899248758952","300.537490844727","302.109985351562","303.508404541016","300.150497436523","299.231994628906","298.065254211426","299.768997192383","297.835003662109","299.114003499349","298.756337483724","300.419006347656","301.609008789062","299.817874908447","298.397003173828","299.306251525879","299.350006103516","301.262674967448","298.473129272461","300.599670410156","300.887496948242","299.533248901367","302.02099609375","300.878997802734","301.936004638672","302.779998779297","NaN","299.92080078125","299.888671875","299.776000976562","298.177001953125","301.776000976562","NaN","302.128997802734","302.49250793457","302.051010131836","302.182998657227","302.038004557292","300.392501831055","300.459991455078","301.281494140625","298.666000366211","302.535003662109","299.467661539714","300.700248718262","300.388000488281","301.777000427246","301.054992675781","300.019989013672","298.377670288086","301.674011230469","300.833669026693","299.900497436523","298.881988525391","299.54899597168","303.343332926432","297.924011230469","300.281005859375","300.722991943359","300.653991699219","08/23/2009"
"mat","299.613164265951","300.411499023438","301.989013671875","303.330603027344","300.017990112305","299.135009765625","297.937004089355","299.626495361328","297.830596923828","298.003000895182","298.727325439453","300.373489379883","301.459991455078","298.919502258301","297.919006347656","298.605247497559","298.946990966797","301.253336588542","297.652000427246","300.62700398763","300.717498779297","299.501251220703","301.609985351562","300.510986328125","301.345001220703","302.532989501953","NaN","300.122998046875","298.938669840495","299.635986328125","298.184997558594","301.603500366211","NaN","302.079986572266","302.43049621582","302.020492553711","301.9794921875","301.906667073568","300.42024230957","300.069000244141","300.583511352539","299.061492919922","302.47900390625","298.928670247396","299.876007080078","299.696014404297","301.703002929688","300.919006347656","299.903991699219","297.850662231445","301.878494262695","301.58100382487","299.731994628906","298.240997314453","299.039245605469","302.618001302083","298.131988525391","300.131988525391","300.669006347656","300.634002685547","08/24/2009"
"mat","298.429252624512","298.859497070312","300.385986328125","301.019006347656","298.468002319336","298.605987548828","297.491241455078","300.083999633789","298.469000244141","298.980662027995","298.185658772786","299.86149597168","300.898010253906","298.794620513916","299.52099609375","300.222496032715","297.460998535156","299.799336751302","296.946872711182","299.167002360026","299.320007324219","298.176002502441","300.653015136719","298.800994873047","300.77099609375","300.365997314453","NaN","298.527001953125","298.687337239583","298.069000244141","297.364990234375","299.915008544922","NaN","300.302001953125","300.706497192383","300.285491943359","300.446487426758","300.022664388021","299.467002868652","301.087005615234","301.384506225586","298.386001586914","301","298.392669677734","299.770248413086","300.798004150391","300.01774597168","299.427001953125","298.2919921875","299.253000895182","300.155990600586","300.004994710286","298.128494262695","297.027008056641","297.60400390625","300.145334879557","297.158996582031","298.644012451172","298.938995361328","298.908996582031","08/25/2009"
"mat","299.913752237956","300.240005493164","301.980010986328","303.045599365234","299.862503051758","299.552001953125","298.491241455078","301.88899230957","300.082598876953","300.258666992188","298.877990722656","300.478988647461","301.773010253906","299.986003875732","300.8330078125","301.241256713867","298.934997558594","301.139668782552","298.503746032715","300.623331705729","300.524505615234","299.391250610352","301.247985839844","299.934997558594","301.322006225586","302.477005004883","NaN","300.416998291016","299.776672363281","299.674011230469","298.481994628906","301.339996337891","NaN","302.304992675781","302.606994628906","302.204986572266","302.826507568359","302.294667561849","301.851249694824","302.674987792969","302.566497802734","300.319000244141","302.204986572266","299.947672526042","300.703506469727","302.092987060547","301.77124786377","300.680999755859","299.799011230469","300.564498901367","302.073989868164","302.081329345703","299.700500488281","298.364990234375","298.895751953125","303.007334391276","298.214996337891","299.925994873047","300.640991210938","300.690002441406","08/26/2009"
"mat","301.838256835938","302.032501220703","303.356994628906","305.0333984375","301.705993652344","301.635009765625","300.624244689941","302.1669921875","300.563000488281","300.951009114583","301.257659912109","302.825500488281","303.701995849609","301.314254760742","301.326995849609","302.435745239258","301.046997070312","303.006001790365","300.24100112915","302.258331298828","302.19450378418","301.046752929688","303.381988525391","301.619995117188","303.303009033203","304.730987548828","NaN","301.160595703125","300.792663574219","301.388000488281","300.809997558594","303.4794921875","NaN","302.938995361328","303.349502563477","302.919509887695","303.311996459961","302.901326497396","302.339241027832","302.980987548828","303.528991699219","300.740493774414","304.154998779297","301.810994466146","302.028999328613","302.759002685547","302.833999633789","302.561004638672","301.503997802734","301.106669108073","302.804504394531","302.763997395833","301.509002685547","299.881988525391","300.522003173828","305.372324625651","300.246002197266","301.907989501953","301.942993164062","301.957000732422","08/27/2009"
"mat","301.23166402181","301.612503051758","303.023010253906","303.914202880859","301.195495605469","300.113006591797","299.386001586914","302.365997314453","300.617797851562","300.926666259766","300.835673014323","302.351501464844","302.975006103516","301.02462387085","301.332000732422","301.922248840332","300.242004394531","302.351328531901","299.866630554199","301.732666015625","301.90950012207","300.814750671387","303.535003662109","301.899993896484","303.713989257812","303.4169921875","NaN","301.040399169922","301.072662353516","300.795989990234","300.397003173828","302.570495605469","NaN","302.898010253906","303.269500732422","302.830490112305","303.390487670898","302.882995605469","302.305992126465","303.305999755859","303.910995483398","300.77099609375","303.524993896484","301.194325764974","302.380744934082","303.057006835938","302.631004333496","302.055999755859","301.169006347656","301.082000732422","302.651000976562","302.27500406901","300.955993652344","300.046997070312","300.727249145508","303.564331054688","299.893005371094","301.221984863281","301.695007324219","301.667999267578","08/28/2009"
"mat","300.485834757487","300.463500976562","302.101013183594","303.254602050781","300.074508666992","299.723999023438","299.132751464844","302.091003417969","300.220007324219","300.334330240885","300.036336263021","301.413497924805","301.843994140625","299.961124420166","300.928985595703","299.700500488281","298.993988037109","301.362335205078","298.94274520874","300.813344319661","300.97200012207","300.091743469238","301.404998779297","300.639007568359","301.572494506836","302.578506469727","NaN","300.500402832031","300.256337483724","299.644989013672","299.648010253906","301.661010742188","NaN","302.218994140625","302.522994995117","302.103500366211","302.932998657227","302.220998128255","301.662757873535","302.9169921875","302.716003417969","300.507507324219","302.496002197266","300.523671468099","301.13175201416","302.430999755859","301.784248352051","300.976989746094","299.950012207031","300.272832234701","301.953506469727","301.766001383464","299.768508911133","298.743988037109","299.448997497559","302.601328531901","299.652008056641","300.199005126953","300.688995361328","300.662994384766","08/29/2009"
