"","UG2011L101","UG2011L102","UG2011L103","UG2011L104","UG2011L105","UG2011L106","UG2011L107","UG2011L108","UG2011L109","UG2011L110","UG2011L111","UG2011L112","UG2011L113","UG2011L114","UG2011L115","UG2011L116","UG2011L117","UG2011L118","UG2011L119","UG2011L120","UG2011L121","UG2011L122","UG2011L123","UG2011L124","UG2011L125","UG2011L126","UG2011L127","UG2011L128","UG2011L129","UG2011L130","UG2011L131","UG2011L132","UG2011L133","UG2011L134","UG2011L135","UG2011L136","UG2011L137","UG2011L138","UG2011L139","UG2011L140","UG2011L141","date1"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400990804036","291.183990478516","291.116668701172","290.566009521484","292.195007324219","294.869501749674","293.109858921596","294.147003173828","293.442667643229","293.720336914062","294.984600830078","294.593388875326","294.686370849609","293.303692157452","293.940505981445","293.746490478516","292.672413545496","290.946006774902","291.925528971354","291.604248046875","291.563003540039","290.334621429443","293.363060446346","289.269996643066","292.364664713542","293.497009277344","293.124008178711","293.693832397461","292.816009521484","292.672332763672","292.066172632678","292.251998901367","293.034100341797","291.818717956543","292.576418558757","292.022003173828","292.257065836589","11/25/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400990804036","291.183990478516","291.116668701172","290.566009521484","292.195007324219","294.869501749674","293.109858921596","294.147003173828","293.442667643229","293.720336914062","294.984600830078","294.593388875326","294.686370849609","293.303692157452","293.940505981445","293.746490478516","292.672413545496","290.946006774902","291.925528971354","291.604248046875","291.563003540039","290.334621429443","293.363060446346","289.269996643066","292.364664713542","293.497009277344","293.124008178711","293.693832397461","292.816009521484","292.672332763672","292.066172632678","292.251998901367","293.034100341797","291.818717956543","292.576418558757","292.022003173828","292.257065836589","11/26/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400990804036","291.183990478516","291.116668701172","290.566009521484","292.195007324219","294.869501749674","293.109858921596","294.147003173828","293.442667643229","293.720336914062","294.984600830078","294.593388875326","294.686370849609","293.303692157452","293.940505981445","293.746490478516","292.672413545496","290.946006774902","291.925528971354","291.604248046875","291.563003540039","290.334621429443","293.363060446346","289.269996643066","292.364664713542","293.497009277344","293.124008178711","293.693832397461","292.816009521484","292.672332763672","292.066172632678","292.251998901367","293.034100341797","291.818717956543","292.576418558757","292.022003173828","292.257065836589","11/27/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400990804036","291.183990478516","291.116668701172","290.566009521484","292.195007324219","294.869501749674","293.109858921596","294.147003173828","293.442667643229","293.720336914062","294.984600830078","294.593388875326","294.686370849609","293.303692157452","293.940505981445","293.746490478516","292.672413545496","290.946006774902","291.925528971354","291.604248046875","291.563003540039","290.334621429443","293.363060446346","289.269996643066","292.364664713542","293.497009277344","293.124008178711","293.693832397461","292.816009521484","292.672332763672","292.066172632678","292.251998901367","293.034100341797","291.818717956543","292.576418558757","292.022003173828","292.257110595703","11/28/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400990804036","291.183990478516","291.116668701172","290.566009521484","292.195007324219","294.869501749674","293.109858921596","294.147003173828","293.442667643229","293.720336914062","294.984600830078","294.593388875326","294.686370849609","293.303692157452","293.940505981445","293.746490478516","292.672413545496","290.946006774902","291.925528971354","291.604248046875","291.563003540039","290.334621429443","293.363060446346","289.269996643066","292.364664713542","293.497009277344","293.124008178711","293.693832397461","292.816009521484","292.672332763672","292.066172632678","292.251998901367","293.034100341797","291.818717956543","292.576418558757","292.022003173828","292.257110595703","11/29/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400990804036","291.183990478516","291.116668701172","290.566009521484","292.195007324219","294.869501749674","293.109858921596","294.147003173828","293.442667643229","293.720336914062","294.984600830078","294.593388875326","294.686370849609","293.307150033804","293.940505981445","293.746490478516","292.722826789407","290.966003417969","292.103731282552","291.75","291.654754638672","290.354873657227","293.378295898438","289.269996643066","292.364664713542","293.497009277344","293.124008178711","293.693832397461","292.816009521484","292.672332763672","292.066172632678","292.251998901367","293.034201049805","291.818717956543","292.576751708984","292.022003173828","292.257110595703","11/30/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400990804036","291.183990478516","291.116668701172","290.566009521484","292.195007324219","294.869501749674","293.109858921596","294.147003173828","293.442667643229","293.720336914062","294.984600830078","294.593388875326","294.686370849609","293.307150033804","293.940505981445","293.746490478516","292.722826789407","290.966003417969","292.103731282552","291.75","291.657745361328","290.35786819458","293.378295898438","289.269996643066","292.364664713542","293.497009277344","293.124008178711","293.693832397461","292.816009521484","292.672332763672","292.066172632678","292.251998901367","293.034201049805","291.818717956543","292.576751708984","292.022003173828","292.259176974826","12/01/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400990804036","291.183990478516","291.116668701172","290.566009521484","292.195007324219","294.869501749674","293.109858921596","294.147003173828","293.442667643229","293.720336914062","294.984600830078","294.593388875326","294.686370849609","293.307150033804","293.940505981445","293.746490478516","292.722826789407","290.966003417969","292.103731282552","291.75","291.657745361328","290.35786819458","293.378236658433","289.269996643066","292.364003499349","293.490997314453","293.111999511719","293.689336140951","292.794006347656","292.669677734375","292.064758300781","292.241500854492","293.032299804688","291.818717956543","292.576751708984","292.018005371094","292.258222791884","12/02/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400990804036","291.183990478516","291.116668701172","290.566009521484","292.195007324219","294.869501749674","293.109858921596","294.147003173828","293.442667643229","293.720336914062","294.984600830078","294.593388875326","294.686370849609","293.307150033804","293.940505981445","293.746490478516","292.722826789407","290.966003417969","292.103731282552","291.75","291.657745361328","290.35786819458","293.378236658433","289.269996643066","292.364003499349","293.490997314453","293.111999511719","293.689336140951","292.794006347656","292.669677734375","292.064758300781","292.241500854492","293.032299804688","291.818717956543","292.576751708984","292.018005371094","292.258200412326","12/03/2015"
"mat","286.540496826172","289.509111192491","290.498992919922","290.685012817383","290.400329589844","291.183990478516","291.116668701172","290.566009521484","292.194000244141","294.865498860677","293.09071132115","294.143005371094","293.442169189453","293.720336914062","294.984600830078","294.59327867296","294.686370849609","293.307150033804","293.940505981445","293.746490478516","292.722826789407","290.966003417969","292.103731282552","291.75","291.657745361328","290.35786819458","293.378236658433","289.269996643066","292.364003499349","293.490997314453","293.111999511719","293.689336140951","292.794006347656","292.669677734375","292.064723573882","292.241500854492","293.021899414062","291.818717956543","292.576751708984","292.018005371094","292.255511474609","12/04/2015"
